biosequence_name,is_covering,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
Q9Y274,C,canonical,  1.000,  1.000,13,  1.815,10,3,3q12.1,98451294,98514689,+,,,Q9Y274,1630,11,,,,"SIA10_HUMAN Type 2 lactosamine alpha-2,3-sialyltransferase OS=Homo sapiens GN=ST3GAL6 PE=1 SV=1 CONCAT=2",Homo sapiens
Q9BRT3,C,canonical,  1.000,  1.000,4,  1.466,3,17,17q12,37885409,37887040,-,,,Q9BRT3,1631,3,,,,MIEN1_HUMAN Migration and invasion enhancer 1 OS=Homo sapiens GN=MIEN1 PE=1 SV=1 CONCAT=5,Homo sapiens
Q13243,C,canonical,  1.000,  1.000,3,  1.099,3,14,14q24.2,70233810,70238690,+,,,Q13243,1632,12,,,,SRSF5_HUMAN Serine/arginine-rich splicing factor 5 OS=Homo sapiens GN=SRSF5 PE=1 SV=1 CONCAT=2,Homo sapiens
P08949-2,C,canonical,  1.000,  1.000,2,  0.838,2,15,15q25.2,85198360,85201779,-,,,P08949-2,1633,2,,,,NMB_HUMAN Isoform 2 of Neuromedin-B OS=Homo sapiens GN=NMB,Homo sapiens
P14621,C,canonical,  1.000,  1.000,16,  5.212,8,2,2p16.2,54342641,54532437,+,,,P14621,1634,7,,,,ACYP2_HUMAN Acylphosphatase-2 OS=Homo sapiens GN=ACYP2 PE=1 SV=2 CONCAT=2,Homo sapiens
P24298,C,canonical,  1.000,  1.000,5,  0.611,5,8,8q24.3,145729465,145732554,+,,,P24298,1635,3,,,,ALAT1_HUMAN Alanine aminotransferase 1 OS=Homo sapiens GN=GPT PE=1 SV=3 CONCAT=4,Homo sapiens
P14138,C,canonical,  1.000,  1.000,9,  2.639,4,20,20q13.32,57875498,57901047,+,,,P14138-2,1636,4,,,,EDN3_HUMAN Endothelin-3 OS=Homo sapiens GN=EDN3 PE=1 SV=1 CONCAT=17,Homo sapiens
P14138-2,C,canonical,  1.000,  1.000,7,  2.052,4,20,20q13.32,57875498,57901047,+,,,P14138-2,1636,4,,,,EDN3_HUMAN Isoform Short of Endothelin-3 OS=Homo sapiens GN=EDN3,Homo sapiens
P07355,C,canonical,  1.000,  1.000,93, 12.393,23,15,15q22.2,60639531,60690184,-,,,P07355,1637,27,,,,ANXA2_HUMAN Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 CONCAT=3,Homo sapiens
Q15124,C,canonical,  1.000,  1.000,3,  0.267,3,9,9q21.11,70971815,71081471,+,,,Q15124,1638,5,,,,PGM5_HUMAN Phosphoglucomutase-like protein 5 OS=Homo sapiens GN=PGM5 PE=1 SV=2 CONCAT=1,Homo sapiens
P17050,C,canonical,  1.000,  1.000,38,  5.570,13,22,22q13.2,42454358,42466834,-,,,P17050,1639,4,,,,NAGAB_HUMAN Alpha-N-acetylgalactosaminidase OS=Homo sapiens GN=NAGA PE=1 SV=2 CONCAT=10,Homo sapiens
P59998,C,canonical,  1.000,  1.000,11,  3.225,6,3,3p25.3,9834227,9848789,+,,,P59998,1640,11,,,,ARPC4_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3 CONCAT=2,Homo sapiens
Q16775,C,canonical,  1.000,  1.000,9,  1.649,6,16,16p13.3,1859104,1876842,-,,,Q16775,1641,7,,,,"GLO2_HUMAN Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens GN=HAGH PE=1 SV=2 CONCAT=4",Homo sapiens
Q8IWV2,C,canonical,  0.109,  1.000,173,  9.570,47,3,3p26.2,2933899,3098039,+,,,Q8IWV2,1642,12,,,,CNTN4_HUMAN Contactin-4 OS=Homo sapiens GN=CNTN4 PE=1 SV=1 CONCAT=12,Homo sapiens
Q9H7Y0,C,canonical,  1.000,  1.000,36,  5.277,10,X,Xp11.3,45021555,45060146,-,,,Q9H7Y0,1643,2,,,,DIA1R_HUMAN Deleted in autism-related protein 1 OS=Homo sapiens GN=CXorf36 PE=2 SV=3 CONCAT=8,Homo sapiens
P54762,C,canonical,  0.018,  1.000,5,  0.267,4,3,3q22.2,134514104,134979309,+,,,P54762,1644,6,,,,EPHB1_HUMAN Ephrin type-B receptor 1 OS=Homo sapiens GN=EPHB1 PE=1 SV=1 CONCAT=20,Homo sapiens
P46459,C,canonical,  1.000,  1.000,34,  2.167,15,17,17q21.31,44668035,44834830,+,,,P46459,1645,16,,,,NSF_HUMAN Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3 CONCAT=2,Homo sapiens
Q7Z553,C,canonical,  1.000,  1.000,75,  4.398,30,14,14q21.3,47310988,47812321,-,,,Q7Z553,1646,8,,,,MDGA2_HUMAN MAM domain-containing glycosylphosphatidylinositol anchor protein 2 OS=Homo sapiens GN=MDGA2 PE=1 SV=2 CONCAT=11,Homo sapiens
Q99623,C,canonical,  1.000,  1.000,6,  0.800,6,12,12p13.31,7074848,7079822,-,,,Q99623,1647,11,,,,PHB2_HUMAN Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2 CONCAT=2,Homo sapiens
Q5KU26,C,canonical,  1.000,  1.000,23,  1.645,11,18,18p11.32,319361,500722,-,,,Q5KU26,1648,2,,,,COL12_HUMAN Collectin-12 OS=Homo sapiens GN=COLEC12 PE=1 SV=3 CONCAT=5,Homo sapiens
O60469,C,canonical,  1.000,  1.000,11,  0.301,9,21,21q22.2,41382926,42219065,-,,,O60469,1649,8,,,,DSCAM_HUMAN Down syndrome cell adhesion molecule OS=Homo sapiens GN=DSCAM PE=1 SV=2 CONCAT=7,Homo sapiens
P04085-2,C,canonical,  1.000,  1.000,15,  4.398,9,7,7p22.3,537946,559031,-,,,P04085-2,1650,8,,,,PDGFA_HUMAN Isoform Short of Platelet-derived growth factor subunit A OS=Homo sapiens GN=PDGFA,Homo sapiens
O15232,C,canonical,  1.000,  1.000,10,  1.011,7,2,2p24.1,20191872,20212455,-,,,O15232,1651,27,,,,MATN3_HUMAN Matrilin-3 OS=Homo sapiens GN=MATN3 PE=1 SV=2 CONCAT=27,Homo sapiens
Q9Y4L1,C,canonical,  1.000,  1.000,128,  6.701,30,11,11q23.3,118914900,118927848,-,,,Q9Y4L1,1652,20,,,,HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1 CONCAT=6,Homo sapiens
P98095-2,C,canonical,  1.000,  1.000,144,  7.539,37,3,3p25.1,13590681,13679922,+,,,P98095-2,1653,9,,,,FBLN2_HUMAN Isoform 2 of Fibulin-2 OS=Homo sapiens GN=FBLN2,Homo sapiens
P58417,C,canonical,  1.000,  1.000,7,  1.368,5,7,7p21.3,8473585,8792593,+,,,P58417,1654,5,,,,NXPH1_HUMAN Neurexophilin-1 OS=Homo sapiens GN=NXPH1 PE=2 SV=1 CONCAT=6,Homo sapiens
Q9BYH1-6,C,canonical,  1.000,  1.000,213, 16.433,42,22,22q12.1,0,0, ,,,Q9BYH1-6,1655,11,,,,SE6L1_HUMAN Isoform 6 of Seizure 6-like protein OS=Homo sapiens GN=SEZ6L,Homo sapiens
Q9NUQ9,C,canonical,  1.000,  1.000,28,  4.321,14,8,8q24.21,130853716,131028697,-,,,Q9NUQ9,1656,17,,,,FA49B_HUMAN Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1 CONCAT=2,Homo sapiens
P13284,C,canonical,  0.039,  1.000,15,  4.398,8,19,19p13.11,18284477,18288927,+,,,P13284,1657,4,,,,GILT_HUMAN Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3 CONCAT=14,Homo sapiens
Q4LDE5,C,canonical,  0.097,  1.000,22,  0.391,21,9,9q32,0,0, ,,,Q4LDE5,1658,9,,,,"SVEP1_HUMAN Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3 CONCAT=25",Homo sapiens
P0C7U0,C,canonical,  0.619,  1.000,4,  0.273,2,7,7p22.3,1727755,1787590,+,,,P0C7U0,1659,5,,,,ELFN1_HUMAN Protein ELFN1 OS=Homo sapiens GN=ELFN1 PE=1 SV=2 CONCAT=6,Homo sapiens
P15151-2,C,canonical,  1.000,  1.000,63, 14.208,10,19,19q13.31,45147098,45166850,+,,,P15151-2,1660,5,,,,PVR_HUMAN Isoform Beta of Poliovirus receptor OS=Homo sapiens GN=PVR,Homo sapiens
Q9UN36-6,C,canonical,  0.821,  1.000,99, 18.140,22,14,14q11.2,0,0, ,,,Q9UN36-6,1661,58,,,,NDRG2_HUMAN Isoform 6 of Protein NDRG2 OS=Homo sapiens GN=NDRG2,Homo sapiens
Q14766,C,canonical,  1.000,  1.000,179,  6.400,49,2,2p22.3,33172369,33624573,+,,,Q14766,1662,18,,,,LTBP1_HUMAN Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens GN=LTBP1 PE=1 SV=4 CONCAT=6,Homo sapiens
O75976,C,canonical,  1.000,  1.000,23,  0.876,16,17,17q11.2,28705923,28797007,+,,,P16870,1663,10,,,,CBPD_HUMAN Carboxypeptidase D OS=Homo sapiens GN=CPD PE=1 SV=2 CONCAT=10,Homo sapiens
P16870,C,canonical,  1.000,  1.000,664, 72.100,61,4,4q32.3,166300094,166419472,+,,,P16870,1663,10,,,,CBPE_HUMAN Carboxypeptidase E OS=Homo sapiens GN=CPE PE=1 SV=1 CONCAT=11,Homo sapiens
P07093-2,C,canonical,  1.000,  1.000,83, 10.580,19,2,2q36.1,224839829,224904036,-,,,P07093-2,1664,8,,,,GDN_HUMAN Isoform 2 of Glia-derived nexin OS=Homo sapiens GN=SERPINE2,Homo sapiens
Q16891,C,canonical,  1.000,  1.000,3,  0.200,3,2,2p11.2,0,0, ,,,Q16891,1665,10,,,,IMMT_HUMAN Mitochondrial inner membrane protein OS=Homo sapiens GN=IMMT PE=1 SV=1 CONCAT=3,Homo sapiens
Q9UHG3,C,canonical,  1.000,  1.000,22,  2.481,13,2,2p13.3,70485269,70508323,+,,,Q9UHG3,1666,8,,,,PCYOX_HUMAN Prenylcysteine oxidase 1 OS=Homo sapiens GN=PCYOX1 PE=1 SV=3 CONCAT=9,Homo sapiens
O75746,C,canonical,  1.000,  1.000,4,  0.301,4,2,2q31.1,172641285,172750733,-,,,O75746,1667,9,,,,CMC1_HUMAN Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens GN=SLC25A12 PE=1 SV=2 CONCAT=4,Homo sapiens
P13598,C,canonical,  0.034,  1.000,35,  6.036,7,17,17q23.3,62079956,62097994,-,,,P13598,1668,9,,,,ICAM2_HUMAN Intercellular adhesion molecule 2 OS=Homo sapiens GN=ICAM2 PE=1 SV=2 CONCAT=10,Homo sapiens
B8ZZ34,C,canonical,  0.011,  1.000,2,  0.267,2,22,22q13.2,42307297,42310570,-,,,B8ZZ34,1669,3,,,,SHSA8_HUMAN Putative protein shisa-8 OS=Homo sapiens GN=SHISA8 PE=5 SV=2 CONCAT=5,Homo sapiens
P29401,C,canonical,  1.000,  1.000,55,  5.202,23,3,3p21.1,53259673,53290038,-,,,P29401,1670,7,,,,TKT_HUMAN Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3 CONCAT=2,Homo sapiens
Q8N3H0,C,canonical,  1.000,  1.000,19,  7.958,4,12,12q14.1,62102040,62586623,-,,,Q8N3H0,1671,7,,,,F19A2_HUMAN Protein FAM19A2 OS=Homo sapiens GN=FAM19A2 PE=1 SV=1 CONCAT=6,Homo sapiens
Q96LR4,C,canonical,  1.000,  1.000,8,  2.932,3,3,3p14.1,68780917,68981761,-,,,Q8N3H0,1671,7,,,,F19A4_HUMAN Protein FAM19A4 OS=Homo sapiens GN=FAM19A4 PE=2 SV=1 CONCAT=5,Homo sapiens
P31150,C,canonical,  1.000,  1.000,177, 20.757,38,X,Xq28,153665266,153671814,+,,,P31150,1672,14,,,,GDIA_HUMAN Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2 CONCAT=3,Homo sapiens
P50395,C,canonical,  1.000,  1.000,128, 13.899,36,10,10p15.1,5807917,5855374,-,,,P31150,1672,14,,,,GDIB_HUMAN Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2 CONCAT=1,Homo sapiens
Q8WYK1,C,canonical,  0.112,  1.000,63,  3.358,25,2,2q14.3,124782864,125672864,+,,,Q8WYK1,1673,2,,,,CNTP5_HUMAN Contactin-associated protein-like 5 OS=Homo sapiens GN=CNTNAP5 PE=2 SV=1 CONCAT=8,Homo sapiens
Q12913,C,canonical,  1.000,  1.000,56,  2.565,12,11,11p11.2,48002113,48189670,+,,,Q12913,1674,7,,,,PTPRJ_HUMAN Receptor-type tyrosine-protein phosphatase eta OS=Homo sapiens GN=PTPRJ PE=1 SV=3 CONCAT=13,Homo sapiens
P08581,C,canonical,  1.000,  1.000,30,  1.275,18,7,7q31.2,116312459,116436396,+,,,P11362-2,1675,194,,,,MET_HUMAN Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4 CONCAT=38,Homo sapiens
P11362-2,C,canonical,  1.000,  1.000,100,  7.517,20,8,8p11.1-p11.2,0,0, ,,,P11362-2,1675,194,,,,FGFR1_HUMAN Isoform 4 of Fibroblast growth factor receptor 1 OS=Homo sapiens GN=FGFR1,Homo sapiens
P21802-16,C,canonical,  1.000,  1.000,59,  4.324,19,10,10q26,0,0, ,,,P11362-2,1675,194,,,,FGFR2_HUMAN Isoform 16 of Fibroblast growth factor receptor 2 OS=Homo sapiens GN=FGFR2,Homo sapiens
P22607-2,C,canonical,  1.000,  1.000,36,  2.574,15,4,4p16.3,1795560,1810598,+,,,P11362-2,1675,194,,,,FGFR3_HUMAN Isoform 2 of Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3,Homo sapiens
P08134,C,canonical,  0.998,  1.000,4,  1.466,4,1,1p13.2,113243755,113249749,-,,,P61586,1676,19,,,,RHOC_HUMAN Rho-related GTP-binding protein RhoC OS=Homo sapiens GN=RHOC PE=1 SV=1 CONCAT=5,Homo sapiens
P61586,C,canonical,  1.000,  1.000,5,  1.629,4,3,3p21.31,49396578,49449635,-,,,P61586,1676,19,,,,RHOA_HUMAN Transforming protein RhoA OS=Homo sapiens GN=RHOA PE=1 SV=1 CONCAT=4,Homo sapiens
Q8NBJ7,C,canonical,  0.052,  1.000,33,  6.047,11,7,7q11.1,0,0, ,,,Q8NBJ7,1677,19,,,,SUMF2_HUMAN Sulfatase-modifying factor 2 OS=Homo sapiens GN=SUMF2 PE=1 SV=2 CONCAT=7,Homo sapiens
Q8IZJ3-2,C,canonical,  1.000,  1.000,57,  2.038,37,19,19p13.11,17068357,17137625,-,,,Q8IZJ3-2,1678,9,,,,CPMD8_HUMAN Isoform 2 of C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 OS=Homo sapiens GN=CPAMD8,Homo sapiens
Q96FW1,C,canonical,  1.000,  1.000,5,  0.977,4,11,11q13.1,63753484,63765175,+,,,Q96FW1,1679,8,,,,OTUB1_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=2 CONCAT=2,Homo sapiens
Q8NFP4-2,C,canonical,  1.000,  1.000,100,  5.638,35,6,6p21.2,37600293,37665766,-,,,Q8NFP4-2,1680,9,,,,MDGA1_HUMAN Isoform 2 of MAM domain-containing glycosylphosphatidylinositol anchor protein 1 OS=Homo sapiens GN=MDGA1,Homo sapiens
Q8N573,C,canonical,  1.000,  1.000,14,  0.912,9,8,8q23,0,0, ,,,Q8N573,1681,11,,,,OXR1_HUMAN Oxidation resistance protein 1 OS=Homo sapiens GN=OXR1 PE=1 SV=2 CONCAT=4,Homo sapiens
O95428,C,canonical,  1.000,  1.000,105,  4.595,35,14,14q24.2,0,0, ,,,O95428,1682,11,,,,PPN_HUMAN Papilin OS=Homo sapiens GN=PAPLN PE=2 SV=4 CONCAT=17,Homo sapiens
Q7Z7H5-3,C,canonical,  1.000,  1.000,14,  3.731,7,7,7p13,44617493,44621858,-,,,Q7Z7H5-3,1683,8,,,,TMED4_HUMAN Isoform 3 of Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens GN=TMED4,Homo sapiens
Q9BVK6,C,canonical,  0.016,  1.000,8,  1.804,3,5,5q35.3,177019159,177023125,+,,,Q7Z7H5-3,1683,8,,,,TMED9_HUMAN Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2 CONCAT=8,Homo sapiens
Q9H6B4,C,canonical,  1.000,  1.000,9,  1.319,4,11,11q24.1,122943035,123065989,-,,,Q9H6B4,1684,2,,,,CLMP_HUMAN CXADR-like membrane protein OS=Homo sapiens GN=CLMP PE=1 SV=1 CONCAT=8,Homo sapiens
Q96RY7,C,canonical,  1.000,  1.000,3,  0.105,3,16,16p13.3,1560428,1662111,-,,,Q96RY7,1685,5,,,,IF140_HUMAN Intraflagellar transport protein 140 homolog OS=Homo sapiens GN=IFT140 PE=1 SV=1 CONCAT=17,Homo sapiens
Q14517,C,canonical,  1.000,  1.000,74,  1.043,56,4,4q35.2,187508937,187645009,-,,,Q14517,1686,13,,,,FAT1_HUMAN Protocadherin Fat 1 OS=Homo sapiens GN=FAT1 PE=1 SV=2 CONCAT=11,Homo sapiens
Q9UPZ6,C,canonical,  0.062,  1.000,19,  0.671,13,7,7p21.3,11409984,11871824,-,,,Q9UPZ6,1687,4,,,,THS7A_HUMAN Thrombospondin type-1 domain-containing protein 7A OS=Homo sapiens GN=THSD7A PE=1 SV=4 CONCAT=10,Homo sapiens
P51991-2,C,canonical,  1.000,  1.000,18,  2.777,13,2,2q31.2,178077291,178084813,+,,,P51991-2,1688,5,,,,ROA3_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3,Homo sapiens
Q14C87,C,canonical,  0.163,  1.000,120,  6.282,37,12,12q24.33,129556270,129570545,-,,,Q14C87,1689,3,,,,T132D_HUMAN Transmembrane protein 132D OS=Homo sapiens GN=TMEM132D PE=1 SV=1 CONCAT=9,Homo sapiens
Q13275-2,C,canonical,  1.000,  1.000,58,  4.251,27,3,3p21.31,50192562,50226508,+,,,Q13275-2,1690,9,,,,SEM3F_HUMAN Isoform 2 of Semaphorin-3F OS=Homo sapiens GN=SEMA3F,Homo sapiens
Q6FHJ7,C,canonical,  1.000,  1.000,45,  7.329,10,7,7p14.1,37945543,37956517,-,,,Q6FHJ7,1691,3,,,,SFRP4_HUMAN Secreted frizzled-related protein 4 OS=Homo sapiens GN=SFRP4 PE=1 SV=2 CONCAT=8,Homo sapiens
Q04446,C,canonical,  1.000,  1.000,3,  0.251,3,3,3p12.2,81538850,81811312,-,,,Q04446,1692,5,,,,"GLGB_HUMAN 1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3 CONCAT=14",Homo sapiens
Q4G0I0,C,canonical,  1.000,  1.000,6,  1.759,5,16,16p13.3,1469944,1479345,-,,,Q4G0I0,1693,3,,,,CSMT1_HUMAN Protein CCSMST1 OS=Homo sapiens GN=CCSMST1 PE=2 SV=1 CONCAT=6,Homo sapiens
P26927,C,canonical,  0.166,  1.000,144, 11.110,37,3,3p21.31,49722757,49726104,-,,,P26927,1694,17,,,,HGFL_HUMAN Hepatocyte growth factor-like protein OS=Homo sapiens GN=MST1 PE=1 SV=2 CONCAT=14,Homo sapiens
P43234,C,canonical,  1.000,  1.000,26,  5.082,10,4,4q32.1,156845270,156875069,-,,,P43234,1695,2,,,,CATO_HUMAN Cathepsin O OS=Homo sapiens GN=CTSO PE=2 SV=1 CONCAT=9,Homo sapiens
Q6PCB0,C,canonical,  1.000,  1.000,17,  2.167,12,1,1p36.33,1370903,1376145,+,,,Q6PCB0,1696,4,,,,VWA1_HUMAN von Willebrand factor A domain-containing protein 1 OS=Homo sapiens GN=VWA1 PE=2 SV=1 CONCAT=6,Homo sapiens
Q9BVH7,C,canonical,  1.000,  1.000,5,  1.128,3,1,1p31.1,77333126,77531396,+,,,Q9BVH7,1697,3,,,,"SIA7E_HUMAN Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 OS=Homo sapiens GN=ST6GALNAC5 PE=2 SV=1 CONCAT=1",Homo sapiens
Q5SGD2,C,canonical,  1.000,  1.000,4,  0.586,3,3,3q25.33,160560015,160787644,+,,,Q5SGD2,1698,4,,,,PPM1L_HUMAN Protein phosphatase 1L OS=Homo sapiens GN=PPM1L PE=1 SV=1 CONCAT=2,Homo sapiens
Q13449,C,canonical,  1.000,  1.000,808,124.678,36,3,3q13.31,115521235,116164378,-,,,Q13449,1699,8,,,,LSAMP_HUMAN Limbic system-associated membrane protein OS=Homo sapiens GN=LSAMP PE=1 SV=2 CONCAT=10,Homo sapiens
P62937,C,canonical,  1.000,  1.000,98, 28.731,18,7,7p11.2-p13,0,0, ,,,P62937,1700,29,,,,PPIA_HUMAN Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2 CONCAT=2,Homo sapiens
O60449-2,C,canonical,  1.000,  1.000,19,  0.580,16,2,2q24.2,160659866,160761221,-,,,O60449-2,1701,6,,,,LY75_HUMAN Isoform 2 of Lymphocyte antigen 75 OS=Homo sapiens GN=LY75,Homo sapiens
P63244,C,canonical,  1.000,  1.000,5,  0.733,5,5,5q35.3,0,0, ,,,P63244,1702,24,,,,GBLP_HUMAN Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=1 SV=3 CONCAT=2,Homo sapiens
O00451,C,canonical,  0.119,  1.000,131, 15.362,26,8,8p21.3,21549532,21646346,-,,,O00451,1703,8,,,,GFRA2_HUMAN GDNF family receptor alpha-2 OS=Homo sapiens GN=GFRA2 PE=2 SV=2 CONCAT=11,Homo sapiens
P55145,C,canonical,  0.039,  1.000,15,  4.886,8,3,3p21.2,51422478,51426828,+,,,P55145,1704,4,,,,MANF_HUMAN Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=3 CONCAT=6,Homo sapiens
Q9NQ34,C,canonical,  1.000,  1.000,2,  0.586,2,11,11p15.4,8968841,8986320,-,,,Q9NQ34,1705,4,,,,TMM9B_HUMAN Transmembrane protein 9B OS=Homo sapiens GN=TMEM9B PE=1 SV=1 CONCAT=6,Homo sapiens
P68402,C,canonical,  1.000,  1.000,3,  0.880,2,11,11q23,0,0, ,,,P68402,1706,5,,,,PA1B2_HUMAN Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens GN=PAFAH1B2 PE=1 SV=1 CONCAT=2,Homo sapiens
Q15063-3,C,canonical,  1.000,  1.000,83,  6.759,32,13,13q13.3,38136771,38172895,-,,,Q15063-3,1707,8,,,,POSTN_HUMAN Isoform 3 of Periostin OS=Homo sapiens GN=POSTN,Homo sapiens
Q9BY67-5,C,canonical,  1.000,  1.000,429, 59.892,32,11,11q23.2,0,0, ,,,Q9BY67-5,1708,13,,,,CADM1_HUMAN Isoform 5 of Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1,Homo sapiens
O60245,C,canonical,  0.000,  1.000,53,  3.171,18,4,4p15.1,30722037,30733590,+,,,O60245,1709,5,,,,PCDH7_HUMAN Protocadherin-7 OS=Homo sapiens GN=PCDH7 PE=1 SV=2 CONCAT=6,Homo sapiens
Q13421-2,C,canonical,  1.000,  1.000,42,  3.518,19,16,16p13.12,0,0, ,,,Q13421-2,1710,7,,,,MSLN_HUMAN Isoform 3 of Mesothelin OS=Homo sapiens GN=MSLN,Homo sapiens
P08493,C,canonical,  0.043,  1.000,54, 31.663,9,12,12p12.3,15034832,15038791,-,,,P08493,1711,3,,,,MGP_HUMAN Matrix Gla protein OS=Homo sapiens GN=MGP PE=1 SV=2 CONCAT=12,Homo sapiens
P60660-2,C,canonical,  1.000,  1.000,14,  4.104,8,12,12q13.2,56552146,56555358,+,,,P60660-2,1712,21,,,,MYL6_HUMAN Isoform Smooth muscle of Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6,Homo sapiens
P07311,C,canonical,  0.039,  1.000,19,  6.963,8,14,14q24.3,75519924,75530752,-,,,P07311,1713,5,,,,ACYP1_HUMAN Acylphosphatase-1 OS=Homo sapiens GN=ACYP1 PE=1 SV=2 CONCAT=2,Homo sapiens
P61769,C,canonical,  1.000,  1.000,1435,701.183,62,15,15q21.1,45003675,45011075,+,,,P61769,1714,5,,,,B2MG_HUMAN Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1 CONCAT=11,Homo sapiens
P16284,C,canonical,  1.000,  1.000,6,  0.400,6,17,17q23,0,0, ,,,P16284,1715,10,,,,PECA1_HUMAN Platelet endothelial cell adhesion molecule OS=Homo sapiens GN=PECAM1 PE=1 SV=1 CONCAT=11,Homo sapiens
P01258,C,canonical,  1.000,  1.000,18,  5.864,4,11,11p15.2,14990047,14993900,-,,,P01258,1716,10,,,,CALC_HUMAN Calcitonin OS=Homo sapiens GN=CALCA PE=1 SV=2 CONCAT=19,Homo sapiens
Q9HCB6,C,canonical,  0.176,  1.000,186, 14.350,39,HG256_PATCH,HG256_PATCHp15.2,13984236,14289351,+,,,Q9HCB6,1717,2,,,,SPON1_HUMAN Spondin-1 OS=Homo sapiens GN=SPON1 PE=1 SV=2 CONCAT=6,Homo sapiens
I3L3R5,C,canonical,  1.000,  1.000,12,  2.199,5,19,19q13.2,0,0, ,,,I3L3R5,1718,2,,,,CCER2_HUMAN Coiled-coil domain-containing glutamate-rich protein 2 OS=Homo sapiens GN=CCER2 PE=4 SV=1 CONCAT=6,Homo sapiens
Q13214,C,canonical,  1.000,  1.000,84,  6.157,29,HG325_PATCH,HG325_PATCHp21.31,50306438,50314572,+,,,Q13214,1719,8,,,,SEM3B_HUMAN Semaphorin-3B OS=Homo sapiens GN=SEMA3B PE=2 SV=1 CONCAT=9,Homo sapiens
Q13217,C,canonical,  1.000,  1.000,49,  5.746,23,13,13q32.1,96329393,96447243,+,,,Q13217,1720,2,,,,DNJC3_HUMAN DnaJ homolog subfamily C member 3 OS=Homo sapiens GN=DNAJC3 PE=1 SV=1 CONCAT=6,Homo sapiens
P01817,C,canonical,  0.000,  1.000,2,  1.466,2,,,0,0, ,,,P01817,1721,4,,,Ig,HV204_HUMAN Ig heavy chain V-II region MCE OS=Homo sapiens PE=1 SV=1,Homo sapiens
Q8IYS5,C,canonical,  1.000,  1.000,28,  7.463,8,19,19q13.42,54597935,54606000,-,,,Q8IYS5,1722,14,,,,OSCAR_HUMAN Osteoclast-associated immunoglobulin-like receptor OS=Homo sapiens GN=OSCAR PE=2 SV=3 CONCAT=8,Homo sapiens
Q8N6Q3,C,canonical,  0.039,  1.000,10,  1.725,8,19,19q13.31,43857825,43859725,+,,,Q8N6Q3,1723,8,,,,CD177_HUMAN CD177 antigen OS=Homo sapiens GN=CD177 PE=1 SV=2 CONCAT=17,Homo sapiens
Q9Y5Z4,C,canonical,  1.000,  1.000,7,  2.052,5,6,6q23.3,138725356,138743334,+,,,Q9Y5Z4,1724,4,,,,HEBP2_HUMAN Heme-binding protein 2 OS=Homo sapiens GN=HEBP2 PE=1 SV=1 CONCAT=4,Homo sapiens
