Accession;Protein Name;Molecular Weight;Protein Grouping Ambiguity;Flow-through Proteins;Original Proteins;Bound Proteins;Commonly identifiable proteins in normal CSF
Q09666;Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2;629 kDa;;7;0;0;
Q0P6D2;Protein FAM69C OS=Homo sapiens GN=FAM69C PE=2 SV=3;46 kDa;;8;6;;Yes
Q10469;Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens GN=MGAT2 PE=1 SV=1;52 kDa;;11;9;;Yes
Q10471;Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens GN=GALNT2 PE=1 SV=1;65 kDa;TRUE;25;17;0;Yes
Q10472;Polypeptide N-acetylgalactosaminyltransferase 1 OS=Homo sapiens GN=GALNT1 PE=1 SV=1;64 kDa;TRUE;18;8;0;Yes
Q10567;AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2;105 kDa;TRUE;11;7;;Yes
Q10588;ADP-ribosyl cyclase 2 OS=Homo sapiens GN=BST1 PE=1 SV=2;36 kDa;;5;9;;Yes
Q11201;Cluster of CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 OS=Homo sapiens GN=ST3GAL1 PE=2 SV=1 (Q11201);39 kDa;TRUE;3;2;;
Q11206;CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 OS=Homo sapiens GN=ST3GAL4 PE=2 SV=1;38 kDa;;8;;;
Q12765;Secernin-1 OS=Homo sapiens GN=SCRN1 PE=1 SV=2;46 kDa;;7;3;;Yes
Q12794;Hyaluronidase-1 OS=Homo sapiens GN=HYAL1 PE=1 SV=2;48 kDa;;1;3;5;
Q12797;Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3;86 kDa;;10;10;2;Yes
Q12805;EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens GN=EFEMP1 PE=1 SV=2;55 kDa;;28;30;14;Yes
Q12841;Follistatin-related protein 1 OS=Homo sapiens GN=FSTL1 PE=1 SV=1;35 kDa;;19;17;4;Yes
Q12860;Contactin-1 OS=Homo sapiens GN=CNTN1 PE=1 SV=1;113 kDa;;57;49;19;Yes
Q12866;Tyrosine-protein kinase Mer OS=Homo sapiens GN=MERTK PE=1 SV=2;110 kDa;;7;4;;Yes
Q12884;Seprase OS=Homo sapiens GN=FAP PE=1 SV=5;88 kDa;TRUE;10;1;0;
Q12907;Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1;40 kDa;;19;12;2;Yes
Q12913;Receptor-type tyrosine-protein phosphatase eta OS=Homo sapiens GN=PTPRJ PE=1 SV=3;146 kDa;;13;8;0;
Q13018;Secretory phospholipase A2 receptor OS=Homo sapiens GN=PLA2R1 PE=1 SV=2;169 kDa;;7;1;;
Q13087;Protein disulfide-isomerase A2 OS=Homo sapiens GN=PDIA2 PE=1 SV=2;58 kDa;;4;0;;
Q13093;Platelet-activating factor acetylhydrolase OS=Homo sapiens GN=PLA2G7 PE=1 SV=1;50 kDa;;1;3;4;
Q13103;Secreted phosphoprotein 24 OS=Homo sapiens GN=SPP2 PE=1 SV=1;24 kDa;;2;;;
Q13126;S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens GN=MTAP PE=1 SV=2;31 kDa;;5;;;
Q13145;BMP and activin membrane-bound inhibitor homolog OS=Homo sapiens GN=BAMBI PE=1 SV=1;29 kDa;;4;4;;Yes
Q13185;Chromobox protein homolog 3 OS=Homo sapiens GN=CBX3 PE=1 SV=4;21 kDa;TRUE;1;0;5;
Q13201;Multimerin-1 OS=Homo sapiens GN=MMRN1 PE=1 SV=3;138 kDa;;4;1;0;Yes
Q13214;Semaphorin-3B OS=Homo sapiens GN=SEMA3B PE=2 SV=1;83 kDa;TRUE;20;13;;Yes
Q13217;DnaJ homolog subfamily C member 3 OS=Homo sapiens GN=DNAJC3 PE=1 SV=1;58 kDa;;16;15;1;Yes
Q13219;Pappalysin-1 OS=Homo sapiens GN=PAPPA PE=1 SV=3;181 kDa;;6;;;
Q13228;Selenium-binding protein 1 OS=Homo sapiens GN=SELENBP1 PE=1 SV=2;52 kDa;;27;22;9;Yes
Q13231;Chitotriosidase-1 OS=Homo sapiens GN=CHIT1 PE=1 SV=1;52 kDa;;8;4;;Yes
Q13232;Nucleoside diphosphate kinase 3 OS=Homo sapiens GN=NME3 PE=1 SV=2;19 kDa;;4;3;;Yes
Q13255;Metabotropic glutamate receptor 1 OS=Homo sapiens GN=GRM1 PE=1 SV=3;132 kDa;;2;;;
Q13275;Semaphorin-3F OS=Homo sapiens GN=SEMA3F PE=2 SV=2;88 kDa;TRUE;18;10;;
Q13283;Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1;52 kDa;TRUE;1;;2;
Q13308;Inactive tyrosine-protein kinase 7 OS=Homo sapiens GN=PTK7 PE=1 SV=2;118 kDa;;10;7;;Yes
Q13332;Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens GN=PTPRS PE=1 SV=3;217 kDa;TRUE;37;31;1;Yes
Q13361;Microfibrillar-associated protein 5 OS=Homo sapiens GN=MFAP5 PE=1 SV=1;20 kDa;;2;4;1;
Q13409;Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 PE=1 SV=3;71 kDa;;3;0;;Yes
Q13421;Mesothelin OS=Homo sapiens GN=MSLN PE=1 SV=2;69 kDa;;11;5;0;Yes
Q13438;Protein OS-9 OS=Homo sapiens GN=OS9 PE=1 SV=1;76 kDa;;5;3;;
Q13442;28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1;21 kDa;;2;;1;
Q13443;Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens GN=ADAM9 PE=1 SV=1;91 kDa;;10;5;5;Yes
Q13444;Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens GN=ADAM15 PE=1 SV=4;93 kDa;;7;6;1;
Q13449;Limbic system-associated membrane protein OS=Homo sapiens GN=LSAMP PE=1 SV=2;37 kDa;TRUE;17;18;3;Yes
Q13492;Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2;71 kDa;TRUE;2;1;;
Q13501;Sequestosome-1 OS=Homo sapiens GN=SQSTM1 PE=1 SV=1;48 kDa;;3;4;;
Q13508;Ecto-ADP-ribosyltransferase 3 OS=Homo sapiens GN=ART3 PE=1 SV=2;44 kDa;TRUE;11;11;2;Yes
Q13509;Cluster of Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2 (Q13509);50 kDa;TRUE;21;8;24;
Q13510;Acid ceramidase OS=Homo sapiens GN=ASAH1 PE=1 SV=5;45 kDa;;17;7;3;Yes
Q13519;Prepronociceptin OS=Homo sapiens GN=PNOC PE=1 SV=1;20 kDa;;4;2;;Yes
Q13554;Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Homo sapiens GN=CAMK2B PE=1 SV=3;73 kDa;TRUE;7;7;3;Yes
Q13555;Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens GN=CAMK2G PE=1 SV=3;63 kDa;TRUE;6;4;1;
Q13557;Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=1 SV=3;56 kDa;TRUE;6;4;2;Yes
Q13573;SNW domain-containing protein 1 OS=Homo sapiens GN=SNW1 PE=1 SV=1;61 kDa;;0;;2;
Q13586;Stromal interaction molecule 1 OS=Homo sapiens GN=STIM1 PE=1 SV=3;77 kDa;;3;;;
Q13591;Semaphorin-5A OS=Homo sapiens GN=SEMA5A PE=1 SV=3;121 kDa;TRUE;8;2;;
Q13634;Cadherin-18 OS=Homo sapiens GN=CDH18 PE=2 SV=1;88 kDa;;7;4;0;
Q13641;Trophoblast glycoprotein OS=Homo sapiens GN=TPBG PE=1 SV=1;46 kDa;;5;5;;Yes
Q13642;Four and a half LIM domains protein 1 OS=Homo sapiens GN=FHL1 PE=1 SV=4;36 kDa;;4;4;;
Q13683;Integrin alpha-7 OS=Homo sapiens GN=ITGA7 PE=1 SV=3;129 kDa;;5;2;;
Q13724;Mannosyl-oligosaccharide glucosidase OS=Homo sapiens GN=MOGS PE=1 SV=5;92 kDa;;4;1;0;
Q13740;CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2;65 kDa;;25;20;1;Yes
Q13753;Laminin subunit gamma-2 OS=Homo sapiens GN=LAMC2 PE=1 SV=2;131 kDa;;2;;0;
Q13790;Apolipoprotein F OS=Homo sapiens GN=APOF PE=1 SV=2;35 kDa;;4;2;2;
Q13813;Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3;285 kDa;TRUE;9;0;1;
Q13822;Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Homo sapiens GN=ENPP2 PE=1 SV=3;99 kDa;;45;47;6;Yes
Q13867;Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1;53 kDa;;14;5;2;Yes
Q13873;Bone morphogenetic protein receptor type-2 OS=Homo sapiens GN=BMPR2 PE=1 SV=2;115 kDa;;2;1;;Yes
Q13938;Calcyphosin OS=Homo sapiens GN=CAPS PE=1 SV=1;21 kDa;;2;1;;
Q14019;Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3;16 kDa;;7;6;1;Yes
Q14103;Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1;38 kDa;TRUE;3;;4;
Q14112;Nidogen-2 OS=Homo sapiens GN=NID2 PE=1 SV=3;151 kDa;TRUE;40;35;1;Yes
Q14114;Low-density lipoprotein receptor-related protein 8 OS=Homo sapiens GN=LRP8 PE=1 SV=4;106 kDa;TRUE;21;8;;Yes
Q14116;Interleukin-18 OS=Homo sapiens GN=IL18 PE=1 SV=1;22 kDa;;2;1;;
Q14118;Dystroglycan OS=Homo sapiens GN=DAG1 PE=1 SV=2;97 kDa;;18;18;4;Yes
Q14126;Desmoglein-2 OS=Homo sapiens GN=DSG2 PE=1 SV=2;122 kDa;;15;13;;Yes
Q14162;Scavenger receptor class F member 1 OS=Homo sapiens GN=SCARF1 PE=1 SV=3;87 kDa;TRUE;2;2;;
Q14165;Malectin OS=Homo sapiens GN=MLEC PE=1 SV=1;32 kDa;;9;6;;Yes
Q14194;Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 PE=1 SV=1;62 kDa;TRUE;3;1;2;
Q14195;Dihydropyrimidinase-related protein 3 OS=Homo sapiens GN=DPYSL3 PE=1 SV=1;62 kDa;TRUE;4;2;7;
Q14204;Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5;532 kDa;;2;1;0;
Q14213;Interleukin-27 subunit beta OS=Homo sapiens GN=EBI3 PE=1 SV=2;25 kDa;;2;2;1;
Q14254;Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=1 SV=2;47 kDa;;3;1;;
Q14257;Reticulocalbin-2 OS=Homo sapiens GN=RCN2 PE=1 SV=1;37 kDa;;6;;;
Q14314;Fibroleukin OS=Homo sapiens GN=FGL2 PE=1 SV=1;50 kDa;TRUE;10;10;;Yes
Q14315;Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3;291 kDa;TRUE;17;3;1;Yes
Q14393;Growth arrest-specific protein 6 OS=Homo sapiens GN=GAS6 PE=1 SV=2;80 kDa;TRUE;22;22;4;Yes
Q14435;Polypeptide N-acetylgalactosaminyltransferase 3 OS=Homo sapiens GN=GALNT3 PE=2 SV=2;73 kDa;TRUE;7;1;;
Q14508;WAP four-disulfide core domain protein 2 OS=Homo sapiens GN=WFDC2 PE=1 SV=2;13 kDa;;4;5;;Yes
Q14515;SPARC-like protein 1 OS=Homo sapiens GN=SPARCL1 PE=1 SV=2;75 kDa;TRUE;47;37;12;Yes
Q14517;Protocadherin Fat 1 OS=Homo sapiens GN=FAT1 PE=1 SV=2;506 kDa;TRUE;43;14;0;
Q14520;Hyaluronan-binding protein 2 OS=Homo sapiens GN=HABP2 PE=1 SV=1;63 kDa;;16;16;2;Yes
Q14563;Semaphorin-3A OS=Homo sapiens GN=SEMA3A PE=2 SV=1;89 kDa;TRUE;11;5;0;Yes
Q14574;Desmocollin-3 OS=Homo sapiens GN=DSC3 PE=1 SV=3;100 kDa;TRUE;3;4;;Yes
Q14596;Next to BRCA1 gene 1 protein OS=Homo sapiens GN=NBR1 PE=1 SV=3;107 kDa;;2;;;
Q14624;Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4 PE=1 SV=4;103 kDa;;41;40;12;Yes
Q14651;Plastin-1 OS=Homo sapiens GN=PLS1 PE=1 SV=2;70 kDa;TRUE;4;2;1;
Q14696;LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2;26 kDa;;6;3;;Yes
Q14697;Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3;107 kDa;;30;12;12;Yes
Q14703;Membrane-bound transcription factor site-1 protease OS=Homo sapiens GN=MBTPS1 PE=1 SV=1;118 kDa;;5;;0;
Q14766;Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens GN=LTBP1 PE=1 SV=4;187 kDa;;34;24;9;Yes
Q14767;Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens GN=LTBP2 PE=1 SV=3;195 kDa;TRUE;30;24;2;Yes
Q14832;Cluster of Metabotropic glutamate receptor 3 OS=Homo sapiens GN=GRM3 PE=1 SV=2 (Q14832);99 kDa;TRUE;3;0;0;
Q14833;Metabotropic glutamate receptor 4 OS=Homo sapiens GN=GRM4 PE=1 SV=1;102 kDa;TRUE;2;0;;
Q14847;LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2;30 kDa;;2;1;1;
Q14894;Thiomorpholine-carboxylate dehydrogenase OS=Homo sapiens GN=CRYM PE=1 SV=1;34 kDa;;6;8;;
Q14914;Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1 PE=1 SV=2;36 kDa;;2;;;
Q14956;Transmembrane glycoprotein NMB OS=Homo sapiens GN=GPNMB PE=1 SV=2;64 kDa;;5;3;;Yes
Q14974;Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2;97 kDa;;1;0;2;
Q14982;Opioid-binding protein/cell adhesion molecule OS=Homo sapiens GN=OPCML PE=1 SV=1;38 kDa;TRUE;15;14;3;Yes
Q14C87;Transmembrane protein 132D OS=Homo sapiens GN=TMEM132D PE=1 SV=1;122 kDa;TRUE;24;14;1;Yes
Q14CN2;Calcium-activated chloride channel regulator 4 OS=Homo sapiens GN=CLCA4 PE=1 SV=2;101 kDa;;2;;;
Q14CZ8;Hepatocyte cell adhesion molecule OS=Homo sapiens GN=HEPACAM PE=1 SV=1;46 kDa;;4;3;;Yes
Q14DG7;Transmembrane protein 132B OS=Homo sapiens GN=TMEM132B PE=2 SV=2;119 kDa;;15;7;0;Yes
Q15043;Zinc transporter ZIP14 OS=Homo sapiens GN=SLC39A14 PE=1 SV=3;54 kDa;;2;1;;
Q15047;Histone-lysine N-methyltransferase SETDB1 OS=Homo sapiens GN=SETDB1 PE=1 SV=1;143 kDa;;0;1;2;
Q15058;Kinesin-like protein KIF14 OS=Homo sapiens GN=KIF14 PE=1 SV=1;186 kDa;;0;2;0;
Q15063;Periostin OS=Homo sapiens GN=POSTN PE=1 SV=2;93 kDa;;20;7;1;Yes
Q15084;Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1;48 kDa;;9;4;3;Yes
Q15113;Procollagen C-endopeptidase enhancer 1 OS=Homo sapiens GN=PCOLCE PE=1 SV=2;48 kDa;;20;23;2;Yes
Q15121;Astrocytic phosphoprotein PEA-15 OS=Homo sapiens GN=PEA15 PE=1 SV=2;15 kDa;;4;;;
Q15124;Phosphoglucomutase-like protein 5 OS=Homo sapiens GN=PGM5 PE=1 SV=2;62 kDa;;4;;;
Q15149;Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3;532 kDa;TRUE;5;1;1;
Q15154;Pericentriolar material 1 protein OS=Homo sapiens GN=PCM1 PE=1 SV=4;229 kDa;;3;0;0;
Q15165;Serum paraoxonase/arylesterase 2 OS=Homo sapiens GN=PON2 PE=1 SV=3;39 kDa;TRUE;6;2;;
Q15166;Serum paraoxonase/lactonase 3 OS=Homo sapiens GN=PON3 PE=1 SV=3;40 kDa;;2;5;5;
Q15198;Platelet-derived growth factor receptor-like protein OS=Homo sapiens GN=PDGFRL PE=1 SV=1;42 kDa;;6;1;;
Q15223;Poliovirus receptor-related protein 1 OS=Homo sapiens GN=PVRL1 PE=1 SV=3;57 kDa;;8;5;1;Yes
Q15233;Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4;54 kDa;;1;;3;
Q15256;Receptor-type tyrosine-protein phosphatase R OS=Homo sapiens GN=PTPRR PE=1 SV=2;74 kDa;;7;3;;Yes
Q15257;Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens GN=PPP2R4 PE=1 SV=3;41 kDa;;2;;;
Q15262;Receptor-type tyrosine-protein phosphatase kappa OS=Homo sapiens GN=PTPRK PE=1 SV=2;162 kDa;;16;11;0;Yes
Q15274;Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Homo sapiens GN=QPRT PE=1 SV=3;31 kDa;;6;;;
Q15293;Reticulocalbin-1 OS=Homo sapiens GN=RCN1 PE=1 SV=1;39 kDa;;9;5;;Yes
Q15303;Receptor tyrosine-protein kinase erbB-4 OS=Homo sapiens GN=ERBB4 PE=1 SV=1;147 kDa;TRUE;17;7;;Yes
Q15363;Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens GN=TMED2 PE=1 SV=1;23 kDa;;2;;;
Q15365;Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2;37 kDa;TRUE;3;;2;
Q15375;Ephrin type-A receptor 7 OS=Homo sapiens GN=EPHA7 PE=1 SV=3;112 kDa;TRUE;13;8;;Yes
Q15404;Ras suppressor protein 1 OS=Homo sapiens GN=RSU1 PE=1 SV=3;32 kDa;;4;;;
Q15417;Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1;36 kDa;TRUE;2;;;
Q15435;Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens GN=PPP1R7 PE=1 SV=1;42 kDa;;8;2;1;
Q15459;Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1;89 kDa;;3;1;0;
Q15465;Cluster of Sonic hedgehog protein OS=Homo sapiens GN=SHH PE=1 SV=1 (Q15465);50 kDa;TRUE;2;6;4;
Q15485;Ficolin-2 OS=Homo sapiens GN=FCN2 PE=1 SV=2;34 kDa;TRUE;2;;;
Q15493;Regucalcin OS=Homo sapiens GN=RGN PE=1 SV=1;33 kDa;;8;4;;
Q15582;Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1;75 kDa;;28;28;16;Yes
Q15691;Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3;30 kDa;;2;;1;
Q15746;Myosin light chain kinase, smooth muscle OS=Homo sapiens GN=MYLK PE=1 SV=4;211 kDa;;3;0;2;
Q15762;CD226 antigen OS=Homo sapiens GN=CD226 PE=1 SV=2;39 kDa;;2;;;
Q15768;Ephrin-B3 OS=Homo sapiens GN=EFNB3 PE=1 SV=1;36 kDa;;8;2;;Yes
Q15782;Chitinase-3-like protein 2 OS=Homo sapiens GN=CHI3L2 PE=1 SV=1;44 kDa;;12;6;;Yes
Q15818;Neuronal pentraxin-1 OS=Homo sapiens GN=NPTX1 PE=2 SV=2;47 kDa;TRUE;17;21;5;Yes
Q15819;Cluster of Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens GN=UBE2V2 PE=1 SV=4 (Q15819);16 kDa;TRUE;7;5;2;Yes
Q15828;Cystatin-M OS=Homo sapiens GN=CST6 PE=1 SV=1;17 kDa;;7;7;1;Yes
Q15843;NEDD8 OS=Homo sapiens GN=NEDD8 PE=1 SV=1;9 kDa;;2;1;;
Q15846;Clusterin-like protein 1 OS=Homo sapiens GN=CLUL1 PE=1 SV=1;54 kDa;;3;8;5;
Q15847;Adipose most abundant gene transcript 2 protein OS=Homo sapiens GN=APM2 PE=1 SV=1;8 kDa;;2;1;;
Q15848;Adiponectin OS=Homo sapiens GN=ADIPOQ PE=1 SV=1;26 kDa;;2;1;1;
Q15904;V-type proton ATPase subunit S1 OS=Homo sapiens GN=ATP6AP1 PE=1 SV=2;52 kDa;;7;7;5;Yes
Q15942;Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1;61 kDa;;2;1;;
Q16143;Beta-synuclein OS=Homo sapiens GN=SNCB PE=1 SV=1;14 kDa;TRUE;2;2;;
Q16204;Coiled-coil domain-containing protein 6 OS=Homo sapiens GN=CCDC6 PE=1 SV=2;53 kDa;;2;;;
Q16270;Insulin-like growth factor-binding protein 7 OS=Homo sapiens GN=IGFBP7 PE=1 SV=1;29 kDa;;21;15;4;Yes
Q16288;NT-3 growth factor receptor OS=Homo sapiens GN=NTRK3 PE=1 SV=2;94 kDa;TRUE;7;4;;Yes
Q16363;Laminin subunit alpha-4 OS=Homo sapiens GN=LAMA4 PE=1 SV=4;203 kDa;;34;17;0;Yes
Q16394;Exostosin-1 OS=Homo sapiens GN=EXT1 PE=1 SV=2;86 kDa;TRUE;18;5;;Yes
Q16401;26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5 PE=1 SV=3;56 kDa;;2;;;
Q16531;DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1;127 kDa;;15;5;1;Yes
Q16549;Proprotein convertase subtilisin/kexin type 7 OS=Homo sapiens GN=PCSK7 PE=1 SV=2;86 kDa;;2;1;;
Q16555;Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1;62 kDa;TRUE;10;5;7;
Q16568;Cocaine- and amphetamine-regulated transcript protein OS=Homo sapiens GN=CARTPT PE=1 SV=1;13 kDa;;4;5;;Yes
Q16610;Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2;61 kDa;;30;25;3;Yes
Q16620;BDNF/NT-3 growth factors receptor OS=Homo sapiens GN=NTRK2 PE=1 SV=1;92 kDa;TRUE;9;6;2;Yes
Q16623;Syntaxin-1A OS=Homo sapiens GN=STX1A PE=1 SV=1;33 kDa;TRUE;4;;2;
Q16627;C-C motif chemokine 14 OS=Homo sapiens GN=CCL14 PE=1 SV=1;11 kDa;;4;1;;
Q16629;Serine/arginine-rich splicing factor 7 OS=Homo sapiens GN=SRSF7 PE=1 SV=1;27 kDa;;3;;5;
Q16653;Myelin-oligodendrocyte glycoprotein OS=Homo sapiens GN=MOG PE=1 SV=2;28 kDa;;5;6;1;Yes
Q16658;Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3;55 kDa;;10;8;2;Yes
Q16663;C-C motif chemokine 15 OS=Homo sapiens GN=CCL15 PE=1 SV=2;12 kDa;;1;2;;
Q16674;Melanoma-derived growth regulatory protein OS=Homo sapiens GN=MIA PE=1 SV=1;15 kDa;;5;4;;
Q16695;Cluster of Histone H3.1t OS=Homo sapiens GN=HIST3H3 PE=1 SV=3 (Q16695);16 kDa;TRUE;;1;2;
Q16706;Alpha-mannosidase 2 OS=Homo sapiens GN=MAN2A1 PE=1 SV=2;131 kDa;TRUE;41;23;2;Yes
Q16720;Cluster of Plasma membrane calcium-transporting ATPase 3 OS=Homo sapiens GN=ATP2B3 PE=1 SV=3 (Q16720);134 kDa;TRUE;6;1;0;
Q16769;Glutaminyl-peptide cyclotransferase OS=Homo sapiens GN=QPCT PE=1 SV=1;41 kDa;;5;11;7;Yes
Q16773;Kynurenine--oxoglutarate transaminase 1 OS=Homo sapiens GN=CCBL1 PE=1 SV=1;48 kDa;;3;;;
Q16775;Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens GN=HAGH PE=1 SV=2;34 kDa;;6;3;;
Q16787;Laminin subunit alpha-3 OS=Homo sapiens GN=LAMA3 PE=1 SV=2;367 kDa;TRUE;20;3;;
Q16799;Reticulon-1 OS=Homo sapiens GN=RTN1 PE=1 SV=1;84 kDa;;3;1;;
Q16827;Receptor-type tyrosine-protein phosphatase O OS=Homo sapiens GN=PTPRO PE=1 SV=2;138 kDa;;4;1;;
Q16832;Discoidin domain-containing receptor 2 OS=Homo sapiens GN=DDR2 PE=1 SV=2;97 kDa;TRUE;6;2;;
Q16849;Receptor-type tyrosine-protein phosphatase-like N OS=Homo sapiens GN=PTPRN PE=1 SV=1;106 kDa;;16;11;1;Yes
Q16851;UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=1 SV=5;57 kDa;;4;2;;
Q16853;Cluster of Membrane primary amine oxidase OS=Homo sapiens GN=AOC3 PE=1 SV=3 (Q16853);85 kDa;TRUE;8;3;0;Yes
Q16881;Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3;71 kDa;TRUE;11;5;1;
Q24JP5;Transmembrane protein 132A OS=Homo sapiens GN=TMEM132A PE=2 SV=1;110 kDa;;26;21;4;Yes
Q2M2I5;Keratin, type I cytoskeletal 24 OS=Homo sapiens GN=KRT24 PE=1 SV=1;55 kDa;TRUE;1;1;2;
Q2TAA2;Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Homo sapiens GN=IAH1 PE=1 SV=1;28 kDa;;6;;0;
Q2TAL6;Brorin OS=Homo sapiens GN=VWC2 PE=2 SV=1;35 kDa;;6;4;;
Q2TB90;Putative hexokinase HKDC1 OS=Homo sapiens GN=HKDC1 PE=2 SV=3;103 kDa;TRUE;3;0;2;
Q2UY09;Collagen alpha-1(XXVIII) chain OS=Homo sapiens GN=COL28A1 PE=2 SV=2;117 kDa;;15;6;2;
Q2VPA4;Complement component receptor 1-like protein OS=Homo sapiens GN=CR1L PE=1 SV=3;63 kDa;TRUE;2;;;
Q30154;Cluster of HLA class II histocompatibility antigen, DR beta 5 chain OS=Homo sapiens GN=HLA-DRB5 PE=1 SV=1 (Q30154);30 kDa;TRUE;7;2;1;
Q32P28;Prolyl 3-hydroxylase 1 OS=Homo sapiens GN=LEPRE1 PE=1 SV=2;83 kDa;;3;2;;
Q32P44;Echinoderm microtubule-associated protein-like 3 OS=Homo sapiens GN=EML3 PE=1 SV=1;95 kDa;;;0;2;
Q3LXA3;Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing) OS=Homo sapiens GN=DAK PE=1 SV=2;59 kDa;;2;;;
Q3SY84;Cluster of Keratin, type II cytoskeletal 71 OS=Homo sapiens GN=KRT71 PE=1 SV=3 (Q3SY84);57 kDa;TRUE;4;4;4;
Q3T906;N-acetylglucosamine-1-phosphotransferase subunits alpha/beta OS=Homo sapiens GN=GNPTAB PE=1 SV=1;144 kDa;;3;;;
Q3V5L5;Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B OS=Homo sapiens GN=MGAT5B PE=2 SV=2;90 kDa;;2;;;
Q495W5;Alpha-(1,3)-fucosyltransferase 11 OS=Homo sapiens GN=FUT11 PE=1 SV=1;56 kDa;;9;4;;Yes
