"CSF-PR / CSF GEL DEPLETED FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
10432.00,"SINGLE PROTEIN","Q9UNP9",""," Peptidyl-prolyl cis-trans isomerase E (PPIE_HUMAN)","1","PPIE",0.00,"false",0.00,0.00,0.00,3066.00,33.41,0.00,,,,,"false"
10433.00,"SINGLE PROTEIN","P26439",""," 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 (3BHS2_HUMAN)","1","HSD3B2",0.00,"false",0.00,0.00,0.00,3066.00,42.03,0.00,,,,,"false"
10434.00,"SINGLE PROTEIN","P25103",""," Substance-P receptor (NK1R_HUMAN)","2","TACR1",0.00,"false",0.00,0.00,0.00,3066.00,46.22,0.00,,,,,"false"
10435.00,"UNRELATED PROTEINS","Q15596","Q99519"," Nuclear receptor coactivator 2 (NCOA2_HUMAN)","8","NCOA2",0.00,"false",0.00,0.00,0.00,3066.00,159.06,0.00,,,,,"false"
10436.00,"SINGLE PROTEIN","P26436",""," Acrosomal protein SP-10 (ASPX_HUMAN)","11","ACRV1",0.00,"false",0.00,0.00,0.00,3066.00,28.14,0.00,,,,,"false"
10437.00,"SINGLE PROTEIN","Q9UNQ2",""," Probable dimethyladenosine transferase (DIM1_HUMAN)","5","DIMT1",0.00,"false",0.00,0.00,0.00,3066.00,35.21,0.00,,,,,"false"
10438.00,"SINGLE PROTEIN","Q9UNQ0",""," ATP-binding cassette sub-family G member 2 (ABCG2_HUMAN)","4","ABCG2",0.00,"false",0.00,0.00,0.00,3066.00,72.27,0.00,,,,,"false"
10439.00,"SINGLE PROTEIN","Q00722",""," 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 (PLCB2_HUMAN)","15","PLCB2",0.00,"false",0.00,0.00,0.00,3066.00,133.94,0.00,,,,,"false"
10440.00,"SINGLE PROTEIN","Q5TC04",""," Putative uncharacterized protein ATP1A1-AS1 (ATAS1_HUMAN)","1","ATP1A1OS",0.00,"false",0.00,0.00,0.00,3066.00,10.23,0.00,,,,,"false"
10441.00,"SINGLE PROTEIN","P26447",""," Protein S100-A4 (S10A4_HUMAN)","1","S100A4",0.00,"false",0.00,0.00,0.00,3066.00,11.72,0.00,,,,,"false"
10442.00,"SINGLE PROTEIN","O43670",""," BUB3-interacting and GLEBS motif-containing protein ZNF207 (ZN207_HUMAN)","17","ZNF207",0.00,"false",0.00,0.00,0.00,3066.00,50.72,0.00,,,,,"false"
10443.00,"SINGLE PROTEIN","Q9BY71",""," Leucine-rich repeat-containing protein 3 (LRRC3_HUMAN)","21","LRRC3",0.00,"false",0.00,0.00,0.00,3066.00,28.09,0.00,,,,,"false"
10444.00,"SINGLE PROTEIN","O43676",""," NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (NDUB3_HUMAN)","2","NDUFB3",0.00,"false",0.00,0.00,0.00,3066.00,11.39,0.00,,,,,"false"
10445.00,"RELATED AND UNRELATED PROTEINS","P58400","P58401,Q9HDB5,Q9P2S2,Q9ULB1,Q9Y4C0"," Neurexin-1-beta (NRX1B_HUMAN)","2","NRXN1",0.00,"false",0.00,0.00,0.00,3066.00,46.83,0.00,,,,,"false"
10446.00,"RELATED PROTEINS","P11277","Q01082"," Spectrin beta chain, erythrocytic (SPTB1_HUMAN)","14","SPTB",0.00,"false",0.00,0.00,0.00,3066.00,246.32,0.00,,,,,"false"
10447.00,"SINGLE PROTEIN","O43679",""," LIM domain-binding protein 2 (LDB2_HUMAN)","4","LDB2",0.00,"false",0.00,0.00,0.00,3066.00,42.77,0.00,,,,,"false"
10448.00,"SINGLE PROTEIN","O43678",""," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (NDUA2_HUMAN)","5","NDUFA2",0.00,"false",0.00,0.00,0.00,3066.00,10.91,0.00,,,,,"false"
10449.00,"SINGLE PROTEIN","Q9BXU7",""," Ubiquitin carboxyl-terminal hydrolase 26 (UBP26_HUMAN)","X","USP26",0.00,"false",0.00,0.00,0.00,3066.00,103.98,0.00,,,,,"false"
10450.00,"SINGLE PROTEIN","Q71RS6",""," Sodium/potassium/calcium exchanger 5 (NCKX5_HUMAN)","15","SLC24A5",0.00,"false",0.00,0.00,0.00,3066.00,54.85,0.00,,,,,"false"
10451.00,"SINGLE PROTEIN","O43687",""," A-kinase anchor protein 7 isoforms alpha and beta (AKA7A_HUMAN)","6","AKAP7",0.00,"false",0.00,0.00,0.00,3066.00,11.46,0.00,,,,,"false"
10452.00,"SINGLE PROTEIN","Q9BY66",""," Lysine-specific demethylase 5D (KDM5D_HUMAN)","Y","KDM5D",0.00,"false",0.00,0.00,0.00,3066.00,173.96,0.00,,,,,"false"
10453.00,"SINGLE PROTEIN","Q9BY65",""," Nasopharyngeal carcinoma down-regulated gene protein 1 (NPCR1_HUMAN)","","NPCDR1",0.00,"false",0.00,0.00,0.00,3066.00,11.98,0.00,,,,,"false"
10454.00,"SINGLE PROTEIN","Q9BY64",""," UDP-glucuronosyltransferase 2B28 (UDB28_HUMAN)","4","UGT2B28",0.00,"false",0.00,0.00,0.00,3066.00,60.87,0.00,,,,,"false"
10455.00,"SINGLE PROTEIN","Q580R0",""," Uncharacterized protein C2orf27 (CB027_HUMAN)","2","C2ORF27A",0.00,"false",0.00,0.00,0.00,3066.00,21.50,0.00,,,,,"false"
10456.00,"SINGLE PROTEIN","O43684",""," Mitotic checkpoint protein BUB3 (BUB3_HUMAN)","10","BUB3",0.00,"false",0.00,0.00,0.00,3066.00,37.13,0.00,,,,,"false"
10457.00,"SINGLE PROTEIN","Q9BXU3",""," Testis-expressed sequence 13A protein (TX13A_HUMAN)","X","TEX13A",0.00,"false",0.00,0.00,0.00,3066.00,45.55,0.00,,,,,"false"
10458.00,"SINGLE PROTEIN","O43688",""," Lipid phosphate phosphohydrolase 2 (LPP2_HUMAN)","19","PPAP2C",0.00,"false",0.00,0.00,0.00,3066.00,32.55,0.00,,,,,"false"
10459.00,"UNRELATED PROTEINS","Q6ZS81","Q86X29"," WD repeat- and FYVE domain-containing protein 4 (WDFY4_HUMAN)","10","WDFY4",0.00,"false",0.00,0.00,0.00,3066.00,353.38,0.00,,,,,"false"
10460.00,"SINGLE PROTEIN","Q6S9Z5",""," Zinc finger protein 474 (ZN474_HUMAN)","5","ZNF474",0.00,"false",0.00,0.00,0.00,3066.00,40.29,0.00,,,,,"false"
10461.00,"SINGLE PROTEIN","Q9BY50",""," Signal peptidase complex catalytic subunit SEC11C (SC11C_HUMAN)","18","SEC11C",0.00,"false",0.00,0.00,0.00,3066.00,21.53,0.00,,,,,"false"
10462.00,"RELATED PROTEINS","Q16670","Q96SK3"," Zinc finger and SCAN domain-containing protein 26 (ZSC26_HUMAN)","","ZNF187",0.00,"false",0.00,0.00,0.00,3066.00,55.22,0.00,,,,,"false"
10463.00,"SINGLE PROTEIN","Q9BXT4",""," Tudor domain-containing protein 1 (TDRD1_HUMAN)","10","TDRD1",0.00,"false",0.00,0.00,0.00,3066.00,131.94,0.00,,,,,"false"
10464.00,"SINGLE PROTEIN","Q9BXT2",""," Voltage-dependent calcium channel gamma-6 subunit (CCG6_HUMAN)","19","CACNG6",0.00,"false",0.00,0.00,0.00,3066.00,28.11,0.00,,,,,"false"
10465.00,"SINGLE PROTEIN","O43657",""," Tetraspanin-6 (TSN6_HUMAN)","X","TSPAN6",0.00,"false",0.00,0.00,0.00,3066.00,27.55,0.00,,,,,"false"
10466.00,"UNRELATED PROTEINS","Q9UMW8","Q3LFD5"," Ubl carboxyl-terminal hydrolase 18 (UBP18_HUMAN)","22","USP18",0.00,"false",0.00,0.00,0.00,3066.00,42.98,0.00,,,,,"false"
10467.00,"SINGLE PROTEIN","Q32M78",""," Zinc finger protein 699 (ZN699_HUMAN)","19","ZNF699",0.00,"false",0.00,0.00,0.00,3066.00,73.91,0.00,,,,,"false"
10468.00,"SINGLE PROTEIN","Q9BY44",""," Eukaryotic translation initiation factor 2A (EIF2A_HUMAN)","3","EIF2A",0.00,"false",0.00,1.00,0.00,2666.00,64.95,0.00,,,,,"false"
10469.00,"RELATED PROTEINS","Q969J2","Q9BRR0"," Zinc finger protein with KRAB and SCAN domains 4 (ZKSC4_HUMAN)","6","ZKSCAN4",0.00,"false",0.00,0.00,0.00,3066.00,61.54,0.00,,,,,"false"
10470.00,"SINGLE PROTEIN","Q9BY42",""," Protein RTF2 homolog (RTF2_HUMAN)","20","C20ORF43",0.00,"false",0.00,0.00,0.00,3066.00,33.87,0.00,,,,,"false"
10471.00,"SINGLE PROTEIN","Q9BXS1",""," Isopentenyl-diphosphate delta-isomerase 2 (IDI2_HUMAN)","10","IDI2",0.00,"false",0.00,0.00,0.00,3066.00,26.74,0.00,,,,,"false"
10472.00,"UNRELATED PROTEINS","P08571","Q13158,Q6P2H8,Q86X02,Q9Y334"," Monocyte differentiation antigen CD14 (CD14_HUMAN)","5","CD14",0.00,"false",0.00,0.00,0.00,3066.00,40.05,0.00,,,,,"false"
10473.00,"RELATED PROTEINS","O43435","O75333"," T-box transcription factor TBX1 (TBX1_HUMAN)","22","TBX1",0.00,"false",0.00,0.00,0.00,3066.00,43.11,0.00,,,,,"false"
10474.00,"UNRELATED PROTEINS","Q9UPV0","Q9Y279"," Centrosomal protein of 164 kDa (CE164_HUMAN)","11","CEP164",0.00,"false",0.00,0.00,0.00,3066.00,164.21,0.00,,,,,"false"
10475.00,"SINGLE PROTEIN","P98077",""," SHC-transforming protein 2 (SHC2_HUMAN)","19","SHC2",0.00,"false",0.00,0.00,0.00,3066.00,61.88,0.00,,,,,"false"
10476.00,"SINGLE PROTEIN","P27708",""," CAD protein (PYR1_HUMAN)","2","CAD",0.00,"false",0.00,0.00,0.00,3066.00,242.83,0.00,,,,,"false"
10477.00,"SINGLE PROTEIN","P27707",""," Deoxycytidine kinase (DCK_HUMAN)","4","DCK",0.00,"false",0.00,0.00,0.00,3066.00,30.50,0.00,,,,,"false"
10478.00,"SINGLE PROTEIN","B2RNN3",""," Complement C1q and tumor necrosis factor-related protein 9B (C1T9B_HUMAN)","13","C1QTNF9B",0.00,"false",0.00,0.00,0.00,3066.00,34.69,0.00,,,,,"false"
10479.00,"SINGLE PROTEIN","Q4L180",""," Filamin A-interacting protein 1-like (FIL1L_HUMAN)","3","FILIP1L",0.00,"false",0.00,0.00,0.00,3066.00,130.30,0.00,,,,,"false"
10480.00,"SINGLE PROTEIN","P27701",""," CD82 antigen (CD82_HUMAN)","11","CD82",0.00,"false",0.00,0.00,0.00,3066.00,29.61,0.00,,,,,"false"
10481.00,"SINGLE PROTEIN","P98088",""," Mucin-5AC (MUC5A_HUMAN)","11","MUC5AC",0.00,"false",0.00,0.00,0.00,3066.00,526.27,0.00,,,,,"false"
10482.00,"SINGLE PROTEIN","Q6ZP65",""," Bicaudal D-related protein 1 (BICR1_HUMAN)","12","CCDC64",0.00,"false",0.00,0.00,0.00,3066.00,64.80,0.00,,,,,"false"
10483.00,"SINGLE PROTEIN","Q9BXY5",""," Calcyphosin-2 (CAYP2_HUMAN)","12","CAPS2",0.00,"false",0.00,0.00,0.00,3066.00,63.80,0.00,,,,,"false"
10484.00,"SINGLE PROTEIN","Q9BXY4",""," R-spondin-3 (RSPO3_HUMAN)","6","RSPO3",0.00,"false",0.00,0.00,0.00,3066.00,30.91,0.00,,,,,"false"
10485.00,"SINGLE PROTEIN","Q09161",""," Nuclear cap-binding protein subunit 1 (NCBP1_HUMAN)","9","NCBP1",0.00,"false",0.00,0.00,0.00,3066.00,91.78,0.00,,,,,"false"
10486.00,"SINGLE PROTEIN","Q6ZP68",""," Putative protein ATP11AUN (ATPUN_HUMAN)","13","C13ORF35",0.00,"false",0.00,0.00,0.00,3066.00,13.41,0.00,,,,,"false"
10487.00,"SINGLE PROTEIN","P14406",""," Cytochrome c oxidase subunit 7A2, mitochondrial (CX7A2_HUMAN)","6","COX7A2",0.00,"false",0.00,0.00,0.00,3066.00,9.39,0.00,,,,,"false"
10488.00,"SINGLE PROTEIN","P15735",""," Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHKG2_HUMAN)","16","PHKG2",0.00,"false",0.00,0.00,0.00,3066.00,46.41,0.00,,,,,"false"
10489.00,"SINGLE PROTEIN","A0PJZ0",""," Putative ankyrin repeat domain-containing protein 20A5 (A20A5_HUMAN)","18","ANKRD20A5P",0.00,"false",0.00,0.00,0.00,3066.00,18.43,0.00,,,,,"false"
10490.00,"RELATED PROTEINS","P15863","P55771"," Paired box protein Pax-1 (PAX1_HUMAN)","20","PAX1",0.00,"false",0.00,0.00,0.00,3066.00,55.46,0.00,,,,,"false"
10491.00,"SINGLE PROTEIN","Q9BXY0",""," Protein MAK16 homolog (MAK16_HUMAN)","8","MAK16",0.00,"false",0.00,0.00,0.00,3066.00,35.35,0.00,,,,,"false"
10492.00,"UNRELATED PROTEINS","O14640","P54792"," Segment polarity protein dishevelled homolog DVL-1 (DVL1_HUMAN)","1","DVL1",0.00,"false",0.00,0.00,0.00,3066.00,75.14,0.00,,,,,"false"
10493.00,"SINGLE PROTEIN","Q6P161",""," 39S ribosomal protein L54, mitochondrial (RM54_HUMAN)","19","MRPL54",0.00,"false",0.00,0.00,0.00,3066.00,15.81,0.00,,,,,"false"
10494.00,"RELATED PROTEINS","P22528","P35321"," Cornifin-B (SPR1B_HUMAN)","1","SPRR1B",0.00,"false",0.00,0.00,0.00,3066.00,9.88,0.00,,,,,"false"
10495.00,"SINGLE PROTEIN","Q9BXX3",""," Ankyrin repeat domain-containing protein 30A (AN30A_HUMAN)","10","ANKRD30A",0.00,"false",0.00,0.00,0.00,3066.00,158.74,0.00,,,,,"false"
10496.00,"SINGLE PROTEIN","Q9BXX2",""," Ankyrin repeat domain-containing protein 30B (AN30B_HUMAN)","18","ANKRD30B",0.00,"false",0.00,0.00,0.00,3066.00,157.95,0.00,,,,,"false"
10497.00,"SINGLE PROTEIN","O43610",""," Protein sprouty homolog 3 (SPY3_HUMAN)","X","SPRY3",0.00,"false",0.00,0.00,0.00,3066.00,31.20,0.00,,,,,"false"
10498.00,"SINGLE PROTEIN","O43614",""," Orexin receptor type 2 (OX2R_HUMAN)","6","HCRTR2",0.00,"false",0.00,0.00,0.00,3066.00,50.66,0.00,,,,,"false"
10499.00,"SINGLE PROTEIN","O43613",""," Orexin receptor type 1 (OX1R_HUMAN)","1","HCRTR1",0.00,"false",0.00,0.00,0.00,3066.00,47.50,0.00,,,,,"false"
10500.00,"SINGLE PROTEIN","O43617",""," Trafficking protein particle complex subunit 3 (TPPC3_HUMAN)","1","TRAPPC3",0.00,"false",0.00,0.00,0.00,3066.00,20.26,0.00,,,,,"false"
10501.00,"SINGLE PROTEIN","O43615",""," Mitochondrial import inner membrane translocase subunit TIM44 (TIM44_HUMAN)","19","TIMM44",0.00,"false",0.00,0.00,0.00,3066.00,51.32,0.00,,,,,"false"
10502.00,"SINGLE PROTEIN","Q5TCH4",""," Cytochrome P450 4A22 (CP4AM_HUMAN)","1","CYP4A22",0.00,"false",0.00,0.00,0.00,3066.00,59.21,0.00,,,,,"false"
10503.00,"SINGLE PROTEIN","Q9BXW9",""," Fanconi anemia group D2 protein (FACD2_HUMAN)","3","FANCD2",0.00,"false",0.00,0.00,0.00,3066.00,166.36,0.00,,,,,"false"
10504.00,"SINGLE PROTEIN","Q9BY89",""," Uncharacterized protein KIAA1671 (K1671_HUMAN)","22","KIAA1671",0.00,"false",0.00,0.00,0.00,3066.00,196.59,0.00,,,,,"false"
10505.00,"RELATED PROTEINS","A6NKT7","Q7Z3J3"," RanBP2-like and GRIP domain-containing protein 3 (RGPD3_HUMAN)","2","RGPD3",0.00,"false",0.00,0.00,0.00,3066.00,197.36,0.00,,,,,"false"
10506.00,"SINGLE PROTEIN","P98066",""," Tumor necrosis factor-inducible gene 6 protein (TSG6_HUMAN)","2","TNFAIP6",0.00,"false",0.00,0.00,0.00,3066.00,31.18,0.00,,,,,"false"
10507.00,"RELATED PROTEINS","P30486","Q31610,Q95604"," HLA class I histocompatibility antigen, B-48 alpha chain (1B48_HUMAN)","6","HLA-B",0.00,"false",0.00,0.00,0.00,3066.00,40.34,0.00,,,,,"false"
10508.00,"UNRELATED PROTEINS","O43930","P51817"," Putative serine/threonine-protein kinase PRKY (PRKY_HUMAN)","Y","PRKY",0.00,"false",0.00,0.00,0.00,3066.00,31.69,0.00,,,,,"false"
10509.00,"SINGLE PROTEIN","Q9BXV9",""," Uncharacterized protein C14orf142 (CN142_HUMAN)","14","C14ORF142",0.00,"false",0.00,0.00,0.00,3066.00,10.85,0.00,,,,,"false"
10510.00,"SINGLE PROTEIN","Q9BY78",""," RING finger protein 26 (RNF26_HUMAN)","11","RNF26",0.00,"false",0.00,0.00,0.00,3066.00,47.71,0.00,,,,,"false"
10511.00,"SINGLE PROTEIN","P98073",""," Enteropeptidase (ENTK_HUMAN)","21","TMPRSS15",0.00,"false",0.00,0.00,0.00,3066.00,112.86,0.00,,,,,"false"
10512.00,"SINGLE PROTEIN","Q12788",""," Transducin beta-like protein 3 (TBL3_HUMAN)","16","TBL3",0.00,"false",0.00,0.00,0.00,3066.00,88.98,0.00,,,,,"false"
10513.00,"SINGLE PROTEIN","P62081",""," 40S ribosomal protein S7 (RS7_HUMAN)","2","RPS7",0.00,"false",0.00,0.00,0.00,3066.00,22.11,0.00,,,,,"false"
10514.00,"SINGLE PROTEIN","Q9BXM9",""," FSD1-like protein (FSD1L_HUMAN)","9","FSD1L",0.00,"false",0.00,0.00,0.00,3066.00,59.54,0.00,,,,,"false"
10515.00,"SINGLE PROTEIN","Q9BXM8","","Putative colon cancer-associated antigen SK1 (AGSK1_HUMAN)","","",0.00,"false",0.00,0.00,0.00,3066.00,13.65,0.00,,,,,"false"
10516.00,"SINGLE PROTEIN","Q9BXM7",""," Serine/threonine-protein kinase PINK1, mitochondrial (PINK1_HUMAN)","1","PINK1",0.00,"false",0.00,0.00,0.00,3066.00,62.73,0.00,,,,,"false"
10517.00,"RELATED PROTEINS","Q17RY0","Q7Z5Q1,Q8NE35"," Cytoplasmic polyadenylation element-binding protein 4 (CPEB4_HUMAN)","5","CPEB4",0.00,"false",0.00,0.00,0.00,3066.00,80.10,0.00,,,,,"false"
10518.00,"SINGLE PROTEIN","Q12792",""," Twinfilin-1 (TWF1_HUMAN)","12","TWF1",0.00,"false",0.00,0.00,0.00,3066.00,40.26,0.00,,,,,"false"
10519.00,"SINGLE PROTEIN","Q12796",""," Proline-rich nuclear receptor coactivator 1 (PNRC1_HUMAN)","6","PNRC1",0.00,"false",0.00,0.00,0.00,3066.00,35.20,0.00,,,,,"false"
10520.00,"SINGLE PROTEIN","Q12794",""," Hyaluronidase-1 (HYAL1_HUMAN)","3","HYAL1",0.00,"false",0.00,0.00,0.00,3066.00,48.34,0.00,,,,,"false"
10521.00,"SINGLE PROTEIN","Q12799",""," T-complex protein 10A homolog (TCP10_HUMAN)","6","TCP10",0.00,"false",0.00,0.00,0.00,3066.00,38.24,0.00,,,,,"false"
10522.00,"SINGLE PROTEIN","O43603",""," Galanin receptor type 2 (GALR2_HUMAN)","17","GALR2",0.00,"false",0.00,0.00,0.00,3066.00,41.67,0.00,,,,,"false"
10523.00,"SINGLE PROTEIN","O43602",""," Neuronal migration protein doublecortin (DCX_HUMAN)","X","DCX",0.00,"false",0.00,0.00,0.00,3066.00,49.29,0.00,,,,,"false"
10524.00,"SINGLE PROTEIN","Q9BXL5",""," Hemogen (HEMGN_HUMAN)","9","HEMGN",0.00,"false",0.00,0.00,0.00,3066.00,55.31,0.00,,,,,"false"
10525.00,"UNRELATED PROTEINS","Q7Z4H9","B1ANY3"," Protein FAM220A (F220A_HUMAN)","7","FAM220A",0.00,"false",0.00,0.00,0.00,3066.00,28.00,0.00,,,,,"false"
10526.00,"SINGLE PROTEIN","Q460N5",""," Poly [ADP-ribose] polymerase 14 (PAR14_HUMAN)","3","PARP14",0.00,"false",0.00,0.00,0.00,3066.00,202.67,0.00,,,,,"false"
10527.00,"SINGLE PROTEIN","Q460N3",""," Poly [ADP-ribose] polymerase 15 (PAR15_HUMAN)","3","PARP15",0.00,"false",0.00,0.00,0.00,3066.00,72.49,0.00,,,,,"false"
10528.00,"SINGLE PROTEIN","Q9BXK5",""," Bcl-2-like protein 13 (B2L13_HUMAN)","22","BCL2L13",0.00,"false",0.00,0.00,0.00,3066.00,52.69,0.00,,,,,"false"
10529.00,"SINGLE PROTEIN","A0PJX0",""," Calcium and integrin-binding family member 4 (CIB4_HUMAN)","2","CIB4",0.00,"false",0.00,0.00,0.00,3066.00,21.73,0.00,,,,,"false"
10530.00,"SINGLE PROTEIN","A0PJX2",""," TLD domain-containing protein 2 (TLDC2_HUMAN)","20","C20ORF118",0.00,"false",0.00,0.00,0.00,3066.00,23.90,0.00,,,,,"false"
10531.00,"SINGLE PROTEIN","A0PJX8",""," Transmembrane protein 82 (TMM82_HUMAN)","1","TMEM82",0.00,"false",0.00,0.00,0.00,3066.00,37.20,0.00,,,,,"false"
10532.00,"SINGLE PROTEIN","Q6R6M4",""," Ubiquitin carboxyl-terminal hydrolase 17 (U17L2_HUMAN)","8","USP17L2",0.00,"false",0.00,0.00,0.00,3066.00,59.58,0.00,,,,,"false"
10533.00,"SINGLE PROTEIN","P0DI83",""," Ras-related protein Rab-34, isoform NARR (NARR_HUMAN)","17","RAB34",0.00,"false",0.00,0.00,0.00,3066.00,21.11,0.00,,,,,"false"
10534.00,"RELATED PROTEINS","Q8N831","Q9H0U9"," Testis-specific Y-encoded-like protein 6 (TSYL6_HUMAN)","2","TSPYL6",0.00,"false",0.00,0.00,0.00,3066.00,45.84,0.00,,,,,"false"
10535.00,"SINGLE PROTEIN","Q9BXJ5",""," Complement C1q tumor necrosis factor-related protein 2 (C1QT2_HUMAN)","5","C1QTNF2",0.00,"false",0.00,0.00,0.00,3066.00,29.93,0.00,,,,,"false"
10536.00,"RELATED AND UNRELATED PROTEINS","Q1W209","Q567U6,Q9UL36"," Embryonic stem cell-related gene protein (ESRG_HUMAN)","","HESRG",0.00,"false",0.00,0.00,0.00,3066.00,8.65,0.00,,,,,"false"
10537.00,"SINGLE PROTEIN","Q9BXJ9",""," N-alpha-acetyltransferase 15, NatA auxiliary subunit (NAA15_HUMAN)","4","NAA15",0.00,"false",0.00,0.00,0.00,3066.00,101.21,0.00,,,,,"false"
10538.00,"SINGLE PROTEIN","A0PJW6",""," Transmembrane protein 223 (TM223_HUMAN)","11","TMEM223",0.00,"false",0.00,0.00,0.00,3066.00,22.03,0.00,,,,,"false"
10539.00,"SINGLE PROTEIN","Q9BXJ2",""," Complement C1q tumor necrosis factor-related protein 7 (C1QT7_HUMAN)","4","C1QTNF7",0.00,"false",0.00,0.00,0.00,3066.00,30.66,0.00,,,,,"false"
10540.00,"UNRELATED PROTEINS","P35968","Q5T4S7"," Vascular endothelial growth factor receptor 2 (VGFR2_HUMAN)","4","KDR",0.00,"false",0.00,0.00,0.00,3066.00,151.43,0.00,,,,,"false"
10541.00,"SINGLE PROTEIN","Q9BXJ1",""," Complement C1q tumor necrosis factor-related protein 1 (C1QT1_HUMAN)","17","C1QTNF1",0.00,"false",0.00,0.00,0.00,3066.00,31.72,0.00,,,,,"false"
10542.00,"SINGLE PROTEIN","Q9BY32",""," Inosine triphosphate pyrophosphatase (ITPA_HUMAN)","20","ITPA",0.00,"false",0.00,0.00,0.00,3066.00,21.43,0.00,,,,,"false"
10543.00,"SINGLE PROTEIN","P50053",""," Ketohexokinase (KHK_HUMAN)","2","KHK",0.00,"false",0.00,0.00,0.00,3066.00,32.71,0.00,,,,,"false"
10544.00,"SINGLE PROTEIN","Q9BY31",""," Zinc finger protein 717 (ZN717_HUMAN)","3","ZNF717",0.00,"false",0.00,0.00,0.00,3066.00,105.18,0.00,,,,,"false"
10545.00,"UNRELATED PROTEINS","Q8WX77","Q9BVT8"," Insulin-like growth factor-binding protein-like 1 (IBPL1_HUMAN)","9","IGFBPL1",0.00,"false",0.00,0.00,0.00,3066.00,28.99,0.00,,,,,"false"
10546.00,"SINGLE PROTEIN","Q9BXQ6",""," Cat eye syndrome critical region protein 6 (CECR6_HUMAN)","22","CECR6",0.00,"false",0.00,0.00,0.00,3066.00,58.39,0.00,,,,,"false"
10547.00,"SINGLE PROTEIN","P51397",""," Death-associated protein 1 (DAP1_HUMAN)","5","DAP",0.00,"false",0.00,0.00,0.00,3066.00,11.16,0.00,,,,,"false"
10548.00,"SINGLE PROTEIN","P51398",""," 28S ribosomal protein S29, mitochondrial (RT29_HUMAN)","1","DAP3",0.00,"false",0.00,0.00,0.00,3066.00,45.54,0.00,,,,,"false"
10549.00,"SINGLE PROTEIN","Q9BY21",""," G-protein coupled receptor 87 (GPR87_HUMAN)","3","GPR87",0.00,"false",0.00,0.00,0.00,3066.00,41.41,0.00,,,,,"false"
10550.00,"SINGLE PROTEIN","Q499Y3",""," Putative uncharacterized protein C10orf88-like (YJ016_HUMAN)","","",0.00,"false",0.00,0.00,0.00,3066.00,20.44,0.00,,,,,"false"
10551.00,"SINGLE PROTEIN","Q9BY15",""," Adhesion G protein-coupled receptor E3 (AGRE3_HUMAN)","19","EMR3",0.00,"false",0.00,0.00,0.00,3066.00,72.57,0.00,,,,,"false"
10552.00,"SINGLE PROTEIN","Q9BXP2",""," Solute carrier family 12 member 9 (S12A9_HUMAN)","7","SLC12A9",0.00,"false",0.00,0.00,0.00,3066.00,96.05,0.00,,,,,"false"
10553.00,"SINGLE PROTEIN","Q9BY12",""," S phase cyclin A-associated protein in the endoplasmic reticulum (SCAPE_HUMAN)","15","SCAPER",0.00,"false",0.00,0.00,0.00,3066.00,158.06,0.00,,,,,"false"
10554.00,"RELATED PROTEINS","Q8TE57","Q8TE60"," A disintegrin and metalloproteinase with thrombospondin motifs 16 (ATS16_HUMAN)","5","ADAMTS16",0.00,"false",0.00,0.00,0.00,3066.00,136.11,0.00,,,,,"false"
10555.00,"SINGLE PROTEIN","Q9BY11",""," Protein kinase C and casein kinase substrate in neurons protein 1 (PACN1_HUMAN)","6","PACSIN1",0.00,"false",0.00,0.00,0.00,3066.00,50.93,0.00,,,,,"false"
10556.00,"RELATED PROTEINS","P0CB47","P0CB48"," Upstream-binding factor 1-like protein 1 (UBFL1_HUMAN)","11","UBTFL1",0.00,"false",0.00,0.00,0.00,3066.00,46.11,0.00,,,,,"false"
10557.00,"UNRELATED PROTEINS","P26678","Q4ADV7"," Cardiac phospholamban (PPLA_HUMAN)","6","PLN",0.00,"false",0.00,0.00,0.00,3066.00,6.10,0.00,,,,,"false"
10558.00,"SINGLE PROTEIN","P08F94",""," Fibrocystin (PKHD1_HUMAN)","6","PKHD1",0.00,"false",0.00,0.00,0.00,3066.00,446.42,0.00,,,,,"false"
10559.00,"SINGLE PROTEIN","Q9BY07",""," Electrogenic sodium bicarbonate cotransporter 4 (S4A5_HUMAN)","2","SLC4A5",0.00,"false",0.00,0.00,0.00,3066.00,126.17,0.00,,,,,"false"
10560.00,"UNRELATED PROTEINS","P0CW19","P0CW20"," LIM and senescent cell antigen-like-containing domain protein 3 (LIMS3_HUMAN)","2","LIMS3",0.00,"false",0.00,0.00,0.00,3066.00,13.24,0.00,,,,,"false"
10561.00,"SINGLE PROTEIN","P0CF97",""," Protein FAM200B (F200B_HUMAN)","4","FAM200B",0.00,"false",0.00,0.00,0.00,3066.00,75.99,0.00,,,,,"false"
