ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1	Cytoplasm	0.0147	0.2551	0.712	0.0005	0.0016	0.0065	0.0017	0.0034	0.0042	0.0117	0.0034
sp|P05546|HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3	Extracellular	0.0774	0.0002	0.0017	0.5005	0.0056	0.0026	0.4507	0.0002	0.0038	0.0345	0.0002
tr|X6R8A1|X6R8A1_HUMAN Carboxypeptidase OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=1	Endoplasmic_reticulum	0.0776	0.0001	0.0006	0.1294	0.0004	0.002	0.492	0.0	0.0033	0.3721	0.0001
sp|Q8WUB8|PHF10_HUMAN PHD finger protein 10 OS=Homo sapiens OX=9606 GN=PHF10 PE=1 SV=3	Nucleus	0.0248	0.9936	0.0063	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0
sp|O60551|NMT2_HUMAN Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens OX=9606 GN=NMT2 PE=1 SV=1	Nucleus	0.0257	0.7198	0.2686	0.0002	0.0006	0.0015	0.002	0.0002	0.0021	0.0035	0.0015
sp|Q6Y288|B3GLT_HUMAN Beta-1,3-glucosyltransferase OS=Homo sapiens OX=9606 GN=B3GLCT PE=1 SV=2	Endoplasmic_reticulum	0.1999	0.0001	0.0003	0.1073	0.0005	0.0061	0.7859	0.0	0.0034	0.0963	0.0
tr|A0A0A6YY92|A0A0A6YY92_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=1	Cytoplasm	0.0712	0.2821	0.5962	0.001	0.0097	0.022	0.0119	0.0019	0.0399	0.0279	0.0073
sp|Q9Y6W5|WASF2_HUMAN Wiskott-Aldrich syndrome protein family member 2 OS=Homo sapiens OX=9606 GN=WASF2 PE=1 SV=3	Nucleus	0.0591	0.7759	0.2171	0.0001	0.002	0.0039	0.0	0.0001	0.0007	0.0001	0.0001
sp|Q9NXN4|GDAP2_HUMAN Ganglioside-induced differentiation-associated protein 2 OS=Homo sapiens OX=9606 GN=GDAP2 PE=1 SV=1	Cytoplasm	0.0992	0.4066	0.452	0.0024	0.0228	0.0133	0.0093	0.022	0.0217	0.0403	0.0096
sp|P98170|XIAP_HUMAN E3 ubiquitin-protein ligase XIAP OS=Homo sapiens OX=9606 GN=XIAP PE=1 SV=2	Cytoplasm	0.0663	0.3043	0.5587	0.0065	0.0258	0.0158	0.0052	0.0275	0.0057	0.013	0.0375
sp|Q9H6L5|RETR1_HUMAN Reticulophagy regulator 1 OS=Homo sapiens OX=9606 GN=RETREG1 PE=1 SV=1	Endoplasmic_reticulum	0.9314	0.1046	0.0039	0.0	0.0131	0.1116	0.5388	0.0032	0.1313	0.0724	0.021
sp|Q15173|2A5B_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform OS=Homo sapiens OX=9606 GN=PPP2R5B PE=1 SV=1	Cytoplasm	0.0463	0.1715	0.7518	0.0002	0.0008	0.0098	0.0031	0.033	0.0196	0.0088	0.0013
tr|X6R4W8|X6R4W8_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1	Extracellular	0.1354	0.1994	0.0684	0.5813	0.0122	0.1133	0.003	0.0016	0.0056	0.0151	0.0
tr|A0A0C4DG97|A0A0C4DG97_HUMAN FSD1-like protein OS=Homo sapiens OX=9606 GN=FSD1L PE=1 SV=1	Cytoplasm	0.0751	0.1473	0.6127	0.027	0.0251	0.0374	0.0216	0.0122	0.0244	0.0491	0.0433
sp|Q9BRR6|ADPGK_HUMAN ADP-dependent glucokinase OS=Homo sapiens OX=9606 GN=ADPGK PE=1 SV=1	Endoplasmic_reticulum	0.2678	0.0007	0.0122	0.4019	0.0605	0.01	0.4058	0.0078	0.0211	0.0749	0.0052
sp|O60443|GSDME_HUMAN Gasdermin-E OS=Homo sapiens OX=9606 GN=GSDME PE=1 SV=2	Cytoplasm	0.1869	0.1671	0.3996	0.0029	0.1021	0.029	0.026	0.0079	0.1485	0.0725	0.0443
sp|P42785|PCP_HUMAN Lysosomal Pro-X carboxypeptidase OS=Homo sapiens OX=9606 GN=PRCP PE=1 SV=1	Extracellular	0.0672	0.0001	0.0025	0.411	0.0172	0.0048	0.3491	0.0002	0.001	0.213	0.001
sp|P11169|GTR3_HUMAN Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens OX=9606 GN=SLC2A3 PE=1 SV=1	Cell_membrane	0.8678	0.0	0.0	0.0	0.0021	0.7862	0.013	0.0001	0.0104	0.1878	0.0004
sp|Q69YU3|AN34A_HUMAN Ankyrin repeat domain-containing protein 34A OS=Homo sapiens OX=9606 GN=ANKRD34A PE=1 SV=2	Cytoplasm	0.0402	0.405	0.5588	0.0015	0.0014	0.0295	0.0001	0.0002	0.0002	0.0001	0.0031
sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2	Cytoplasm	0.0236	0.4438	0.5194	0.001	0.0018	0.0099	0.0022	0.0011	0.0033	0.0042	0.0133
sp|Q00536|CDK16_HUMAN Cyclin-dependent kinase 16 OS=Homo sapiens OX=9606 GN=CDK16 PE=1 SV=1	Nucleus	0.1057	0.4426	0.3974	0.002	0.0854	0.0218	0.0072	0.0023	0.0213	0.005	0.0149
sp|Q9BTV5|FSD1_HUMAN Fibronectin type III and SPRY domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FSD1 PE=1 SV=1	Cytoplasm	0.05	0.0971	0.7585	0.0029	0.0127	0.0339	0.0078	0.0053	0.0132	0.0257	0.0429
sp|P24298|ALAT1_HUMAN Alanine aminotransferase 1 OS=Homo sapiens OX=9606 GN=GPT PE=1 SV=3	Cytoplasm	0.0616	0.025	0.526	0.0044	0.049	0.0105	0.0046	0.0215	0.0008	0.0052	0.353
sp|O15123|ANGP2_HUMAN Angiopoietin-2 OS=Homo sapiens OX=9606 GN=ANGPT2 PE=1 SV=1	Extracellular	0.0151	0.0008	0.0056	0.8667	0.0082	0.0027	0.0815	0.0011	0.001	0.0323	0.0001
sp|Q9H9S5|FKRP_HUMAN Ribitol 5-phosphate transferase FKRP OS=Homo sapiens OX=9606 GN=FKRP PE=1 SV=1	Golgi_apparatus	0.9568	0.0003	0.0003	0.0132	0.0454	0.0322	0.1259	0.0061	0.7687	0.0068	0.0012
sp|P04217|A1BG_HUMAN Alpha-1B-glycoprotein OS=Homo sapiens OX=9606 GN=A1BG PE=1 SV=4	Extracellular	0.0077	0.0011	0.0122	0.9055	0.0155	0.0041	0.0362	0.0006	0.0001	0.0247	0.0001
tr|J3KNA0|J3KNA0_HUMAN Mitochondrial inner membrane protein OXA1L OS=Homo sapiens OX=9606 GN=OXA1L PE=1 SV=1	Mitochondrion	0.952	0.0001	0.0002	0.0	0.8892	0.0008	0.0016	0.103	0.0001	0.0	0.0049
sp|Q09470|KCNA1_HUMAN Potassium voltage-gated channel subfamily A member 1 OS=Homo sapiens OX=9606 GN=KCNA1 PE=1 SV=2	Cell_membrane	0.9642	0.0001	0.0	0.0	0.0014	0.8981	0.0213	0.0	0.0064	0.0725	0.0002
sp|O75071|EFC14_HUMAN EF-hand calcium-binding domain-containing protein 14 OS=Homo sapiens OX=9606 GN=EFCAB14 PE=1 SV=1	Golgi_apparatus	0.8908	0.2016	0.024	0.0007	0.0813	0.2057	0.1847	0.0081	0.2059	0.0692	0.0187
sp|P49802|RGS7_HUMAN Regulator of G-protein signaling 7 OS=Homo sapiens OX=9606 GN=RGS7 PE=1 SV=3	Cytoplasm	0.0445	0.3438	0.5789	0.0019	0.0033	0.0233	0.0055	0.0012	0.0072	0.0076	0.0273
sp|Q6ZMJ2|SCAR5_HUMAN Scavenger receptor class A member 5 OS=Homo sapiens OX=9606 GN=SCARA5 PE=1 SV=1	Cell_membrane	0.9911	0.0146	0.0016	0.0003	0.0032	0.8678	0.0826	0.0023	0.0218	0.0035	0.0023
sp|Q9Y5L3|ENTP2_HUMAN Ectonucleoside triphosphate diphosphohydrolase 2 OS=Homo sapiens OX=9606 GN=ENTPD2 PE=1 SV=1	Cell_membrane	0.9296	0.0001	0.0001	0.0083	0.0022	0.6838	0.1683	0.0001	0.0425	0.0937	0.0008
sp|P47974|TISD_HUMAN mRNA decay activator protein ZFP36L2 OS=Homo sapiens OX=9606 GN=ZFP36L2 PE=1 SV=3	Nucleus	0.0817	0.8619	0.1356	0.0002	0.0002	0.0007	0.0	0.0011	0.0001	0.0001	0.0
sp|P54578|UBP14_HUMAN Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3	Cytoplasm	0.0375	0.3922	0.5391	0.0015	0.0088	0.006	0.0112	0.0015	0.0184	0.0188	0.0025
sp|Q8NBM8|PCYXL_HUMAN Prenylcysteine oxidase-like OS=Homo sapiens OX=9606 GN=PCYOX1L PE=1 SV=2	Extracellular	0.0591	0.0004	0.0056	0.6614	0.0207	0.0053	0.177	0.0019	0.0004	0.1257	0.0014
sp|Q08170|SRSF4_HUMAN Serine/arginine-rich splicing factor 4 OS=Homo sapiens OX=9606 GN=SRSF4 PE=1 SV=2	Nucleus	0.0424	0.9998	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3	Cytoplasm	0.0113	0.0116	0.856	0.0014	0.007	0.0009	0.0003	0.023	0.0	0.0016	0.0981
sp|O60701|UGDH_HUMAN UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1	Cytoplasm	0.1676	0.1812	0.3756	0.0124	0.0579	0.0218	0.0068	0.0277	0.0018	0.005	0.3099
sp|Q99615|DNJC7_HUMAN DnaJ homolog subfamily C member 7 OS=Homo sapiens OX=9606 GN=DNAJC7 PE=1 SV=2	Nucleus	0.0456	0.4972	0.4696	0.0003	0.0036	0.0058	0.0028	0.0023	0.0026	0.0031	0.0127
sp|O95965|ITGBL_HUMAN Integrin beta-like protein 1 OS=Homo sapiens OX=9606 GN=ITGBL1 PE=2 SV=1	Extracellular	0.0	0.0	0.0	0.9993	0.0	0.0	0.0	0.0	0.0	0.0007	0.0
sp|A6NCL7|AN33B_HUMAN Ankyrin repeat domain-containing protein 33B OS=Homo sapiens OX=9606 GN=ANKRD33B PE=3 SV=1	Nucleus	0.1466	0.8201	0.0961	0.0003	0.0002	0.0826	0.0001	0.0001	0.0001	0.0001	0.0003
sp|O15079|SNPH_HUMAN Syntaphilin OS=Homo sapiens OX=9606 GN=SNPH PE=1 SV=2	Cell_membrane	0.9085	0.1467	0.07	0.0006	0.0865	0.2795	0.1149	0.143	0.0858	0.0179	0.0552
sp|Q9Y2I8|WDR37_HUMAN WD repeat-containing protein 37 OS=Homo sapiens OX=9606 GN=WDR37 PE=1 SV=2	Nucleus	0.0359	0.6173	0.3447	0.0053	0.0009	0.0173	0.0013	0.0017	0.004	0.0035	0.0042
sp|P55058|PLTP_HUMAN Phospholipid transfer protein OS=Homo sapiens OX=9606 GN=PLTP PE=1 SV=1	Extracellular	0.0267	0.0013	0.0256	0.8114	0.0266	0.0025	0.1114	0.003	0.0001	0.0174	0.0007
tr|E7ETB3|E7ETB3_HUMAN Aspartyl aminopeptidase OS=Homo sapiens OX=9606 GN=DNPEP PE=1 SV=2	Mitochondrion	0.2605	0.0158	0.1601	0.0024	0.5819	0.0008	0.0019	0.1784	0.0003	0.0008	0.0577
sp|Q86WK6|AMGO1_HUMAN Amphoterin-induced protein 1 OS=Homo sapiens OX=9606 GN=AMIGO1 PE=1 SV=1	Cell_membrane	0.9949	0.0001	0.0	0.0006	0.0001	0.8844	0.0718	0.0	0.0385	0.0045	0.0
sp|O95376|ARI2_HUMAN E3 ubiquitin-protein ligase ARIH2 OS=Homo sapiens OX=9606 GN=ARIH2 PE=1 SV=1	Nucleus	0.0239	0.8721	0.1268	0.0001	0.0002	0.0004	0.0	0.0	0.0002	0.0001	0.0001
sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3	Cytoplasm	0.0787	0.2432	0.491	0.0226	0.0444	0.0164	0.0042	0.0844	0.003	0.0173	0.0735
sp|P12955|PEPD_HUMAN Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=3	Cytoplasm	0.0512	0.0046	0.4416	0.0106	0.0785	0.0013	0.0027	0.3679	0.0001	0.0071	0.0856
sp|O95822|DCMC_HUMAN Malonyl-CoA decarboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=MLYCD PE=1 SV=3	Mitochondrion	0.4705	0.0039	0.0059	0.0002	0.9794	0.0003	0.0001	0.0005	0.0001	0.0	0.0097
sp|Q8NER5|ACV1C_HUMAN Activin receptor type-1C OS=Homo sapiens OX=9606 GN=ACVR1C PE=1 SV=1	Cell_membrane	0.9995	0.0	0.0	0.0	0.0	0.9982	0.0012	0.0	0.0003	0.0003	0.0
sp|Q15048|LRC14_HUMAN Leucine-rich repeat-containing protein 14 OS=Homo sapiens OX=9606 GN=LRRC14 PE=1 SV=1	Mitochondrion	0.153	0.05	0.1032	0.0007	0.8394	0.0005	0.0005	0.0016	0.0003	0.0002	0.0035
sp|P11597|CETP_HUMAN Cholesteryl ester transfer protein OS=Homo sapiens OX=9606 GN=CETP PE=1 SV=2	Extracellular	0.0107	0.0014	0.0214	0.7297	0.0233	0.0008	0.1685	0.0048	0.0001	0.0499	0.0002
sp|Q9UKU9|ANGL2_HUMAN Angiopoietin-related protein 2 OS=Homo sapiens OX=9606 GN=ANGPTL2 PE=1 SV=1	Extracellular	0.0002	0.0	0.0006	0.9177	0.0003	0.0	0.0127	0.0	0.0	0.0686	0.0
sp|Q12805|FBLN3_HUMAN EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2	Extracellular	0.0009	0.0	0.0	0.9991	0.0	0.0007	0.0001	0.0	0.0	0.0	0.0
tr|C9JWE6|C9JWE6_HUMAN E3 ubiquitin-protein ligase PDZRN3 (Fragment) OS=Homo sapiens OX=9606 GN=PDZRN3 PE=1 SV=1	Cytoplasm	0.0412	0.3504	0.5736	0.0006	0.0026	0.0098	0.0036	0.0017	0.0246	0.0317	0.0014
sp|P34903|GBRA3_HUMAN Gamma-aminobutyric acid receptor subunit alpha-3 OS=Homo sapiens OX=9606 GN=GABRA3 PE=1 SV=1	Cell_membrane	0.969	0.0001	0.0001	0.0023	0.0053	0.7723	0.1205	0.0007	0.0214	0.0754	0.002
sp|P58005|SESN3_HUMAN Sestrin-3 OS=Homo sapiens OX=9606 GN=SESN3 PE=1 SV=2	Nucleus	0.3306	0.4022	0.2758	0.0058	0.1588	0.0397	0.0327	0.0155	0.0231	0.0125	0.0338
sp|Q9HCJ1|ANKH_HUMAN Progressive ankylosis protein homolog OS=Homo sapiens OX=9606 GN=ANKH PE=1 SV=2	Cell_membrane	0.8493	0.001	0.0002	0.0003	0.0433	0.3324	0.2501	0.0022	0.1353	0.2283	0.0069
sp|Q8WUA2|PPIL4_HUMAN Peptidyl-prolyl cis-trans isomerase-like 4 OS=Homo sapiens OX=9606 GN=PPIL4 PE=1 SV=1	Nucleus	0.0227	0.8061	0.1846	0.0001	0.0003	0.0018	0.0048	0.0	0.001	0.0011	0.0001
sp|O43559|FRS3_HUMAN Fibroblast growth factor receptor substrate 3 OS=Homo sapiens OX=9606 GN=FRS3 PE=1 SV=3	Cell_membrane	0.6229	0.3185	0.1012	0.0146	0.0051	0.5527	0.0004	0.0007	0.0046	0.0015	0.0006
sp|O43237|DC1L2_HUMAN Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1	Cytoplasm	0.0765	0.0521	0.8225	0.0007	0.0007	0.1043	0.0017	0.0017	0.0073	0.0068	0.0022
sp|O60784|TOM1_HUMAN Target of Myb protein 1 OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=2	Cytoplasm	0.1196	0.222	0.5237	0.0022	0.0242	0.0782	0.0112	0.0262	0.0479	0.061	0.0035
sp|Q9UHL4|DPP2_HUMAN Dipeptidyl peptidase 2 OS=Homo sapiens OX=9606 GN=DPP7 PE=1 SV=3	Extracellular	0.0118	0.0001	0.0021	0.9326	0.0166	0.0038	0.0267	0.0001	0.0	0.0177	0.0003
sp|P11166|GTR1_HUMAN Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens OX=9606 GN=SLC2A1 PE=1 SV=2	Cell_membrane	0.9369	0.0	0.0	0.0	0.0011	0.8408	0.0204	0.0	0.0157	0.1219	0.0001
sp|Q9UNW9|NOVA2_HUMAN RNA-binding protein Nova-2 OS=Homo sapiens OX=9606 GN=NOVA2 PE=1 SV=1	Nucleus	0.1743	0.7986	0.1704	0.0005	0.0016	0.0042	0.0001	0.0006	0.0001	0.0001	0.0241
sp|Q495W5|FUT11_HUMAN Alpha-(1,3)-fucosyltransferase 11 OS=Homo sapiens OX=9606 GN=FUT11 PE=1 SV=1	Extracellular	0.0237	0.0005	0.0028	0.564	0.003	0.0024	0.2882	0.0003	0.0013	0.1375	0.0001
sp|Q9Y6P5|SESN1_HUMAN Sestrin-1 OS=Homo sapiens OX=9606 GN=SESN1 PE=1 SV=2	Cytoplasm	0.2142	0.149	0.3459	0.0293	0.0986	0.0352	0.1435	0.0083	0.0656	0.0825	0.042
sp|Q15043|S39AE_HUMAN Metal cation symporter ZIP14 OS=Homo sapiens OX=9606 GN=SLC39A14 PE=1 SV=3	Cell_membrane	0.7991	0.0007	0.0002	0.0003	0.005	0.4842	0.1418	0.0002	0.0656	0.3017	0.0005
sp|Q2TAA5|ALG11_HUMAN GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Homo sapiens OX=9606 GN=ALG11 PE=1 SV=2	Endoplasmic_reticulum	0.9553	0.0004	0.0004	0.0001	0.0077	0.1741	0.5497	0.0007	0.2216	0.0431	0.0021
sp|Q9UJ41|RABX5_HUMAN Rab5 GDP/GTP exchange factor OS=Homo sapiens OX=9606 GN=RABGEF1 PE=1 SV=3	Cytoplasm	0.0487	0.372	0.5895	0.0003	0.0039	0.012	0.003	0.0006	0.0119	0.0059	0.0009
sp|Q9BRS8|LARP6_HUMAN La-related protein 6 OS=Homo sapiens OX=9606 GN=LARP6 PE=1 SV=1	Nucleus	0.1325	0.7368	0.229	0.0016	0.0011	0.0239	0.0008	0.0007	0.0044	0.001	0.0008
sp|Q8NBI5|S43A3_HUMAN Equilibrative nucleobase transporter 1 OS=Homo sapiens OX=9606 GN=SLC43A3 PE=1 SV=2	Cell_membrane	0.9599	0.0	0.0	0.0	0.0016	0.5794	0.2405	0.0	0.1125	0.0657	0.0002
sp|O95841|ANGL1_HUMAN Angiopoietin-related protein 1 OS=Homo sapiens OX=9606 GN=ANGPTL1 PE=2 SV=1	Extracellular	0.0012	0.0001	0.0008	0.8948	0.0004	0.0007	0.0361	0.0	0.0001	0.0671	0.0
sp|Q92733|PRCC_HUMAN Proline-rich protein PRCC OS=Homo sapiens OX=9606 GN=PRCC PE=1 SV=1	Nucleus	0.1991	0.9938	0.0055	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0
sp|O75449|KTNA1_HUMAN Katanin p60 ATPase-containing subunit A1 OS=Homo sapiens OX=9606 GN=KATNA1 PE=1 SV=1	Nucleus	0.0413	0.6093	0.3603	0.0006	0.0054	0.0083	0.0058	0.0005	0.006	0.0017	0.0021
sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1	Cytoplasm	0.0144	0.0389	0.7083	0.0113	0.0048	0.0049	0.0064	0.0229	0.0003	0.0793	0.1229
sp|Q13098|CSN1_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4	Cytoplasm	0.0283	0.3454	0.6134	0.0009	0.0031	0.0092	0.0026	0.0006	0.0121	0.0071	0.0054
sp|Q86SS6|SYT9_HUMAN Synaptotagmin-9 OS=Homo sapiens OX=9606 GN=SYT9 PE=1 SV=1	Cell_membrane	0.9279	0.0475	0.008	0.0005	0.0315	0.4696	0.21	0.0074	0.166	0.0535	0.006
sp|P22570|ADRO_HUMAN NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=FDXR PE=1 SV=3	Mitochondrion	0.5211	0.0007	0.0035	0.0047	0.9576	0.0091	0.0009	0.0086	0.0003	0.0027	0.0118
sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	Extracellular	0.0114	0.0	0.0	0.7857	0.0001	0.0021	0.0691	0.0	0.015	0.1279	0.0
sp|Q13188|STK3_HUMAN Serine/threonine-protein kinase 3 OS=Homo sapiens OX=9606 GN=STK3 PE=1 SV=2	Nucleus	0.0732	0.8731	0.1233	0.0	0.0004	0.001	0.0004	0.0003	0.0007	0.0002	0.0005
sp|Q8IYB1|M21D2_HUMAN Nucleotidyltransferase MB21D2 OS=Homo sapiens OX=9606 GN=MB21D2 PE=1 SV=3	Cytoplasm	0.0298	0.1805	0.706	0.0028	0.0095	0.0127	0.0039	0.0023	0.0057	0.0086	0.068
sp|P08697|A2AP_HUMAN Alpha-2-antiplasmin OS=Homo sapiens OX=9606 GN=SERPINF2 PE=1 SV=3	Extracellular	0.1622	0.0032	0.0094	0.6189	0.0612	0.0272	0.2326	0.0086	0.0026	0.035	0.0012
sp|Q86T13|CLC14_HUMAN C-type lectin domain family 14 member A OS=Homo sapiens OX=9606 GN=CLEC14A PE=1 SV=1	Cell_membrane	0.9998	0.0	0.0	0.0	0.0	0.9996	0.0001	0.0	0.0002	0.0	0.0
sp|Q8NFT2|STEA2_HUMAN Metalloreductase STEAP2 OS=Homo sapiens OX=9606 GN=STEAP2 PE=1 SV=3	Endoplasmic_reticulum	0.8631	0.0014	0.001	0.0001	0.0269	0.2738	0.3437	0.0019	0.1608	0.1751	0.0152
sp|Q8TD55|PKHO2_HUMAN Pleckstrin homology domain-containing family O member 2 OS=Homo sapiens OX=9606 GN=PLEKHO2 PE=1 SV=1	Cytoplasm	0.0156	0.1183	0.8628	0.0003	0.0004	0.0137	0.0002	0.0001	0.0032	0.0006	0.0002
tr|G3V0E4|G3V0E4_HUMAN Mitochondrial-processing peptidase subunit beta OS=Homo sapiens OX=9606 GN=PMPCB PE=1 SV=1	Mitochondrion	0.2735	0.0001	0.0035	0.0001	0.9883	0.0002	0.0001	0.0064	0.0	0.0	0.0012
sp|Q9BW62|KATL1_HUMAN Katanin p60 ATPase-containing subunit A-like 1 OS=Homo sapiens OX=9606 GN=KATNAL1 PE=1 SV=1	Cytoplasm	0.0493	0.3574	0.5512	0.0032	0.012	0.0327	0.0096	0.0035	0.014	0.0086	0.0078
tr|H0Y8B5|H0Y8B5_HUMAN Calcium-dependent secretion activator 2 (Fragment) OS=Homo sapiens OX=9606 GN=CADPS2 PE=1 SV=1	Cytoplasm	0.0385	0.2964	0.5725	0.0025	0.0072	0.0131	0.0172	0.0017	0.0433	0.043	0.003
sp|Q8IV08|PLD3_HUMAN 5'-3' exonuclease PLD3 OS=Homo sapiens OX=9606 GN=PLD3 PE=1 SV=1	Cell_membrane	0.9658	0.001	0.0007	0.0037	0.0037	0.5736	0.2865	0.0003	0.074	0.0557	0.0009
sp|O76021|RL1D1_HUMAN Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3	Nucleus	0.0821	0.9982	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sp|O14879|IFIT3_HUMAN Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens OX=9606 GN=IFIT3 PE=1 SV=1	Cytoplasm	0.04	0.1571	0.7221	0.001	0.0038	0.0149	0.0173	0.0009	0.0469	0.034	0.0021
tr|J3KPP4|J3KPP4_HUMAN Cisplatin resistance-associated overexpressed protein, isoform CRA_b OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=1	Nucleus	0.1371	0.9954	0.0038	0.0	0.0005	0.0001	0.0002	0.0	0.0	0.0	0.0
sp|O75439|MPPB_HUMAN Mitochondrial-processing peptidase subunit beta OS=Homo sapiens OX=9606 GN=PMPCB PE=1 SV=2	Mitochondrion	0.2803	0.0002	0.0039	0.0001	0.9894	0.0002	0.0001	0.005	0.0	0.0	0.001
sp|P15260|INGR1_HUMAN Interferon gamma receptor 1 OS=Homo sapiens OX=9606 GN=IFNGR1 PE=1 SV=1	Cell_membrane	0.9966	0.0006	0.0	0.0	0.0002	0.9543	0.0283	0.0001	0.0075	0.0089	0.0
sp|Q9BR76|COR1B_HUMAN Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1	Cytoplasm	0.0421	0.1451	0.6223	0.0012	0.182	0.0163	0.0013	0.005	0.0031	0.0031	0.0206
sp|Q9BQC3|DPH2_HUMAN 2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 OS=Homo sapiens OX=9606 GN=DPH2 PE=1 SV=1	Cytoplasm	0.0778	0.3599	0.5597	0.0031	0.0056	0.0216	0.0011	0.0082	0.0017	0.002	0.037
sp|O94888|UBXN7_HUMAN UBX domain-containing protein 7 OS=Homo sapiens OX=9606 GN=UBXN7 PE=1 SV=2	Nucleus	0.066	0.5988	0.3527	0.0019	0.0106	0.0077	0.0042	0.0017	0.0136	0.0065	0.0023
sp|P58335|ANTR2_HUMAN Anthrax toxin receptor 2 OS=Homo sapiens OX=9606 GN=ANTXR2 PE=1 SV=5	Cell_membrane	0.9996	0.0	0.0	0.0	0.0	0.9759	0.0235	0.0	0.0003	0.0002	0.0
sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	Cytoplasm	0.1142	0.4578	0.5002	0.0005	0.0224	0.008	0.0005	0.004	0.0026	0.0013	0.0026
sp|Q92769|HDAC2_HUMAN Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2	Nucleus	0.1128	0.9234	0.0505	0.0028	0.0013	0.0052	0.0025	0.0009	0.0014	0.0064	0.0056
sp|Q8IZN3|ZDH14_HUMAN Palmitoyltransferase ZDHHC14 OS=Homo sapiens OX=9606 GN=ZDHHC14 PE=1 SV=1	Cell_membrane	0.9973	0.0002	0.0	0.0	0.0001	0.848	0.0695	0.0001	0.0751	0.007	0.0
sp|P00742|FA10_HUMAN Coagulation factor X OS=Homo sapiens OX=9606 GN=F10 PE=1 SV=2	Extracellular	0.0064	0.0002	0.0006	0.8523	0.0003	0.0075	0.0169	0.0	0.0042	0.118	0.0
sp|Q9NZP8|C1RL_HUMAN Complement C1r subcomponent-like protein OS=Homo sapiens OX=9606 GN=C1RL PE=1 SV=2	Extracellular	0.0806	0.0004	0.0018	0.5947	0.0212	0.0372	0.1304	0.0	0.016	0.198	0.0005
