Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Site
O94819	KBTBB_HUMAN	reviewed	Kelch repeat and BTB domain-containing protein 11 (Chronic myelogenous leukemia-associated protein) (Kelch domain-containing protein 7B)	KBTBD11 CMLAP KIAA0711 KLHDC7C	Homo sapiens (Human)	623	
P04201	MAS_HUMAN	reviewed	Proto-oncogene Mas	MAS1 MAS	Homo sapiens (Human)	325	
Q9GZN7	ROGDI_HUMAN	reviewed	Protein rogdi homolog	ROGDI	Homo sapiens (Human)	287	
Q3B7I2	CNPY1_HUMAN	reviewed	Protein canopy homolog 1	CNPY1	Homo sapiens (Human)	92	
Q9ULP0	NDRG4_HUMAN	reviewed	Protein NDRG4 (Brain development-related molecule 1) (N-myc downstream-regulated gene 4 protein) (Vascular smooth muscle cell-associated protein 8) (SMAP-8)	NDRG4 BDM1 KIAA1180	Homo sapiens (Human)	352	
P0C851	PIRT_HUMAN	reviewed	Phosphoinositide-interacting protein	PIRT	Homo sapiens (Human)	137	
A8MQB3	CQ051_HUMAN	reviewed	Putative uncharacterized protein LINC02693	LINC02693 C17orf51	Homo sapiens (Human)	221	
Q969F8	KISSR_HUMAN	reviewed	KiSS-1 receptor (KiSS-1R) (G-protein coupled receptor 54) (G-protein coupled receptor OT7T175) (hOT7T175) (Hypogonadotropin-1) (Kisspeptins receptor) (Metastin receptor)	KISS1R AXOR12 GPR54	Homo sapiens (Human)	398	
Q9NS86	LANC2_HUMAN	reviewed	LanC-like protein 2 (Testis-specific adriamycin sensitivity protein)	LANCL2 GPR69B TASP	Homo sapiens (Human)	450	
Q96NJ5	KLH32_HUMAN	reviewed	Kelch-like protein 32 (BTB and kelch domain-containing protein 5)	KLHL32 BKLHD5 KIAA1900	Homo sapiens (Human)	620	
Q5T035	CI129_HUMAN	reviewed	Putative uncharacterized protein C9orf129	C9orf129	Homo sapiens (Human)	196	
Q02410	APBA1_HUMAN	reviewed	Amyloid-beta A4 precursor protein-binding family A member 1 (Adapter protein X11alpha) (Neuron-specific X11 protein) (Neuronal Munc18-1-interacting protein 1) (Mint-1)	APBA1 MINT1 X11	Homo sapiens (Human)	837	
Q9GZQ4	NMUR2_HUMAN	reviewed	Neuromedin-U receptor 2 (NMU-R2) (G-protein coupled receptor FM-4) (G-protein coupled receptor TGR-1)	NMUR2 NMU2R TGR1	Homo sapiens (Human)	415	
O94823	AT10B_HUMAN	reviewed	Phospholipid-transporting ATPase VB (EC 7.6.2.1) (ATPase class V type 10B) (P4-ATPase flippase complex alpha subunit ATP10B)	ATP10B ATPVB KIAA0715	Homo sapiens (Human)	1461	
Q9BUH8	BEGIN_HUMAN	reviewed	Brain-enriched guanylate kinase-associated protein	BEGAIN KIAA1446	Homo sapiens (Human)	593	
P41586	PACR_HUMAN	reviewed	Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)	ADCYAP1R1	Homo sapiens (Human)	468	
Q1L6U9	MSMP_HUMAN	reviewed	Prostate-associated microseminoprotein (PC3-secreted microprotein)	MSMP PSMP	Homo sapiens (Human)	139	
Q5BLP8	CD048_HUMAN	reviewed	Neuropeptide-like protein C4orf48	C4orf48 Chr4_55	Homo sapiens (Human)	95	
P80192	M3K9_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	MAP3K9 MLK1 PRKE1	Homo sapiens (Human)	1104	
Q9UKB5	AJAP1_HUMAN	reviewed	Adherens junction-associated protein 1 (Membrane protein shrew-1)	AJAP1 MOT8 SHREW1	Homo sapiens (Human)	411	
P20783	NTF3_HUMAN	reviewed	Neurotrophin-3 (NT-3) (HDNF) (Nerve growth factor 2) (NGF-2) (Neurotrophic factor)	NTF3	Homo sapiens (Human)	257	
P01185	NEU2_HUMAN	reviewed	Vasopressin-neurophysin 2-copeptin (AVP-NPII) [Cleaved into: Arg-vasopressin (Arginine-vasopressin); Neurophysin 2 (Neurophysin-II); Copeptin]	AVP ARVP VP	Homo sapiens (Human)	164	SITE 28;  /note="Important for agonist activity on V1aR/AVPR1A";  /evidence="ECO:0000269|PubMed:18174156"
A6NDY0	EPAB2_HUMAN	reviewed	Embryonic polyadenylate-binding protein 2 (Embryonic poly(A)-binding protein 2) (ePABP-2) (ePABP2) (Embryonic poly(A)-binding protein type II) (Poly(A)-binding protein nuclear-like 1)	PABPN1L EPABP2 PABPNL1	Homo sapiens (Human)	278	
Q8N7J2	AMER2_HUMAN	reviewed	APC membrane recruitment protein 2 (Amer2) (Protein FAM123A)	AMER2 FAM123A	Homo sapiens (Human)	671	
P25054	APC_HUMAN	reviewed	Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5)	APC DP2.5	Homo sapiens (Human)	2843	
Q8IY92	SLX4_HUMAN	reviewed	Structure-specific endonuclease subunit SLX4 (BTB/POZ domain-containing protein 12)	SLX4 BTBD12 KIAA1784 KIAA1987	Homo sapiens (Human)	1834	
A6XGL0	YJEN3_HUMAN	reviewed	YjeF N-terminal domain-containing protein 3 (YjeF_N3) (hYjeF_N3) (ApoA-I-binding protein 2)	YJEFN3 AIBP2	Homo sapiens (Human)	299	
Q8TEZ7	PAQR8_HUMAN	reviewed	Membrane progestin receptor beta (mPR beta) (Lysosomal membrane protein in brain 1) (Membrane progesterone P4 receptor beta) (Membrane progesterone receptor beta) (Progesterone and adipoQ receptor family member 8) (Progestin and adipoQ receptor family member 8) (Progestin and adipoQ receptor family member VIII)	PAQR8 C6orf33 LMPB1 MPRB	Homo sapiens (Human)	354	
A5D8V7	ODAD3_HUMAN	reviewed	Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)	ODAD3 CCDC151	Homo sapiens (Human)	595	
Q8N6F1	CLD19_HUMAN	reviewed	Claudin-19	CLDN19	Homo sapiens (Human)	224	
P05937	CALB1_HUMAN	reviewed	Calbindin (Calbindin D28) (D-28K) (Vitamin D-dependent calcium-binding protein, avian-type)	CALB1 CAB27	Homo sapiens (Human)	261	
Q9Y4D2	DGLA_HUMAN	reviewed	Diacylglycerol lipase-alpha (DAGL-alpha) (DGL-alpha) (EC 3.1.1.116) (Neural stem cell-derived dendrite regulator) (Sn1-specific diacylglycerol lipase alpha)	DAGLA C11orf11 KIAA0659 NSDDR	Homo sapiens (Human)	1042	
Q04609	FOLH1_HUMAN	reviewed	Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase)	FOLH1 FOLH NAALAD1 PSM PSMA GIG27	Homo sapiens (Human)	750	
Q5VZ46	K1614_HUMAN	reviewed	Uncharacterized protein KIAA1614	KIAA1614	Homo sapiens (Human)	1190	
Q14833	GRM4_HUMAN	reviewed	Metabotropic glutamate receptor 4 (mGluR4)	GRM4 GPRC1D MGLUR4	Homo sapiens (Human)	912	
P12259	FA5_HUMAN	reviewed	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	Homo sapiens (Human)	2224	SITE 334..335;  /note="Cleavage; by activated protein C";  /evidence="ECO:0000269|PubMed:7989361"; SITE 534..535;  /note="Cleavage; by activated protein C";  /evidence="ECO:0000269|PubMed:7989361"; SITE 707..708;  /note="Cleavage; by activated protein C";  /evidence="ECO:0000269|PubMed:7989361"; SITE 737..738;  /note="Cleavage; by thrombin";  /evidence="ECO:0000269|PubMed:3110773"; SITE 1022..1023;  /note="Cleavage; by activated protein C";  /evidence="ECO:0000269|PubMed:7989361"; SITE 1046..1047;  /note="Cleavage; by thrombin";  /evidence="ECO:0000269|PubMed:3110773"; SITE 1573..1574;  /note="Cleavage; by thrombin";  /evidence="ECO:0000269|PubMed:3110773"
Q86UW8	HPLN4_HUMAN	reviewed	Hyaluronan and proteoglycan link protein 4 (Brain link protein 2)	HAPLN4 BRAL2 KIAA1926	Homo sapiens (Human)	402	
P78509	RELN_HUMAN	reviewed	Reelin (EC 3.4.21.-)	RELN	Homo sapiens (Human)	3460	
Q9C0D0	PHAR1_HUMAN	reviewed	Phosphatase and actin regulator 1	PHACTR1 KIAA1733 RPEL1	Homo sapiens (Human)	580	
O43612	OREX_HUMAN	reviewed	Orexin (Hypocretin) (Hcrt) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]	HCRT OX PPORX PPOX	Homo sapiens (Human)	131	
A6NC98	CC88B_HUMAN	reviewed	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)	CCDC88B BRLZ	Homo sapiens (Human)	1476	
Q7L1I2	SV2B_HUMAN	reviewed	Synaptic vesicle glycoprotein 2B	SV2B KIAA0735	Homo sapiens (Human)	683	
O60469	DSCAM_HUMAN	reviewed	Down syndrome cell adhesion molecule (CHD2)	DSCAM	Homo sapiens (Human)	2012	
Q96F85	CNRP1_HUMAN	reviewed	CB1 cannabinoid receptor-interacting protein 1 (CRIP-1)	CNRIP1 C2orf32	Homo sapiens (Human)	164	
Q9HBZ2	ARNT2_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator 2 (ARNT protein 2) (Class E basic helix-loop-helix protein 1) (bHLHe1)	ARNT2 BHLHE1 KIAA0307	Homo sapiens (Human)	717	
Q7Z403	TMC6_HUMAN	reviewed	Transmembrane channel-like protein 6 (Epidermodysplasia verruciformis protein 1) (Protein LAK-4)	TMC6 EVER1 EVIN1	Homo sapiens (Human)	805	
A0A1B0GVS7	MDFI2_HUMAN	reviewed	MyoD family inhibitor domain-containing protein 2	MDFIC2	Homo sapiens (Human)	189	
Q5VTB9	RN220_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF220 (EC 2.3.2.27) (RING finger protein 220) (RING-type E3 ubiquitin transferase RNF220)	RNF220 C1orf164	Homo sapiens (Human)	566	
Q9UKU6	TRHDE_HUMAN	reviewed	Thyrotropin-releasing hormone-degrading ectoenzyme (TRH-DE) (TRH-degrading ectoenzyme) (EC 3.4.19.6) (Pyroglutamyl-peptidase II) (PAP-II) (TRH-specific aminopeptidase) (Thyroliberinase)	TRHDE UNQ2507/PRO5995	Homo sapiens (Human)	1024	SITE 527;  /note="Transition state stabilizer";  /evidence="ECO:0000250"
Q5GH76	XKR4_HUMAN	reviewed	XK-related protein 4 (hXKR4) [Cleaved into: XK-related protein 4, processed form]	XKR4 KIAA1889 XRG4	Homo sapiens (Human)	650	SITE 567..568;  /note="Cleavage; by caspase-3, caspase-6 and caspase-7";  /evidence="ECO:0000250|UniProtKB:Q5GH67"
O95800	GPR75_HUMAN	reviewed	Probable G-protein coupled receptor 75	GPR75	Homo sapiens (Human)	540	
Q8NC24	RELL2_HUMAN	reviewed	RELT-like protein 2	RELL2 C5orf16 UNQ9423/PRO34565	Homo sapiens (Human)	303	
Q8N8D7	NKAI3_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3 (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein 3) (Protein FAM77D)	NKAIN3 FAM77D	Homo sapiens (Human)	197	
Q7M4L6	SHF_HUMAN	reviewed	SH2 domain-containing adapter protein F	SHF	Homo sapiens (Human)	423	
Q8N9F8	ZN454_HUMAN	reviewed	Zinc finger protein 454	ZNF454	Homo sapiens (Human)	522	
Q9H7X2	CA115_HUMAN	reviewed	Uncharacterized protein C1orf115	C1orf115	Homo sapiens (Human)	142	
P0C6C1	AN34C_HUMAN	reviewed	Ankyrin repeat domain-containing protein 34C	ANKRD34C	Homo sapiens (Human)	535	
Q96SR6	ZN382_HUMAN	reviewed	Zinc finger protein 382 (KRAB/zinc finger suppressor protein 1) (KS1) (Multiple zinc finger and krueppel-associated box protein KS1)	ZNF382	Homo sapiens (Human)	550	
Q8IWL8	STH_HUMAN	reviewed	Saitohin	STH	Homo sapiens (Human)	128	
Q13003	GRIK3_HUMAN	reviewed	Glutamate receptor ionotropic, kainate 3 (GluK3) (Excitatory amino acid receptor 5) (EAA5) (Glutamate receptor 7) (GluR-7) (GluR7)	GRIK3 GLUR7	Homo sapiens (Human)	919	
Q6ZVK1	T179A_HUMAN	reviewed	Transmembrane protein 179 (Transmembrane protein 179A)	TMEM179 C14orf90 TMEM179A	Homo sapiens (Human)	233	
Q4G0T1	SRCRM_HUMAN	reviewed	Scavenger receptor cysteine-rich domain-containing protein SCART1 (Scavenger receptor family member expressed on T cells 1)	SCART1	Homo sapiens (Human)	1027	
Q96LD1	SGCZ_HUMAN	reviewed	Zeta-sarcoglycan (Zeta-SG) (ZSG1)	SGCZ	Homo sapiens (Human)	299	
P22794	EVI2A_HUMAN	reviewed	Protein EVI2A (Ecotropic viral integration site 2A protein homolog) (EVI-2A)	EVI2A EVDA EVI2	Homo sapiens (Human)	236	
Q96RR4	KKCC2_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2) (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta)	CAMKK2 CAMKKB KIAA0787	Homo sapiens (Human)	588	
Q8NGW1	OR6B3_HUMAN	reviewed	Olfactory receptor 6B3 (Olfactory receptor OR2-2)	OR6B3 OR6B3P	Homo sapiens (Human)	331	
O95264	5HT3B_HUMAN	reviewed	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	HTR3B	Homo sapiens (Human)	441	
Q9H2A3	NGN2_HUMAN	reviewed	Neurogenin-2 (NGN-2) (Class A basic helix-loop-helix protein 8) (bHLHa8) (Protein atonal homolog 4)	NEUROG2 ATOH4 BHLHA8 NGN2	Homo sapiens (Human)	272	
O15226	NKRF_HUMAN	reviewed	NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4)	NKRF ITBA4 NRF	Homo sapiens (Human)	690	
Q96PX6	CC85A_HUMAN	reviewed	Coiled-coil domain-containing protein 85A	CCDC85A KIAA1912	Homo sapiens (Human)	553	
O60296	TRAK2_HUMAN	reviewed	Trafficking kinesin-binding protein 2 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 3 protein)	TRAK2 ALS2CR3 KIAA0549	Homo sapiens (Human)	914	
Q07866	KLC1_HUMAN	reviewed	Kinesin light chain 1 (KLC 1)	KLC1 KLC KNS2	Homo sapiens (Human)	573	
P48664	EAA4_HUMAN	reviewed	Excitatory amino acid transporter 4 (Sodium-dependent glutamate/aspartate transporter) (Solute carrier family 1 member 6)	SLC1A6 EAAT4	Homo sapiens (Human)	564	
P0CG36	CFC1B_HUMAN	reviewed	Cryptic family protein 1B	CFC1B	Homo sapiens (Human)	223	
Q12955	ANK3_HUMAN	reviewed	Ankyrin-3 (ANK-3) (Ankyrin-G)	ANK3	Homo sapiens (Human)	4377	
Q09470	KCNA1_HUMAN	reviewed	Potassium voltage-gated channel subfamily A member 1 (Voltage-gated K(+) channel HuKI) (Voltage-gated potassium channel HBK1) (Voltage-gated potassium channel subunit Kv1.1)	KCNA1	Homo sapiens (Human)	495	
Q9Y5N1	HRH3_HUMAN	reviewed	Histamine H3 receptor (H3R) (HH3R) (G-protein coupled receptor 97)	HRH3 GPCR97	Homo sapiens (Human)	445	
Q8IZU2	WDR17_HUMAN	reviewed	WD repeat-containing protein 17	WDR17	Homo sapiens (Human)	1322	
Q9P283	SEM5B_HUMAN	reviewed	Semaphorin-5B	SEMA5B KIAA1445 SEMAG UNQ5867/PRO34001	Homo sapiens (Human)	1151	
Q86YJ7	AN13B_HUMAN	reviewed	Ankyrin repeat domain-containing protein 13B	ANKRD13B	Homo sapiens (Human)	626	
P0DMU3	F231L_HUMAN	reviewed	FAM231A/C-like protein LOC102723383		Homo sapiens (Human)	169	
P0DMU4	F231A_HUMAN		Deleted.				
P0DMU5	F231C_HUMAN		Deleted.				
Q08828	ADCY1_HUMAN	reviewed	Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY1	Homo sapiens (Human)	1119	
Q13474	DRP2_HUMAN	reviewed	Dystrophin-related protein 2 (DRP-2)	DRP2	Homo sapiens (Human)	957	
Q00444	HXC5_HUMAN	reviewed	Homeobox protein Hox-C5 (Homeobox protein CP11) (Homeobox protein Hox-3D)	HOXC5 HOX3D	Homo sapiens (Human)	222	
Q9H2G4	TSYL2_HUMAN	reviewed	Testis-specific Y-encoded-like protein 2 (TSPY-like protein 2) (Cell division autoantigen 1) (Cutaneous T-cell lymphoma-associated antigen se20-4) (CTCL-associated antigen se20-4) (Differentially-expressed nucleolar TGF-beta1 target protein) (Nuclear protein of 79 kDa) (NP79)	TSPYL2 CDA1 DENTT TSPX HRIHFB2216	Homo sapiens (Human)	693	
Q96PB8	LRC3B_HUMAN	reviewed	Leucine-rich repeat-containing protein 3B (Leucine-rich repeat protein 15)	LRRC3B LRP15 UNQ195/PRO221	Homo sapiens (Human)	259	
O14924	RGS12_HUMAN	reviewed	Regulator of G-protein signaling 12 (RGS12)	RGS12	Homo sapiens (Human)	1447	
P31152	MK04_HUMAN	reviewed	Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK)	MAPK4 ERK4 PRKM4	Homo sapiens (Human)	587	
Q86SS6	SYT9_HUMAN	reviewed	Synaptotagmin-9 (Synaptotagmin IX) (SytIX)	SYT9	Homo sapiens (Human)	491	
Q6IS24	GLT17_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase 17 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 3) (GalNAc-T-like protein 3) (pp-GaNTase-like protein 3) (Protein-UDP acetylgalactosaminyltransferase-like protein 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 3) (Williams-Beuren syndrome chromosomal region 17 protein)	GALNT17 WBSCR17	Homo sapiens (Human)	598	
Q69YW2	STUM_HUMAN	reviewed	Protein stum homolog	STUM C1orf95	Homo sapiens (Human)	141	
Q16566	KCC4_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR)	CAMK4 CAMK CAMK-GR CAMKIV	Homo sapiens (Human)	473	
Q6X4W1	NSMF_HUMAN	reviewed	NMDA receptor synaptonuclear signaling and neuronal migration factor (Nasal embryonic luteinizing hormone-releasing hormone factor) (Nasal embryonic LHRH factor)	NSMF NELF	Homo sapiens (Human)	530	
Q02297	NRG1_HUMAN	reviewed	Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]	NRG1 GGF HGL HRGA NDF SMDF	Homo sapiens (Human)	640	SITE 34;  /note="Breakpoint for translocation to form gamma-heregulin"
Q99581	FEV_HUMAN	reviewed	Protein FEV (Fifth Ewing variant protein) (PC12 ETS domain-containing transcription factor 1) (PC12 ETS factor 1) (Pet-1)	FEV PET1	Homo sapiens (Human)	238	SITE 18..19;  /note="Breakpoint for insertion to form EWS-FEV fusion protein"
Q96PU8	QKI_HUMAN	reviewed	Protein quaking (Hqk) (HqkI)	QKI HKQ	Homo sapiens (Human)	341	SITE 97;  /note="Involved in RNA binding";  /evidence="ECO:0000269|PubMed:23630077"; SITE 120;  /note="Involved in RNA binding";  /evidence="ECO:0000269|PubMed:23630077"; SITE 124;  /note="Involved in RNA binding";  /evidence="ECO:0000269|PubMed:23630077"; SITE 130;  /note="Involved in RNA binding";  /evidence="ECO:0000269|PubMed:23630077"; SITE 190;  /note="Involved in RNA binding";  /evidence="ECO:0000269|PubMed:23630077"; SITE 193;  /note="Involved in RNA binding";  /evidence="ECO:0000269|PubMed:23630077"
P63027	VAMP2_HUMAN	reviewed	Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2)	VAMP2 SYB2	Homo sapiens (Human)	116	SITE 58..59;  /note="(Microbial infection) Cleavage; by C.botulinum neurotoxin type F (BoNT/F, botF)";  /evidence="ECO:0000305|PubMed:19543288"; SITE 76..77;  /note="(Microbial infection) Cleavage; by C.botulinum neurotoxin type D (BoNT/D, botD)";  /evidence="ECO:0000269|PubMed:7803399"; SITE 76..77;  /note="(Microbial infection) Cleavage; by C.tetani toxin (tetX)";  /evidence="ECO:0000269|PubMed:7803399"
Q9NR80	ARHG4_HUMAN	reviewed	Rho guanine nucleotide exchange factor 4 (APC-stimulated guanine nucleotide exchange factor 1) (Asef) (Asef1)	ARHGEF4 KIAA1112	Homo sapiens (Human)	690	
Q9NZC2	TREM2_HUMAN	reviewed	Triggering receptor expressed on myeloid cells 2 (TREM-2) (Triggering receptor expressed on monocytes 2)	TREM2	Homo sapiens (Human)	230	SITE 157..158;  /note="Cleavage of ectodomain";  /evidence="ECO:0000269|PubMed:28855300, ECO:0000269|PubMed:28855301"
Q49A17	GLTL6_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase-like 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 17) (GalNAc-T17) (pp-GaNTase 17) (Protein-UDP acetylgalactosaminyltransferase 17) (Putative polypeptide N-acetylgalactosaminyltransferase 17) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 17)	GALNTL6 GALNT17	Homo sapiens (Human)	601	
Q6MZQ0	PRR5L_HUMAN	reviewed	Proline-rich protein 5-like (Protein observed with Rictor-2) (Protor-2)	PRR5L PROTOR2	Homo sapiens (Human)	368	
P27539	GDF1_HUMAN	reviewed	Embryonic growth/differentiation factor 1 (GDF-1)	GDF1	Homo sapiens (Human)	372	
P0CW24	PNM6A_HUMAN	reviewed	Paraneoplastic antigen-like protein 6A	PNMA6A PNMA6C	Homo sapiens (Human)	399	
P81277	PRRP_HUMAN	reviewed	Prolactin-releasing peptide (PrRP) (Prolactin-releasing hormone) [Cleaved into: Prolactin-releasing peptide PrRP31; Prolactin-releasing peptide PrRP20]	PRLH PRH	Homo sapiens (Human)	87	
Q8N7P1	PLD5_HUMAN	reviewed	Inactive phospholipase D5 (Inactive PLD 5) (Inactive choline phosphatase 5) (Inactive phosphatidylcholine-hydrolyzing phospholipase D5) (PLDc)	PLD5	Homo sapiens (Human)	536	
Q96QS3	ARX_HUMAN	reviewed	Homeobox protein ARX (Aristaless-related homeobox)	ARX	Homo sapiens (Human)	562	
O14604	TYB4Y_HUMAN	reviewed	Thymosin beta-4, Y-chromosomal	TMSB4Y TB4Y	Homo sapiens (Human)	44	
Q14DG7	T132B_HUMAN	reviewed	Transmembrane protein 132B	TMEM132B KIAA1786 KIAA1906	Homo sapiens (Human)	1078	
Q8IZD0	SAM14_HUMAN	reviewed	Sterile alpha motif domain-containing protein 14 (SAM domain-containing protein 14)	SAMD14	Homo sapiens (Human)	417	
P31391	SSR4_HUMAN	reviewed	Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R)	SSTR4	Homo sapiens (Human)	388	
Q9Y5K3	PCY1B_HUMAN	reviewed	Choline-phosphate cytidylyltransferase B (EC 2.7.7.15) (CCT-beta) (CTP:phosphocholine cytidylyltransferase B) (CCT B) (CT B) (Phosphorylcholine transferase B)	PCYT1B CCTB	Homo sapiens (Human)	369	
Q9P2K9	DISP3_HUMAN	reviewed	Protein dispatched homolog 3 (Patched domain-containing protein 2)	DISP3 KIAA1337 PTCHD2	Homo sapiens (Human)	1392	
O14764	GBRD_HUMAN	reviewed	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta)	GABRD	Homo sapiens (Human)	452	
Q9GZN8	CT027_HUMAN	reviewed	UPF0687 protein C20orf27	C20orf27	Homo sapiens (Human)	174	
P0DKX4	SIM18_HUMAN	reviewed	Small integral membrane protein 18	SMIM18	Homo sapiens (Human)	95	
Q6ZMV9	KIF6_HUMAN	reviewed	Kinesin-like protein KIF6	KIF6 C6orf102	Homo sapiens (Human)	814	
O75525	KHDR3_HUMAN	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 3 (RNA-binding protein T-Star) (Sam68-like mammalian protein 2) (SLM-2) (Sam68-like phosphotyrosine protein)	KHDRBS3 SALP SLM2	Homo sapiens (Human)	346	
P17600	SYN1_HUMAN	reviewed	Synapsin-1 (Brain protein 4.1) (Synapsin I)	SYN1	Homo sapiens (Human)	705	
Q6H8Q1	ABLM2_HUMAN	reviewed	Actin-binding LIM protein 2 (abLIM-2) (Actin-binding LIM protein family member 2)	ABLIM2 KIAA1808	Homo sapiens (Human)	611	
A6NGN9	IGLO5_HUMAN	reviewed	IgLON family member 5	IGLON5	Homo sapiens (Human)	336	
Q9HAR2	AGRL3_HUMAN	reviewed	Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)	ADGRL3 KIAA0768 LEC3 LPHN3	Homo sapiens (Human)	1447	SITE 841..842;  /note="Cleavage";  /evidence="ECO:0000250"
Q13202	DUS8_HUMAN	reviewed	Dual specificity protein phosphatase 8 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH-5)	DUSP8 C11orf81 VH5	Homo sapiens (Human)	625	
P16870	CBPE_HUMAN	reviewed	Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H) (CPH) (Enkephalin convertase) (Prohormone-processing carboxypeptidase)	CPE	Homo sapiens (Human)	476	
P54829	PTN5_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase) (STEP)	PTPN5	Homo sapiens (Human)	565	
O43749	OR1F1_HUMAN	reviewed	Olfactory receptor 1F1 (Olfactory receptor 16-35) (OR16-35) (Olfactory receptor 1F10) (Olfactory receptor 1F4) (Olfactory receptor 1F5) (Olfactory receptor 1F6) (Olfactory receptor 1F7) (Olfactory receptor 1F8) (Olfactory receptor 1F9) (Olfactory receptor OR16-4)	OR1F1 OLFMF OR1F10 OR1F4 OR1F5 OR1F6 OR1F7 OR1F8 OR1F9	Homo sapiens (Human)	312	
Q9ULN7	PNM8B_HUMAN	reviewed	Paraneoplastic antigen-like protein 8B (PNMA-like protein 2)	PNMA8B KIAA1183 PNMAL2	Homo sapiens (Human)	635	
Q6PL45	BRID5_HUMAN	reviewed	BRICHOS domain-containing protein 5	BRICD5 C16orf79	Homo sapiens (Human)	260	
P35452	HXD12_HUMAN	reviewed	Homeobox protein Hox-D12 (Homeobox protein Hox-4H)	HOXD12 HOX4H	Homo sapiens (Human)	270	
P0C7M8	CLC2L_HUMAN	reviewed	C-type lectin domain family 2 member L	CLEC2L	Homo sapiens (Human)	214	
Q6ZV80	CB091_HUMAN	reviewed	Putative uncharacterized protein LINC02898 (Long intergenic non-protein coding RNA 2898)	LINC02898 C2orf91	Homo sapiens (Human)	131	
