Supplementary Table 2. Spectrum Mill protein summary report of the iTRAQ discovery data. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exp1 numSpectra;Exp1 totalIntensity;Exp1 pct_cov;Exp1 unique_peptides;Exp1 iTRAQ_ratio_1;Exp1 iTRAQ_ratio_2;Exp1 iTRAQ_ratio_3;Exp2 numSpectra;Exp2 totalIntensity;Exp2 pct_cov;Exp2 unique_peptides;Exp2 iTRAQ_ratio_1;Exp2 iTRAQ_ratio_2;Exp2 iTRAQ_ratio_3;Exp3 numSpectra;Exp3 totalIntensity;Exp3 pct_cov;Exp3 unique_peptides;Exp3 iTRAQ_ratio_1;Exp3 iTRAQ_ratio_2;Exp3 iTRAQ_ratio_3;Exp4 numSpectra;Exp4 totalIntensity;Exp4 pct_cov;Exp4 unique_peptides;Exp4 iTRAQ_ratio_1;Exp4 iTRAQ_ratio_2;Exp4 iTRAQ_ratio_3;Exp5 numSpectra;Exp5 totalIntensity;Exp5 pct_cov;Exp5 unique_peptides;Exp5 iTRAQ_ratio_1;Exp5 iTRAQ_ratio_2;Exp5 iTRAQ_ratio_3; accession_number; accession_numbers; coverage_map; coverage_maps; percentCoverage; percentCoverages; numPepsUnique; scoreUnique; scoresUnique;iTRAQ_115_114;iTRAQ_115_114_stddev;iTRAQ_116_114;iTRAQ_116_114_stddev;iTRAQ_117_114;iTRAQ_117_114_stddev;iTRAQ_numRatios; groupNum; subgroupNum; numSubgroups; entry_name;;;
3;3,68E+08;2%;3;0,82;1,02;0,84;0;0,00E+00;0%;0;0;0;0;1;1,29E+07;0%;1;0,64;0,5;1,16;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00385383;IPI00385383|IPI00917215|IPI00926156|IPI00926986|IPI00736842|IPI00604623|IPI00925031;0+40+30+1367;0+40+30+419+4+28+5+166+5+740|0+40+30+419+4+28+5+166+5+697|0+40+30+161|0+40+30+155|0+40+30+142|0+40+30+138|0+40+30+77;3;3|3|12|13|14|14|20;4;37,1;37.1|37.1|10.76|10.76|10.76|10.76|10.76;0,77;0,24;0,89;0,34;0,92;0,54;4;491;491,1;1;ABCC5 Multidrug resistance-associated protein 5;;;
5;5,63E+07;4%;2;1,07;1,24;0,5;2;3,97E+07;2%;1;0,8;0,91;1;7;1,61E+08;4%;2;0,84;0,96;1,34;6;1,44E+08;4%;2;0,43;0,31;0,3;7;2,51E+08;4%;2;0,34;0,72;1,16;IPI00003176;IPI00003176|IPI00902529;0+178+12+290;0+141+11+26+12+290|0+108+11+26+12+290;4;4|5;2;36,77;36.77|36.77;0,66;0,32;0,8;0,38;0,88;0,49;27;492;492,1;1;HTRA1 Serine protease HTRA1;;;
0;0,00E+00;0%;0;0;0;0;3;1,39E+07;1%;2;1,11;1,07;1,21;4;1,57E+08;1%;3;0,54;0,82;1,08;1;9,16E+07;0%;1;0,68;0,74;0,75;0;0,00E+00;0%;0;0;0;0;IPI00853400;IPI00853400|IPI00855962;0+831+13+375;0+525+4+129+6+167+13+375|0+525+4+119+6+167+13+375;1;1|1;3;36,72;36.72|36.72;0,77;0,37;0,9;0,4;1,09;0,39;8;493;493,1;1;FKBP15 Isoform 1 of FK506-binding protein 15;;;
5;9,71E+07;13%;1;0,69;0,92;0,28;6;1,11E+08;13%;1;0,49;1,29;1,49;10;7,83E+08;21%;2;0,76;0,56;1,26;17;4,45E+08;21%;2;0,43;0,35;0,41;14;7,03E+08;21%;2;0,19;0,62;1,14;IPI00001506;IPI00001506;0+67+13+17;0+67+21+9;21;21;2;36,68;36,68;0,46;0,23;0,65;0,34;0,9;0,5;48;494;494,1;1;NPY Neuropeptide Y;;;
2;1,18E+08;0%;1;0,52;0,56;0,58;4;3,35E+08;0%;2;1,4;0,82;0,8;3;5,07E+08;0%;1;0,66;0,64;1,16;9;2,19E+09;1%;4;0,66;0,54;1,21;6;1,24E+09;0%;1;0,52;0,59;0,93;IPI00854845;IPI00854845;0+2151+4+267;0+169+10+13+11+1269+4+675+4+267;1;1;4;36,65;36,65;0,73;0,32;0,61;0,14;1,01;0,36;24;495;495,1;1;GVIN1 Interferon-induced very large GTPase 1;;;
23;2,89E+09;15%;2;0,63;0,83;0,33;20;3,11E+09;15%;2;0,58;0,71;0,83;26;7,78E+09;15%;2;0,66;0,63;1,08;23;8,94E+09;15%;2;0,58;0,58;0,78;21;1,28E+10;15%;2;0,29;0,7;1,01;IPI00011302;IPI00011302;0+66+12+50;0+55+8+3+12+50;15;15;2;36,52;36,52;0,55;0,18;0,69;0,15;0,81;0,32;111;496;496,1;1;CD59 CD59 glycoprotein;;;
4;4,06E+07;12%;2;0,72;0,63;0,39;2;9,06E+06;5%;1;0,67;0,56;0,74;3;1,22E+08;5%;1;0,62;0,71;0,85;3;8,40E+07;5%;1;0,57;0,33;0,31;3;1,57E+08;5%;1;0,17;0,55;0,76;IPI00014439;IPI00014439|IPI00902534;0+154+13+77;0+154+13+52+17+8|0+123+13+52+17+8;12;12|14;2;36,47;36.47|36.47;0,55;0,22;0,56;0,15;0,59;0,25;15;497;497,1;1;QDPR Dihydropteridine reductase;;;
13;2,23E+08;0%;2;0,83;0,53;1,16;14;3,56E+08;0%;2;1,27;0,97;0,82;12;7,73E+08;0%;3;1,03;0,83;0,7;6;3,76E+08;0%;2;0,32;0,26;0,31;13;8,89E+08;0%;2;0,55;0,56;0,55;IPI00333770;IPI00333770;0+254+7+1925;0+254+7+301+4+1620;0;0;3;36,41;36,41;0,86;0,36;0,68;0,26;0,76;0,33;58;498;498,1;1;DOCK10 dedicator of cytokinesis protein 10;;;
5;1,39E+09;11%;2;0,6;0,75;0,32;7;2,77E+09;14%;2;0,6;0,85;1,08;6;8,65E+09;14%;2;0,7;0,73;1,08;0;0,00E+00;0%;0;0;0;0;1;1,12E+09;9%;1;0,68;0,45;1,05;IPI00935309;IPI00935309|IPI00936646|IPI00935682;0+52+17+110;0+3+9+40+17+57+4+49|0+152+17+57+4+49|0+40+17+57+4+49;16;16|7|12;3;36,35;36.35|23.38|23.38;0,64;0,17;0,77;0,16;0,88;0,39;19;499;499,1;1;#NAME?;;;
3;1,73E+07;2%;2;0,62;0,62;0,72;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;1;4,18E+06;1%;1;0;0;0;IPI00444793;IPI00444793|IPI00424603|IPI00853635;0+1132+23+101;0+238+22+421+12+439+23+101|0+203+22+421+12+439+23+101|0+752+23+101;4;4|4|2;3;36,31;36.31|36.31|15.35;0,62;0,05;0,62;0,04;0,72;0,12;2;500;500,1;1;CSPP1 centrosome and spindle pole-associated protein 1 isoform a;;;
3;3,54E+07;4%;2;0,41;0,51;0,22;2;1,58E+06;2%;2;1,18;0,96;0,72;0;0,00E+00;0%;0;0;0;0;3;5,19E+07;4%;2;0,54;0,51;0,82;0;0,00E+00;0%;0;0;0;0;IPI00171903;IPI00171903|IPI00383296;0+485+11+234;0+322+23+140+18+227|0+283+23+140+18+227;5;5|5;3;36,3;36.3|36.3;0,65;0,41;0,62;0,32;0,57;0,39;8;501;501,1;1;HNRNPM Isoform 1 of Heterogeneous nuclear ribonucleoprotein M;;;
2;7,17E+06;0%;1;0,81;1,22;0,4;3;2,21E+07;0%;2;0,84;0,82;1,15;2;3,55E+07;0%;2;0,64;1,32;1,11;2;1,38E+07;0%;1;0,38;0,41;0,34;2;7,57E+06;0%;1;0,33;0,72;0,99;IPI00296337;IPI00296337|IPI00376215|IPI00786995;0+1689+22+2417;0+124+9+1556+22+1549+4+864|0+124+9+1556+22+1549+4+833|0+124+9+1556+22+1548+4+833;0;0|0|0;3;36,24;36.24|36.24|36.24;0,62;0,29;0,89;0,49;0,83;0,49;11;502;502,1;1;PRKDC Isoform 1 of DNA-dependent protein kinase catalytic subunit;;;
1;5,22E+06;1%;1;0;0;0;2;4,60E+06;2%;2;0,96;0;0;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00296922;IPI00296922|IPI00743203|IPI00796322|IPI00788729;0+1539+23+236;0+697+26+816+23+236|0+697+26+816+23+236|0+5+23+168|0+5+23+43;2;2|2|11|32;2;36,08;36.08|36.08|19.42|19.42;0,96;0;0;0;0;0;1;503;503,1;1;LAMB2 Laminin subunit beta-2;;;
5;1,33E+07;7%;3;0,93;1,21;0,93;3;2,98E+07;6%;2;0,98;1,2;1,27;5;5,53E+07;6%;2;1,11;1,05;1,61;3;4,01E+07;6%;2;0,64;0,57;0,38;5;1,01E+08;6%;2;0,32;0,66;1,61;IPI00024621;IPI00024621|IPI00607652;0+223+20+163;0+223+20+51+6+100+6|0+203+20+51+6+100+6;7;7|8;3;35,95;35.95|35.95;0,76;0,35;0,91;0,41;1,23;0,56;18;504;504,1;1;OLFML3 Isoform 1 of Olfactomedin-like protein 3;;;
1;2,12E+06;2%;1;1,75;2,8;0,8;1;1,58E+05;2%;1;0;0;0;2;4,75E+06;5%;2;1,67;2,9;2,8;0;0,00E+00;0%;0;0;0;0;2;1,13E+06;2%;1;0,97;0;2,13;IPI00964791;IPI00964791|IPI00296197;0+403+13+52;0+338+12+53+13+52|0+331+12+53+13+52;5;5|5;2;35,82;35.82|35.82;1,46;0,35;1,9;1,34;1,91;0,83;3;505;505,1;1;SIL1 Putative uncharacterized protein SIL1;;;
0;0,00E+00;0%;0;0;0;0;2;4,17E+06;3%;1;0,57;1,38;0,95;1;1,76E+06;3%;1;0;1,07;1,45;6;5,54E+07;7%;2;0,35;0,46;0,23;4;1,44E+08;4%;1;0,13;0,61;0,69;IPI00003919;IPI00003919|IPI00954591|IPI00892934|IPI00893489;0+270+15+76;0+133+11+126+15+76|0+84+11+126+15+76|0+84+11+126+15+48|0+35+15+68;7;7|8|9|12;2;35,76;35.76|35.76|35.76|19.87;0,29;0,18;0,69;0,36;0,58;0,4;13;506;506,1;1;QPCT Isoform 1 of Glutaminyl-peptide cyclotransferase;;;
0;0,00E+00;0%;0;0;0;0;2;6,50E+06;3%;2;0,59;0,76;1;1;1,03E+06;0%;1;0,59;0,65;1,23;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00333140;IPI00333140;0+483+7+247;0+297+6+180+7+176+18+53;4;4;3;35,57;35,57;0,59;0;0,7;0,06;1,12;0,11;2;507;507,1;1;DNER Delta and Notch-like epidermal growth factor-related receptor;;;
14;2,39E+08;1%;2;0,64;0,89;0,31;14;3,72E+08;1%;2;0,54;0,71;0,96;13;2,55E+08;1%;2;0,5;0,62;1,1;14;1,17E+09;1%;2;0,53;0,45;0,34;15;8,00E+08;1%;2;0,26;0,67;0,82;IPI00165125;IPI00165125|IPI00942872|IPI00384174;0+73+9+730;0+73+9+44+6+680|0+35+9+44+6+680|0+35+9+44+6+576;1;1|1|2;2;35,49;35.49|35.49|35.49;0,49;0,16;0,67;0,19;0,69;0,33;68;508;508,1;1;C14orf37 cDNA FLJ59350;;;
1;2,40E+06;0%;1;0,85;1,54;0,44;1;3,42E+06;0%;1;1,05;0,86;0,97;0;0,00E+00;0%;0;0;0;0;1;3,38E+06;0%;1;0,87;0;1,1;2;4,33E+06;0%;1;0;0,88;1,39;IPI00903213;IPI00903213|IPI00289819;0+512+9+1970;0+512+9+202+10+1140+4+614|0+512+9+202+10+1140+4+614;0;0|0;3;35,37;35.37|35.37;0,55;0,46;0,83;0,58;1,06;0,35;5;509;509,1;1;IGF2R 274 kDa protein;;;
15;3,87E+08;15%;2;0,64;0,85;0,28;13;4,86E+08;15%;2;0,67;0,81;1,09;10;1,40E+09;15%;2;0,57;0,58;1,26;15;2,03E+09;15%;2;0,48;0,46;0,42;11;1,87E+09;15%;2;0,24;0,59;1;IPI00289058;IPI00289058;0+67+11+38;0+50+7+10+11+38;15;15;2;35,35;35,35;0,53;0,2;0,66;0,21;0,75;0,41;64;510;510,1;1;LYNX1 Ly-6/neurotoxin-like protein 1;;;
9;4,98E+07;15%;2;0,96;1,05;0,49;8;3,40E+07;15%;2;1,31;0,46;1,01;8;1,53E+08;15%;2;0,81;0,63;1,31;3;1,06E+08;4%;1;0,62;0,63;1,35;4;1,46E+08;4%;1;0,39;0,62;1,37;IPI00017704;IPI00017704;0+75+16+51;0+57+6+12+16+51;15;15;2;35,22;35,22;0,78;0,33;0,65;0,23;1,17;0,31;16;511;511,1;1;COTL1 Coactosin-like protein;;;
8;7,65E+07;4%;3;1,75;2,16;0,73;3;1,80E+07;3%;2;1,96;1,18;1,37;2;4,99E+07;2%;1;0,95;1,47;1,14;0;0,00E+00;0%;0;0;0;0;2;2,83E+07;2%;1;0,37;0,97;1,7;IPI00010790;IPI00010790;0+280+8+80;0+142+5+133+8+65+5+10;4;4;3;35,17;35,17;1,5;0,66;1,71;0,71;1,04;0,43;15;512;512,1;1;BGN Biglycan;;;
0;0,00E+00;0%;0;0;0;0;1;3,72E+06;6%;1;1,45;0,63;0,58;0;0,00E+00;0%;0;0;0;0;1;1,29E+07;11%;1;0;0;0,74;0;0,00E+00;0%;0;0;0;0;IPI00216691;IPI00216691;0+127+9+4;0+38+16+73+9+4;17;17;2;35,17;35,17;0,73;0,73;0,31;0,31;0,66;0,08;2;513;513,1;1;PFN1 Profilin-1;;;
1;9,29E+06;1%;1;0,81;0,98;0,5;3;2,45E+07;3%;2;0,65;1,17;1,15;3;2,79E+07;3%;2;0,58;0,54;0,82;3;3,41E+07;3%;2;0,47;0,44;0,57;2;6,04E+07;1%;1;0,38;0,69;0,79;IPI00029693;IPI00029693|IPI00218781|IPI00914842|IPI00300890|IPI00300891|IPI00398766|IPI00927187|IPI00062784;0+67+13+851;0+67+13+254+16+581|0+67+13+254+16+576|0+67+13+254+16+559|0+67+13+254+16+556|0+67+13+254+16+551|0+67+13+254+16+205|0+67+13+22|0+67+13+19;3;3|3|3|3|3|5|12|13;2;35,05;35.05|35.05|35.05|35.05|35.05|35.05|17.74|17.74;0,55;0,15;0,74;0,32;0,8;0,25;9;514;514,1;1;NRP2 Isoform A22 of Neuropilin-2;;;
2;7,72E+06;11%;2;1,13;1,15;0,23;2;1,21E+07;7%;1;1,83;0,83;0,35;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00453476;IPI00453476|IPI00549725|IPI00218570|IPI00374975;0+222+18+14;0+90+10+122+18+14|0+90+10+122+18+14|0+90+10+153|0+90+10+154;11;11|11|3|3;2;35,05;35.05|35.05|16.22|16.22;1,48;0,67;0,99;0,37;0,29;0,3;4;515;515,1;1;- 29 kDa protein;;;
1;6,07E+07;0%;1;0,82;1,2;0,38;0;0,00E+00;0%;0;0;0;0;9;1,45E+09;0%;3;0,72;0,9;1,41;0;0,00E+00;0%;0;0;0;0;8;1,20E+09;0%;2;0,53;0,84;1,15;IPI00936051;IPI00936051|IPI00955964;0+1386+11+3356;0+1386+11+915+5+1879+10+547|0+464+10+156;0;0|1;3;34,95;34.95|10.29;0,64;0,26;0,89;0,17;1,23;0,34;17;516;516,1;1;DNHD1 Dynein heavy chain domain-containing protein 1;;;
8;1,20E+08;18%;2;1,03;1,69;0,62;4;3,35E+07;9%;1;0,78;2,08;3,16;4;8,62E+07;18%;2;0,51;0,73;1,08;2;1,56E+07;18%;2;0,34;0,43;0,53;2;9,90E+06;9%;1;0,34;0,67;0,91;IPI00002925;IPI00002925;0+51+11+54;0+51+11+42+10+2;18;18;2;34,72;34,72;0,74;0,3;1,35;0,67;1,24;1,05;20;517;517,1;1;CARTPT Cocaine- and amphetamine-regulated transcript protein;;;
4;1,89E+07;2%;2;0,79;0,74;0,79;1;4,76E+06;1%;1;0,79;1;1,02;4;4,73E+07;2%;2;1,03;1,14;0,75;4;6,41E+07;2%;2;0,62;0,32;0,33;4;4,57E+07;2%;2;0,65;0,44;0,76;IPI00925540;IPI00925540|IPI00292218|IPI00902670|IPI00718805|IPI00925898|IPI00953627|IPI00925822;0+710+10+5;0+320+10+380+10+5|0+306+10+380+10+5|0+700+10+5|0+674+10+5|0+180+10+5|0+281+10+276|0+254+10+9;2;2|2|1|1|5|1|3;2;34,56;34.56|34.56|19.59|19.59|19.59|14.97|14.97;0,77;0,2;0,68;0,33;0,68;0,3;17;518;518,1;1;MST1 macrophage stimulating 1 precursor;;;
5;1,65E+08;0%;2;1,76;1,64;0,88;3;2,11E+08;0%;1;0,69;1,48;1,03;4;5,59E+08;0%;1;0,91;1,12;1,23;6;9,31E+08;1%;2;0,33;0,39;0,17;3;3,27E+08;0%;1;0,47;0,65;0,79;IPI00333197;IPI00333197|IPI00005631|IPI00872239;0+53+6+1625;0+45+14+1385+12+228|0+1343+12+228|0+1343+12+228;1;1|0|0;3;34,54;34.54|8.08|8.08;0,85;1,12;1,02;0,79;0,76;0,41;21;519;519,1;1;GCC2 Isoform 2 of GRIP and coiled-coil domain-containing protein 2;;;
2;3,55E+08;0%;1;1,03;1,17;0,43;1;1,07E+08;0%;1;0,98;1,22;1,59;1;9,20E+07;0%;1;0,77;0,82;1,59;2;2,84E+07;0%;2;0,42;0,63;0,81;2;1,25E+09;0%;2;0,39;0,82;1,23;IPI00896516;IPI00896516|IPI00829833;0+1684+24+4546;0+500+4+1180+24+300+25+4041+4+176|0+500+4+1180+24+300+25+3903;0;0|0;4;34,43;34.43|28.01;0,72;0,29;0,95;0,22;1,04;0,46;7;520;520,1;1;MUC19 Isoform 1 of Mucin-19;;;
1;4,74E+06;1%;1;0;0;0;3;1,10E+07;3%;2;0,59;1,09;1,18;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;3;5,11E+07;3%;2;0,1;0,82;0,87;IPI00002211;IPI00002211|IPI00240598|IPI00966590|IPI00965850;0+393+20+634;0+36+12+345+20+634|0+36+12+345+20+617|0+36+12+111|0+36+12+66;3;3|3|7|10;2;34,34;34.34|34.34|11.44|11.44;0,26;0,24;0,91;0,15;0,97;0,15;3;521;521,1;1;SEMA6A Isoform 2 of Semaphorin-6A;;;
1;7,49E+05;0%;1;1,08;1,26;0,53;2;8,90E+06;0%;2;0,99;0,83;0,62;1;5,88E+07;0%;1;0,55;0,51;1,11;0;0,00E+00;0%;0;0;0;0;3;2,63E+08;0%;2;0,2;0,51;0,76;IPI00412748;IPI00412748|IPI00004472|IPI00397590|IPI00398808|IPI00398811|IPI00398809|IPI00152474|IPI00746929|IPI00387112|IPI00796716|IPI00397591;0+351+14+2515;0+233+4+114+14+194+8+2313|0+233+4+114+14+194+8+1815|0+233+4+114+14+194+8+1569|0+207+4+114+14+1958|0+207+4+114+14+1915|0+207+4+114+14+1885|0+159+4+114+14+1509|0+159+4+114+14+1499|0+159+4+114+14+1452|0+207+4+114+14+451|0+233+4+114+14+28;0;0|1|1|0|0|0|1|1|1|2|4;3;34,32;34.32|34.32|34.32|23.42|23.42|23.42|23.42|23.42|23.42|23.42|23.42;0,6;0,4;0,71;0,29;0,74;0,21;7;522;522,1;1;WNK1 hereditary sensory neuropathy, type II precursor;;;
0;0,00E+00;0%;0;0;0;0;2;1,12E+07;2%;2;1,04;0,97;0,74;1;1,91E+06;0%;1;1,55;0,61;1,24;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00815672;IPI00815672|IPI00604711|IPI00893719;0+352+15+1432;0+216+12+124+15+186+27+1219|0+216+12+124+15+177+27+1119|0+24+12+124+15+52;3;3|3|11;3;34,27;34.27|34.27|24.17;1,21;0,34;0,85;0,25;0,9;0,29;3;523;523,1;1;KIF1A Isoform 2 of Kinesin-like protein KIF1A;;;
3;1,89E+07;1%;2;0,7;0,71;0,39;4;1,33E+08;1%;2;0,96;1;0,98;4;2,79E+07;1%;3;0,63;0,77;0,72;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00640703;IPI00640703|IPI00747670|IPI00549861|IPI00872800;0+30+5+1169;0+30+5+736+10+359+4+60|0+30+5+736+10+359+4+60|0+235+10+359+4+37|0+370+10+250;1;1|1|2|1;3;34,25;34.25|34.25|20.75|12.81;0,77;0,28;0,84;0,23;0,73;0,28;11;524;524,1;1;XPO5 Exportin-5;;;
3;7,53E+07;2%;2;0,25;0,35;0;0;0,00E+00;0%;0;0;0;0;5;1,71E+08;2%;2;0,57;0,87;0,97;1;1,06E+06;0%;1;0,73;0,39;0,38;6;5,17E+07;2%;2;0,82;0,58;0,99;IPI00010213;IPI00010213;0+103+10+1024;0+29+20+54+10+460+14+550;3;3;3;34,18;34,18;0,66;0,41;0,57;0,37;0,75;0,44;11;525;525,1;1;AP4E1 AP-4 complex subunit epsilon-1;;;
0;0,00E+00;0%;0;0;0;0;2;7,46E+06;14%;2;0,68;0,63;0,95;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00947458;IPI00947458|IPI00828189|IPI00411680|IPI00922359;0+202+34+49;0+163+8+31+34+49|0+163+8+31+34+50|0+105+8+31+34+49|0+70+8+31+34+49;14;14|14|18|21;2;34,08;34.08|34.08|34.08|34.08;0,68;0;0,63;0;0,95;0;1;526;526,1;1;PCMT1 protein-L-isoaspartate(D-aspartate) O-methyltransferase;;;
4;5,78E+06;2%;1;0,65;0,51;0,2;2;2,25E+06;2%;1;0,76;1,29;1,09;4;3,49E+07;2%;1;0,97;1,01;1,13;3;8,17E+07;2%;1;0,79;0,61;0,47;8;1,16E+08;9%;3;0,58;0,74;0,99;IPI00878608;IPI00878608;0+314+9+0;0+292+31;9;9;3;33,78;33,78;0,73;0,28;0,79;0,3;0,78;0,4;19;527;527,1;1;FAM73B Isoform 2 of Protein FAM73B;;;
2;1,71E+07;2%;2;0,5;0,54;0,49;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;2;9,32E+07;1%;2;0,18;0,38;1,04;IPI00152881;IPI00152881|IPI00935334|IPI00446280;0+1488+23+485;0+1058+8+84+18+320+23+485|0+1057+8+84+18+320+23+485|0+569+8+84+18+130;2;2|2|3;3;33,77;33.77|33.77|21.41;0,28;0,19;0,44;0,14;0,86;0,26;3;528;528,1;1;SHROOM3 Isoform 1 of Protein Shroom3;;;
15;2,60E+09;7%;2;0,73;0,86;0,36;16;3,32E+09;7%;2;0,6;0,96;1,06;20;5,96E+09;7%;2;0,61;0,63;1,1;18;7,69E+09;7%;2;0,62;0,67;0,73;16;9,67E+09;7%;2;0,32;0,59;1,03;IPI00013299;IPI00013299;0+24+7+150;0+24+14+143;7;7;2;33,73;33,73;0,58;0,16;0,73;0,18;0,87;0,31;84;529;529,1;1;NBL1 Neuroblastoma, suppression of tumorigenicity 1 2 precursor;;;
1;2,01E+06;0%;1;0,96;1,42;0,27;0;0,00E+00;0%;0;0;0;0;1;3,12E+07;0%;1;0,55;0,6;1,11;1;1,85E+07;1%;1;0,52;0,58;0,33;0;0,00E+00;0%;0;0;0;0;IPI00941164;IPI00941164|IPI00847648;0+853+14+0;0+668+6+76+5+98+14|0+663+6+76+5+98+14;2;2|2;3;33,66;33.66|33.66;0,68;0,2;0,87;0,39;0,57;0,38;3;530;530,1;1;TAF4B 92 kDa protein;;;
3;7,58E+07;0%;1;1,14;1,18;0,34;4;1,30E+08;1%;2;0,95;1,17;1,62;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;2;1,94E+08;2%;2;0,73;0,79;1,33;IPI00019380;IPI00019380;0+450+5+335;0+37+4+288+13+108+5+335;2;2;3;33,53;33,53;0,97;0,23;1,09;0,21;1,13;0,69;9;531;531,1;1;NCBP1 Nuclear cap-binding protein subunit 1;;;
3;7,96E+07;8%;2;0,56;0,87;0,63;10;5,23E+08;8%;2;5,98;0,94;0,81;3;1,32E+08;8%;2;0,72;0,79;1,07;6;8,05E+08;8%;2;0,46;0,45;1,22;3;4,52E+08;3%;1;0,65;0,45;1,26;IPI00022394;IPI00022394;0+117+9+119;0+117+22+106;8;8;2;33,52;33,52;2,73;2,88;0,74;0,29;0,97;0,29;25;532;532,1;1;C1QC Complement C1q subcomponent subunit C;;;
0;0,00E+00;0%;0;0;0;0;4;2,83E+08;1%;3;0,84;1,37;1,54;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00030774;IPI00030774|IPI00396203|IPI00386607|IPI00816088;0+265+13+970;0+116+4+145+13+408+5+557|0+116+4+145+13+408+5+501|0+99+4+145+13+408+5+83|0+116+4+145+13+408+5+59;1;1|1|2|2;3;33,44;33.44|33.44|33.44|33.44;0,84;0,25;1,37;0,42;1,54;0,3;4;533;533,1;1;TBCD Isoform 4 of Tubulin-specific chaperone D;;;
2;5,76E+07;1%;2;1,04;1;0,73;2;1,38E+08;1%;2;0,84;0,84;1,08;1;1,37E+06;0%;1;0,75;1,05;1,28;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00815707;IPI00815707|IPI00217442|IPI00797397|IPI00784020|IPI00783186|IPI00966022|IPI00798060|IPI00909867|IPI00654628|IPI00790296;0+1151+21+1462;0+1151+21+405+6+154+4+893|0+1151+21+405+6+154+4+876|0+1151+21+405+6+154+4+801|0+1179+21+1403|0+1178+21+1403|0+1066+21+1403|0+1170+21+374|0+1000+21+279|0+362+21+303|0+304+21+283;1;1|1|1|0|0|0|1|1|3|3;3;33,4;33.4|33.4|33.4|15.4|15.4|15.4|15.4|15.4|15.4|15.4;0,9;0,13;0,95;0,17;0,98;0,29;5;534;534,1;1;ANKHD1;ANKHD1-EIF4EBP3 Isoform 4 of Ankyrin repeat and KH domain-containing protein 1;;
2;9,57E+07;0%;2;0,67;0,93;0,35;0;0,00E+00;0%;0;0;0;0;2;3,98E+08;0%;2;0,54;0,62;1,13;0;0,00E+00;0%;0;0;0;0;2;5,29E+08;0%;1;0,23;0,78;1,1;IPI00020153;IPI00020153;0+3643+9+274;0+393+26+1960+5+1259+9+274;1;1;3;33,35;33,35;0,44;0,26;0,75;0,19;0,96;0,4;5;535;535,1;1;BSN Protein bassoon;;;
2;1,27E+07;9%;2;0,88;0,95;0,57;2;3,73E+06;9%;2;0,88;0;0,76;3;1,87E+07;9%;2;0,27;0,67;0,58;0;0,00E+00;0%;0;0;0;0;0;0,00E+00;0%;0;0;0;0;IPI00329801;IPI00329801|IPI00872379|IPI00964913|IPI00967416|IPI00964635;0+245+15+60;0+227+15+3+15+60|0+226+15+3+15+60|0+167+15+3+15+60|0+127+15+3+15+60|0+227+15+34;9;9|9|11|13|5;2;33,34;33.34|33.34|33.34|33.34|16.51;0,68;0,29;0,54;0,4;0,64;0,09;3;536;536,1;1;ANXA5 Annexin A5;;;
7;4,23E+08;0%;2;1,16;1,16;1,18;6;4,68E+08;0%;2;0,8;0,99;0,86;2;5,82E+06;0%;1;1,19;1,11;0,81;9;2,13E+09;0%;2;0,59;0,61;0,58;7;4,38E+08;1%;3;0,92;0,7;1,09;IPI00396634;IPI00396634|IPI00935155;0+1396+10+400;0+419+16+926+4+31+10+400|0+419+16+926+4+31+10+189;1;1|1;3;33,34;33.34|33.34;0,88;0,34;0,86;0,27;0,9;0,37;31;537;537,1;1;KIAA1671 Isoform 1 of Uncharacterized protein KIAA1671;;;
