Supplementary Table 3. A summary of the protein quantitation in AD and control CSF samples;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sathe et al., 2018. Quantitative proteomic profiling of cerebrospinal fluid to identify candidate biomarkers for Alzheimer’s disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Significant;LOG(Pvalue);Log(Fold change);Gene Symbol;Description;emPAI;Score Sequest HT;# Peptides Sequest HT;Sum PEP Score;Coverage;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;MW [kDa];calc. pI;Symbol color;Symbol type;Symbol size;Show label;Abundances (Grouped): 126;Abundances (Grouped): 127N;Abundances (Grouped): 127C;Abundances (Grouped): 128N;Abundances (Grouped): 128C;Abundances (Grouped): 129N;Abundances (Grouped): 129C;Abundances (Grouped): 130N;Abundances (Grouped): 130C;Abundances (Grouped): 131
;0,79705918;-0,238683347;NTRK2;BDNF/NT-3 growth factors receptor isoform X3 [Homo sapiens];0,995;158,38;7;40,619;10,7398568;7;35;7;1;93,8;6,57;Color2 [DarkGray];1;4;;0,3025412;0,1210891;0,02752016;-0,04927459;-0,2612303;-0,03345424;-0,5490077;-0,4100944;0,1268889;-0,1871038
;1,315761045;-0,370935552;CBLN1;cerebellin-1 precursor [Homo sapiens];7,111;87,32;7;38,546;46,63212435;7;22;6;1;21,1;7,28;Color2 [DarkGray];1;4;;0,01179234;0,4232505;0,1900068;0,1829471;-0,08018793;-0,03404155;-0,4790625;-0,6141824;-0,04788149;0,04829894
;1,710440611;-0,542624669;PTPRR;receptor-type tyrosine-protein phosphatase R isoform 1 precursor [Homo sapiens];0,711;48,53;7;30,479;10,50228311;7;14;7;1;73,8;8,34;Color2 [DarkGray];1;4;;0,4813202;0,3489369;0,2123505;0,08315402;-0,09233078;0,1010815;-0,5894141;-0,42236;-0,04844234;-0,7205576
;2,058305798;-0,336916738;ATP6AP1;V-type proton ATPase subunit S1 precursor [Homo sapiens];4,275;171,11;7;60,817;20,85106383;7;40;7;1;52;6,14;Color2 [DarkGray];1;4;;0,1509851;0,2303553;0,1077763;0,1324352;-0,1119443;-0,1004795;-0,2775588;-0,04175936;-0,2600289;-0,4951495
;0,03226296;-0,019094257;ANGPTL1;angiopoietin-related protein 1 isoform X1 [Homo sapiens];1,015;35,12;7;24,383;13,64562118;7;9;7;1;56,7;8,21;Color2 [DarkGray];1;4;;-0,01770425;-0,1166255;-0,1057055;0,108865;-0,00986097;0,08093493;0,3878953;0,3366211;-0,601921;-0,4400328
;1,493282097;-0,661959198;LCAT;phosphatidylcholine-sterol acyltransferase precursor [Homo sapiens];7,377;116,69;7;48,428;16,59090909;7;30;7;1;49,5;6,11;Color2 [DarkGray];1;4;;0,1042074;0,4322866;0,318566;0,6844375;-0,2025225;0,09156984;-0,06203879;-0,2378387;-0,9461646;-0,8183488
;0,358518235;-0,0953817;THSD7A;thrombospondin type-1 domain-containing protein 7A precursor [Homo sapiens];0,311;22,28;7;20,714;3,922751961;7;8;7;1;185,2;7,43;Color2 [DarkGray];1;4;;-0,0235204;-0,05345286;-0,01146786;-0,04040144;0,08270115;0,005413647;0,1509747;-0,000151353;-0,5167224;-0,1625645
;0,5057258;0,09793697;IGF2;insulin-like growth factor II isoform 2 [Homo sapiens];6,943;96,4;7;25,537;30,50847458;7;28;7;1;26,3;9,13;Color2 [DarkGray];1;4;;-0,3442294;0,1745829;-0,05353095;0,03324369;-0,07144539;-0,03762986;0,1354181;0,09087805;-0,01215191;0,05179127
;0,299981347;0,30666932;CFP;properdin precursor [Homo sapiens];1,448;39,69;7;26,718;20,68230277;7;9;7;1;51,2;7,9;Color2 [DarkGray];1;4;;-0,7261748;0,08899668;0,01649683;-0,7681353;0,7953999;-0,4088959;1,273384;-0,4919157;0,07299727;0,4943606
;0,548790104;0,21042511;DPP4;dipeptidyl peptidase 4 [Homo sapiens];0,512;29,83;7;24,16;9,791122715;7;9;7;1;88,2;6,04;Color2 [DarkGray];1;4;;-0,1319017;-0,2303652;0,03410762;-0,2640887;0,2980624;-0,189536;0,5212684;-0,1950386;0,1866132;0,4346331
;1,171337789;0,436805128;CSF1R;macrophage colony-stimulating factor 1 receptor precursor [Homo sapiens];1,555;98,53;7;46,693;10,90534979;7;31;7;1;107,9;6,37;Color2 [DarkGray];1;4;;-0,2036738;-0,5337413;0,1934079;-0,08382176;-0,3850411;0,1795213;-0,2189107;0,4278807;0,7409145;0,04174988
;0,814266812;0,510090471;LCN2;neutrophil gelatinase-associated lipocalin precursor [Homo sapiens];4,995;46,57;7;23,137;43,93939394;7;13;7;1;22,6;8,91;Color2 [DarkGray];1;4;;-0,5717363;-0,6871145;0,09672239;-0,5700816;0,6316309;-0,189656;0,01639736;0,1295038;0,5833252;0,9103028
;0,026584363;0,022216367;SEMA3E;semaphorin-3E isoform 1 precursor [Homo sapiens];0,496;30,57;7;26,619;10,70967742;7;8;7;1;89,2;7,47;Color2 [DarkGray];1;4;;0,433075;0,9189879;-0,4133582;-0,183329;-0,1772324;0,06897208;-0,03878561;-0,1968304;0,1507582;0,7051109
;0,72579758;-0,181150495;ADAM15;disintegrin and metalloproteinase domain-containing protein 15 isoform 6 preproprotein [Homo sapiens];0,682;42,29;7;28,421;11,35573581;7;11;7;1;92,9;6,73;Color2 [DarkGray];1;4;;0,07699349;0,04514956;-0,326172;0,1042959;0,3088881;-0,0849417;-0,1947857;0,05542014;-0,3814236;-0,09086648
;0,033860959;-0,014206235;MANSC1;MANSC domain-containing protein 1 precursor [Homo sapiens];2,981;71,33;7;37,929;22,73781903;7;19;7;1;46,8;6,54;Color2 [DarkGray];1;4;;0,03036657;-0,0791329;0,05561194;-0,035733;-0,1953008;-0,4287666;0,07188326;0,3234152;-0,327797;0,06604582
;0,904542429;0,297143005;CLIC1;chloride intracellular channel protein 1 [Homo sapiens];2,162;36,36;7;27,457;39,41908714;7;9;7;1;26,9;5,17;Color2 [DarkGray];1;4;;-0,2497785;-0,0545266;-0,1799175;-0,1030472;0,2020346;0,07645159;0,1481491;0,5769267;0,5478482;-0,2488958
;0,768387479;-0,234563044;ABCA2;ATP-binding cassette sub-family A member 2 isoform b [Homo sapiens];0,209;35,15;7;23,104;2,798053528;7;11;7;1;272,8;6,86;Color2 [DarkGray];1;4;;-0,08576307;-0,04290602;0,04691749;0,09091665;-0,2179003;0,0686425;-0,2436044;-0,02281014;-0,4449883;-0,7387902
;0,208009104;0,077638621;SEMA6B;semaphorin-6B isoform X1 [Homo sapiens];0,859;36,54;7;27,151;10,96196868;7;9;7;1;95,9;8,53;Color2 [DarkGray];1;4;;0,19328;0,4039595;-0,1694905;-0,08297353;-0,2543891;-0,03697818;0,1185424;0,09896135;-0,1046686;0,4027226
;1,077595359;0,172185663;SIL1;nucleotide exchange factor SIL1 isoform X1 [Homo sapiens];1,336;44,03;7;29,68;17,62208068;7;11;7;1;53,2;5,25;Color2 [DarkGray];1;4;;-0,09846161;-0,1139598;-0,09137411;0,001886448;-0,1380785;0,1006766;0,09883656;0,1179897;0,3132819;-0,2098441
;0,432243848;0,193010249;B3GNT9;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 precursor [Homo sapiens];1,336;37,21;7;22,473;17,91044776;7;13;7;1;43,7;9,17;Color2 [DarkGray];1;4;;-0,1778311;0,04625991;-0,3260947;0,09050288;-0,0116987;0,08996748;0,7436671;0,2386641;-0,3794344;-0,1066748
;0,07201359;-0,035694256;AP1B1;AP-1 complex subunit beta-1 isoform a [Homo sapiens];0,679;60,59;7;41,872;7,165437302;7;15;3;1;104,5;5,06;Color2 [DarkGray];1;4;;0,3411262;-0,05268866;-0,04635086;0,0438123;-0,2283386;-0,2531588;0,2961428;0,2680182;-0,4939597;0,06204663
;1,641376174;0,621782376;NPTN;neuroplastin isoform b precursor [Homo sapiens];2,384;48,02;7;33,312;19,84924623;7;13;7;1;44,4;7,99;Color2 [DarkGray];1;4;;0,3010645;-0,1920066;-0,1390085;-0,3388284;-0,5310198;-0,000164425;0,5895913;0,8498744;0,06299508;0,7068167
;0,659075433;-0,190010572;DGCR2;integral membrane protein DGCR2/IDD isoform 1 precursor [Homo sapiens];1,738;39,81;7;25,054;13,09090909;7;11;7;1;60,8;5,3;Color2 [DarkGray];1;4;;0,5208572;-0,04313964;0,1647845;0,01021239;-0,07330089;-0,2687266;0,06728417;-0,09920485;0,1954107;-0,2654026
;2,024873615;-0,666362288;ST8SIA5;alpha-2,8-sialyltransferase 8E isoform 1 [Homo sapiens];1,336;37,96;7;24,131;18,44660194;7;10;7;1;47,7;8,78;Color2 [DarkGray];1;4;;0,3274259;0,6765018;0,1293679;0,4847921;0,04252207;0,2347182;-0,6374083;-0,6233743;-0,3701788;-0,2749586
;0,33055475;0,121265982;SKP1;S-phase kinase-associated protein 1 isoform b [Homo sapiens];6,743;58,53;7;30,171;38,03680982;7;15;7;1;18,6;4,54;Color2 [DarkGray];1;4;;-0,01111339;-0,305643;-0,09664566;0,08227511;0,06857674;-0,316779;0,3272126;0,3101491;-0,2372552;0,2604523
;0,529715422;0,748222681;ERAP2;endoplasmic reticulum aminopeptidase 2 [Homo sapiens];0,42;25,02;7;19,622;6,25;7;8;7;1;110,4;6,71;Color2 [DarkGray];1;4;;-1,979878;-2,04214;-1,377339;0,01937846;1,023935;0,1005351;0,2040121;-1,246153;0,3943023;-0,06762654
;0,375693172;-0,15784122;NLGN3;neuroligin-3 isoform 1 precursor [Homo sapiens];1,683;54,61;7;40,129;10,37735849;7;15;5;1;93,8;6,39;Color2 [DarkGray];1;4;;0,3137955;0,5293387;-0,08669429;0,09048431;-0,3514887;-0,1262226;-0,2177471;-0,3261236;0,1700909;0,2062317
;0,939273942;-0,191818585;ST13;hsc70-interacting protein isoform 1 [Homo sapiens];3,125;31,63;7;27,353;19,51219512;7;11;7;1;41,3;5,27;Color2 [DarkGray];1;4;;0,01098047;-0,19225;0,02460522;0,3689927;0,2213471;-0,03047497;-0,2371034;0,04263595;-0,1753608;-0,1251141
;0,111511106;-0,031377418;PRRT3;proline-rich transmembrane protein 3 precursor [Homo sapiens];1,471;135,12;7;45,78;10,90723751;7;30;7;1;102,1;7,78;Color2 [DarkGray];1;4;;0,2937586;0,06135784;0,1514265;-0,1594082;-0,2092784;0,08575998;0,01252071;0,09802148;-0,1502255;-0,06510741
;1,490292112;-0,209435505;XYLT2;xylosyltransferase 2 [Homo sapiens];0,817;30,53;7;20,319;9,479768786;7;9;7;1;96,7;8,22;Color2 [DarkGray];1;4;;0,0601553;0,2601983;-0,007530272;0,1513364;0,06501012;0,01558928;-0,3587961;-0,1037557;-0,04349055;-0,02755469
;1,567498415;0,728444953;PIGR;polymeric immunoglobulin receptor precursor [Homo sapiens];0,528;41,6;7;24,82;11,2565445;7;13;7;1;83,2;5,74;Color2 [DarkGray];1;4;;-0,2507969;-0,4483714;-0,9896085;0,2569694;-0,2881284;0,2333155;0,1389472;1,059044;0,04773817;0,4432441
;1,804418478;-0,327678528;TPM3;tropomyosin alpha-3 chain isoform X10 [Homo sapiens];1,929;39,72;7;26,109;29,52755906;7;11;3;1;29,3;4,72;Color2 [DarkGray];1;4;;0,3573674;0,246237;0,1744457;-0,04603112;0,1451507;0,1386469;-0,295047;-0,2487972;-0,06339737;-0,2926283
;0,052326648;-0,018364381;PRKAR1B;cAMP-dependent protein kinase type I-beta regulatory subunit [Homo sapiens];1,581;43,45;7;27,624;22,57217848;7;11;5;1;43;5,71;Color2 [DarkGray];1;4;;0,208425;-0,05516464;-0,0418647;0,2158874;-0,2409387;0,09364387;-0,245412;0,2442769;-0,1623981;0,06441189
;0,230741831;-0,555532294;HBB;hemoglobin subunit beta [Homo sapiens];4,337;45,17;7;31,134;59,86394558;7;16;7;1;16;7,28;Color2 [DarkGray];1;4;;-1,477023;0,9079084;-1,036914;3,920128;0,557853;0,8240999;0,03667184;-0,7181019;0,1473;-0,1956789
;0,025698737;-0,009086919;STMN1;stathmin isoform b [Homo sapiens];9;56,08;7;22,708;31,03448276;7;16;3;1;19,8;7,02;Color2 [DarkGray];1;4;;0,3361728;0,03867774;-0,05135954;0,01724952;-0,1635638;0,3095647;-0,06876951;0,1629108;-0,130115;-0,141849
;0,79557034;0,272689702;SMPDL3A;acid sphingomyelinase-like phosphodiesterase 3a isoform a precursor [Homo sapiens];1,336;32,51;7;16,103;12,80353201;7;11;7;1;51,2;6,33;Color2 [DarkGray];1;4;;-0,6056271;-0,01480186;-0,3464422;-0,1876999;0,3478607;-0,02187899;0,07184645;-0,05545423;0,3158196;0,2464054
;2,674575789;0,410471633;CDH22;cadherin-22 precursor [Homo sapiens];1,031;42,97;7;35,141;12,56038647;7;10;7;1;89;4,81;Color2 [DarkGray];1;4;;-0,07804187;-0,3133884;-0,03400264;-0,1715323;-0,1374853;-0,04649338;0,3767138;0,3616251;0,3224467;0,3036154
;1,085849354;0,260399609;FABP3;fatty acid-binding protein, heart [Homo sapiens];5,31;72,15;7;27,791;53,38345865;7;22;7;1;14,8;6,8;Color2 [DarkGray];1;4;;0,09032099;-0,1447713;-0,3091579;0,05231414;-0,3872783;0,2642683;-0,04536606;0,3591998;-0,1196513;0,144975
;1,546329514;0,396274237;ITM2B;integral membrane protein 2B [Homo sapiens];3,642;60,69;7;27,317;31,95488722;7;18;7;1;30,3;5,14;Color2 [DarkGray];1;4;;-0,1358816;0,0670248;-0,466318;-0,1804144;-0,4110609;0,3201581;-0,2086021;0,4292242;0,2557881;0,05815279
;0,93151958;-0,511596057;FMOD;fibromodulin precursor [Homo sapiens];5,579;76,02;7;32,219;23,67021277;7;20;7;1;43,2;6,04;Color2 [DarkGray];1;4;;0,4081638;-0,05951882;0,293339;0,3240961;-0,1526901;-0,04701789;0,1384754;-0,03998189;-0,4412319;-1,354834
;0,229227733;-0,060291454;VSTM2B;V-set and transmembrane domain-containing protein 2B isoform X1 [Homo sapiens];5,579;121,52;7;42,575;29,12280702;7;30;7;1;30,3;8,07;Color2 [DarkGray];1;4;;0,2972936;-0,04820075;0,03753355;-0,04543989;-0,1188829;-0,0553856;0,1372202;0,1301944;-0,1050385;-0,2861442
;0,139120973;0,038120889;COL16A1;collagen alpha-1(XVI) chain precursor [Homo sapiens];0,348;47,15;7;30,804;5,42394015;7;12;7;1;157,7;7,84;Color2 [DarkGray];1;4;;-0,04182593;0,24811;-0,06316494;0,1498108;-0,007248329;0,307495;0,03910078;0,280869;-0,02131127;-0,1298675
;1,65257072;0,487995602;TMEM189-UBE2V1;TMEM189-UBE2V1 fusion protein [Homo sapiens];1,783;44,98;7;22,705;20,27027027;7;14;2;1;42,2;6,61;Color2 [DarkGray];1;4;;-0,03997384;-0,3628618;-0,3028833;-0,1077237;-0,2792983;0,01818659;0,3989585;0,6592004;-0,2198384;0,49073
;2,334408788;-0,525456965;HEPH;hephaestin isoform a [Homo sapiens];0,409;35,23;7;28,066;7,260726073;7;9;7;1;136,6;6,28;Color2 [DarkGray];1;4;;0,4162132;0,1984714;0,09247828;0,04419431;0,1029919;0,04991899;-0,6411826;-0,3438502;-0,3102357;-0,5275862
;1,625836464;0,200145013;GNPTG;N-acetylglucosamine-1-phosphotransferase subunit gamma precursor [Homo sapiens];4,995;99,17;7;38,298;26,8852459;7;22;7;1;34;6,95;Color2 [DarkGray];1;4;;-0,2213934;-0,02859353;-0,08593455;0,101265;-0,05717188;0,102567;0,2015353;0,3015904;0,08713907;0,0160649
;0,183101864;-0,085856795;ENPP4;bis(5'-adenosyl)-triphosphatase ENPP4 precursor [Homo sapiens];2,162;35,66;7;24,611;13,68653422;7;12;7;1;51,6;6,15;Color2 [DarkGray];1;4;;0,1099437;0,4242754;-0,3314952;-0,02386105;-0,2815803;0,09422962;-0,2052334;-0,5426435;0,1414726;-0,01982686
;0,158148412;-0,082108079;BOC;brother of CDO isoform X1 [Homo sapiens];0,645;31,92;7;28,571;8,071748879;7;9;7;1;121,1;7,01;Color2 [DarkGray];1;4;;-0,3248375;-0,2106824;0,01330904;0,210272;0,3811791;-0,4606612;0,3790265;-0,3693852;0,07620511;0,03351458
;0,700129531;-0,246740691;;;6,943;125,3;7;47,269;48,32535885;7;24;7;1;23,2;5,64;Color2 [DarkGray];1;4;;0,2039101;-0,3586001;0,1000362;0,3199452;-0,04391503;0,05926441;-0,4199844;-0,06409994;0,01939577;-0,6069029
;0,414004831;0,321193296;CPM;carboxypeptidase M precursor [Homo sapiens];1,976;40,24;7;29,027;18,05869074;7;13;7;1;50,5;7,36;Color2 [DarkGray];1;4;;0,1128553;0,2767275;-0,4842344;-0,2171326;-0,5811608;-0,4270876;0,9173254;0,009919659;-0,5843461;0,7972101
;1,127632129;-0,206710805;EFNB1;ephrin-B1 precursor [Homo sapiens];1,783;51,79;7;25,799;15,89595376;7;16;6;1;38;8,94;Color2 [DarkGray];1;4;;-0,09040269;-0,03813703;0,1923499;0,1838466;0,3447417;0,05147864;-0,1088536;-0,2116799;0,0538109;-0,2259116
;0,067450196;0,025274134;LAMP1;lysosome-associated membrane glycoprotein 1 precursor [Homo sapiens];1,448;50,06;7;25,792;15,34772182;7;11;7;1;44,9;8,75;Color2 [DarkGray];1;4;;0,04524174;0,2342462;-0,3018008;-0,04105175;-0,2764755;-0,04835413;-0,1786561;-0,2926685;0,1965819;0,1096274
;1,545811923;0,895676243;MANEAL;glycoprotein endo-alpha-1,2-mannosidase-like protein isoform 3 precursor [Homo sapiens];2,162;44,22;7;25,774;16,84901532;7;12;7;1;51,3;6,98;Color2 [DarkGray];1;4;;-0,1032962;0,02290096;-0,2503048;-0,07708891;-0,1774432;-0,07583872;1,50606;1,095396;0,03804939;1,329482
;0,349086853;0,160071866;MOXD1;DBH-like monooxygenase protein 1 precursor [Homo sapiens];0,905;33,27;7;20,11;11,908646;7;10;7;1;69,6;6,43;Color2 [DarkGray];1;4;;-0,4341955;0,452916;-0,4139495;0,108341;-0,2817779;-0,02809226;0,2697354;-0,2966084;0,2441876;0,04247114
;0,893779064;0,298705199;OLFM2;noelin-2 isoform 1 [Homo sapiens];1,783;28,37;7;24,08;14,22594142;7;10;7;1;53,8;8,35;Color2 [DarkGray];1;4;;-0,3388056;0,1151853;-0,3840398;0,03534952;-0,3646543;-0,1327832;0,4711905;0,1574988;-0,26928;0,329935
;2,446081145;-0,294603488;EPHB3;ephrin type-B receptor 3 precursor [Homo sapiens];0,506;41,24;7;26,596;7,815631263;7;13;6;1;110,3;6,32;Color2 [DarkGray];1;4;;0,2141389;0,1883498;0,1402719;0,06206755;-0,01151267;-0,0213563;-0,3420878;-0,1162399;-0,1165065;-0,2835115
;1,503813913;0,692788555;HLA-B;major histocompatibility complex, class I, B isoform X5 [Homo sapiens];1,512;61,72;7;26,912;22,96296296;7;17;1;1;44,5;6,16;Color2 [DarkGray];1;4;;-0,4065807;-0,2551995;0,03352819;-0,3795939;0,1486856;-0,1596329;0,9866264;0,05105639;0,9826835;0,744049
;0,59001515;0,105924705;PVRL1;nectin-1 isoform 1 precursor [Homo sapiens];2,162;116,01;7;49,325;21,27659574;7;21;7;1;57,1;6,1;Color2 [DarkGray];1;4;;0,05176903;-0,01252641;0,002335181;-0,1156852;-0,35208;-0,1494972;0,004749043;0,02156544;0,1276558;0,09896311
;1,685697685;-0,322792808;COL5A2;collagen alpha-2(V) chain preproprotein [Homo sapiens];0,327;34,32;7;22,794;5,203468979;7;10;7;1;144,8;6,46;Color2 [DarkGray];1;4;;0,5602418;0,3678754;0,2679578;0,1448639;0,008627972;-0,03996624;0,131684;-0,2488089;-0,08037321;-0,02693277
;1,17643601;-0,290655201;NPC2;epididymal secretory protein E1 precursor [Homo sapiens];30,623;276,04;7;68,887;54,96688742;7;68;7;1;16,6;7,65;Color2 [DarkGray];1;4;;-0,02947145;0,5023162;0,02147954;0,1996984;0,0358086;0,09348414;-0,2827552;-0,2088135;0,06795488;-0,393315
;2,776962306;-0,408724277;SYT2;synaptotagmin-2 isoform X2 [Homo sapiens];1,336;40,16;6;20,225;11,37440758;6;13;4;1;47,2;7,99;Color2 [DarkGray];1;4;;0,1631257;0,06811927;0,2385779;0,3348156;0,09926786;0,05330182;-0,3410823;-0,2674527;-0,2335163;-0,3509657
;0;NaN;KRT34;keratin, type I cuticular Ha4 [Homo sapiens];0,823;23,4;6;20,62;15,82568807;6;7;2;1;49,4;5,06;Color2 [DarkGray];1;4;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
;0,382451969;0,092062578;CDH20;cadherin-20 isoform X1 [Homo sapiens];1,089;46,74;6;24,118;8,489388265;6;13;5;1;88,9;4,7;Color2 [DarkGray];1;4;;-0,08592998;0,04757677;-0,000663576;-0,07625751;-0,08863416;-0,1148689;0,1118915;-0,04984505;0,4294098;-0,1201829
;0,729285908;-0,456468536;EEF1A1;elongation factor 1-alpha 1 [Homo sapiens];1,371;34,38;6;20,144;11,68831169;6;10;6;1;50,1;9,01;Color2 [DarkGray];1;4;;-0,2781371;-0,3390876;1,194342;0,2811286;0,8259664;-0,08009622;-0,2794487;0,009419287;0,1403881;-0,3883924
;0,196270452;0,072974286;CD93;complement component C1q receptor precursor [Homo sapiens];0,931;64,87;6;22,928;11,50306748;6;21;5;1;68,5;5,44;Color2 [DarkGray];1;4;;-0,0910579;-0,02820809;-0,2450136;-0,1855115;0,5005387;-0,1257442;0,1158544;-0,01388706;0,06837927;0,2710166
;0,270772429;-0,06652807;VWC2;brorin precursor [Homo sapiens];2,981;43,56;6;24,473;25,23076923;6;11;6;1;35,3;5,38;Color2 [DarkGray];1;4;;0,02768044;-0,02580837;0,01564253;0,1065197;-0,05832593;-0,0346498;-0,002437935;0,1212693;-0,4333793;0,08226568
;0,135239139;0,021429043;PLAUR;urokinase plasminogen activator surface receptor isoform 1 precursor [Homo sapiens];1,371;38,8;6;30,181;30,44776119;6;8;6;1;37;6,65;Color2 [DarkGray];1;4;;-0,02379601;0,03479124;-0,06024845;0,1532087;-0,027806;0,2096711;-0,0353074;0,06742222;-0,03155178;-0,02693943
;0,71353073;-0,133823291;STMN3;stathmin-3 isoform 1 [Homo sapiens];3,642;34,1;6;19,462;34,44444444;6;9;5;1;21;7,49;Color2 [DarkGray];1;4;;0,1655703;0,01711747;0,02585143;-0,02668994;-0,1546829;-0,03174727;-0,1029073;0,0676505;-0,4009388;-0,1740073
;1,364949833;0,280855227;RARRES2;retinoic acid receptor responder protein 2 precursor [Homo sapiens];9;101,27;6;25,624;37,42331288;6;27;6;1;18,6;9,09;Color2 [DarkGray];1;4;;-0,1077892;-0,1975275;-0,1870204;-0,02469769;0,1093497;0,3724101;0,4079455;0,2980573;-0,1124187;0,03059693
;0,478637344;-0,117700943;MOG;myelin-oligodendrocyte glycoprotein isoform X2 [Homo sapiens];9;93,48;6;27,503;41,7218543;6;22;6;1;16,9;7,31;Color2 [DarkGray];1;4;;0,07684821;-0,05223395;0,04140582;0,2546599;0,01815721;0,1176688;0,01602238;0,1052378;-0,05011765;-0,4384789
;0,08323472;-0,023873608;LPL;lipoprotein lipase precursor [Homo sapiens];1,154;33,74;6;20,892;13,05263158;6;9;5;1;53,1;8,15;Color2 [DarkGray];1;4;;-0,2232666;0,005400796;0,08088046;0,1811747;-0,2618075;-0,04253374;-0,108247;-0,0934635;0,1376031;-0,2303451
;0,239558554;0,129834729;SVEP1;sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor [Homo sapiens];0,114;25,12;6;16,809;1,764211705;6;8;6;1;389,9;5,5;Color2 [DarkGray];1;4;;-0,6642505;-0,3633417;0,04114894;0,02641622;0,2074578;0,06774896;-0,5793192;0,3850331;0,02397206;-0,000830485
;0,543955011;-0,127572551;VWA1;von Willebrand factor A domain-containing protein 1 isoform 1 precursor [Homo sapiens];1,069;40,52;6;22,518;16,17977528;6;11;6;1;46,8;7,68;Color2 [DarkGray];1;4;;-0,2767231;0,1292424;0,1982701;0,213532;0,1048208;0,04825204;-0,01853193;0,08715947;-0,2842349;-0,1013652
;0,675775568;1,160229055;TUBB4A;tubulin beta-4A chain isoform 1 [Homo sapiens];1,637;199,53;6;34,4;18,78787879;6;45;2;1;54,4;5,02;Color2 [DarkGray];1;4;;-0,2957579;0,03966626;-0,566397;-0,5836462;0,8497587;-0,7139999;0,1486393;-0,1630368;2,630924;3,342242
;0,521510567;-0,184975549;FAM234B;uncharacterized protein KIAA1467 [Homo sapiens];0,931;22,4;6;13,314;9,003215434;6;8;6;1;67;5,02;Color2 [DarkGray];1;4;;0,4608459;0,5137182;-0,02531628;-0,03773658;-0,08246202;0,02200081;-0,08754251;-0,1640685;-0,2244425;0,3582242
;0,378727488;0,222833684;LILRB4;leukocyte immunoglobulin-like receptor subfamily B member 4 isoform X1 [Homo sapiens];1,512;42,69;6;19,221;10,40816327;6;14;6;1;53,7;6,68;Color2 [DarkGray];1;4;;-0,07973129;-0,4038175;-0,01822283;0,03441429;-0,4088019;0,4347354;0,3353052;0,4131486;-0,8404252;-0,1047548
;0,158838967;-0,319813364;CA1;carbonic anhydrase 1 isoform a [Homo sapiens];2,728;42,16;6;28,328;21,07279693;6;12;6;1;28,9;7,12;Color2 [DarkGray];1;4;;-1,774745;0,2500043;-1,416206;2,341459;0,4205462;0,007596218;0,08411253;-1,011509;-0,9888716;0,1306639
;0,662463911;0,149572418;FUT11;alpha-(1,3)-fucosyltransferase 11 isoform 1 precursor [Homo sapiens];1,336;49,24;6;26,658;15,04065041;6;12;6;1;55,8;5,94;Color2 [DarkGray];1;4;;-0,2209686;0,02622337;-0,4498068;0,07727325;-0,05839318;0,07161375;0,05989695;-0,03661245;-0,1586772;0,1859691
;1,584117546;-0,793460894;GRN;granulins isoform X1 [Homo sapiens];0,931;48,84;6;23,665;13,49072513;6;11;6;1;63,5;6,83;Color2 [DarkGray];1;4;;0,3114897;0,09660144;0,2038087;0,2877555;0,04470128;0,3680838;-1,115198;-0,8213184;-0,3043345;-1,150181
;0,537445842;-0,208350405;PTPRU;receptor-type tyrosine-protein phosphatase U isoform 3 precursor [Homo sapiens];0,298;36,79;6;24,624;5,601659751;6;9;6;1;162,3;6,92;Color2 [DarkGray];1;4;;0,2399102;0,3320767;0,2077281;0,2775774;-0,5559171;-0,1523705;-0,1651852;-0,2646115;0,2036148;-0,1618243
;0,79252855;-0,222129676;MSANTD3-TMEFF1;MSANTD3-TMEFF1 fusion protein [Homo sapiens];1,254;26,48;6;15;10,35242291;6;9;6;1;51;7,42;Color2 [DarkGray];1;4;;0,3077174;-0,04419749;0,05748511;0,04195637;-0,2437771;0,1326886;-0,2903243;-0,09818047;-0,1803435;-0,5553044
;0,278713862;0,377219045;S100A9;protein S100-A9 [Homo sapiens];12,895;39,25;6;28,383;51,75438596;6;11;6;1;13,2;6,13;Color2 [DarkGray];1;4;;-0,3005667;-0,6756588;1,628591;-0,9959925;-0,1511175;-0,9014257;0,2782528;0,4791513;1,220916;0,3144562
;1,046515854;-0,285156744;FDPS;farnesyl pyrophosphate synthase isoform a [Homo sapiens];1,683;34,69;6;23,324;13,60381862;6;9;6;1;48,2;6,15;Color2 [DarkGray];1;4;;0,384531;0,1535865;-0,2342538;0,3223369;0,133839;0,1542725;-0,3110247;-0,0840909;-0,4062983;-0,01860274
;3,201638279;-0,529537289;EFCAB14;EF-hand calcium-binding domain-containing protein 14 [Homo sapiens];0,701;39,07;6;23,584;15,95959596;6;8;6;1;55;6,32;Color2 [DarkGray];1;4;;0,1988912;0,1228744;0,3428096;0,2210554;0,1943336;-0,1733864;-0,5621941;-0,1439369;-0,1812315;-0,5069733
